nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1713,Vince Carter,2020,ATL,PF,14.592,-2.766,-1.851,-0.914,-0.22,Movement Shooter,Helper
2544,Lebron James,2020,LAL,PG,34.572,5.804,5.194,0.61,12.004,Shot Creator,Helper
2546,Carmelo Anthony,2020,POR,PF,32.793,-1.259,-0.491,-0.767,1.368,Shot Creator,Helper
2594,Kyle Korver,2020,MIL,SF,16.548,-1.277,-0.43,-0.847,0.679,Off Screen Shooter,Low Activity
2730,Dwight Howard,2020,LAL,C,18.923,2.671,0.083,2.587,4.275,Roll + Cut Big,Mobile Big
2738,Andre Iguodala,2020,MIA,SF,19.909,-0.159,-1.608,1.449,0.601,Stationary Shooter,Helper
2772,Trevor Ariza,2020,SAC/POR,SF,28.156,-1.226,-1.896,0.671,1.105,Movement Shooter,Wing Stopper
101107,Marvin Williams,2020,CHO/MIL,PF,19.464,-0.96,-1.844,0.884,1.032,Versatile Big,Helper
101108,Chris Paul,2020,OKC,PG,31.538,4.139,2.806,1.333,9.255,Shot Creator,Low Activity
101133,Ian Mahinmi,2020,WAS,C,21.26,0.181,-1.346,1.526,1.341,Roll + Cut Big,Anchor Big
101141,Ersan Ilyasova,2020,MIL,PF,15.657,1.748,0.262,1.486,2.645,Stretch Big,Helper
101150,Lou Williams,2020,LAC,PG,28.676,-0.314,1.463,-1.777,2.491,Primary Ball Handler,Low Activity
200746,Lamarcus Aldridge,2020,SAS,C,33.096,0.526,-0.193,0.719,3.308,Post Scorer,Anchor Big
200752,Rudy Gay,2020,SAS,PF,21.8,0.075,-0.388,0.463,2.323,Shot Creator,Helper
200755,Jj Redick,2020,NOP,SG,26.349,-1.275,1.073,-2.348,1.12,Off Screen Shooter,Low Activity
200757,Thabo Sefolosha,2020,HOU,PF,10.63,-0.696,-1.312,0.616,0.473,Stationary Shooter,Helper
200765,Rajon Rondo,2020,LAL,PG,20.504,-0.737,0.036,-0.773,1.043,Primary Ball Handler,Chaser
200768,Kyle Lowry,2020,TOR,PG,36.178,3.388,2.306,1.082,7.821,Primary Ball Handler,Chaser
200782,P.J. Tucker,2020,HOU,PF,34.267,-0.96,-1.441,0.481,2.255,Stationary Shooter,Wing Stopper
200794,Paul Millsap,2020,DEN,PF,24.314,1.641,0.352,1.29,3.24,Post Scorer,Helper
200826,J.J. Barea,2020,DAL,PG,15.506,-0.614,0.753,-1.367,0.513,Primary Ball Handler,Point of Attack
201143,Al Horford,2020,PHI,C,30.232,0.507,-0.373,0.88,3.795,Versatile Big,Anchor Big
201144,Mike Conley,2020,UTA,PG,29.006,0.213,0.775,-0.563,2.291,Primary Ball Handler,Point of Attack
