nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1713,Vince Carter,2018,SAC,SF,17.689,-0.881,-1.305,0.424,0.98,Movement Shooter,Low Activity
1717,Dirk Nowitzki,2018,DAL,C,24.681,0.546,-0.823,1.369,3.62,Versatile Big,Helper
1891,Jason Terry,2018,MIL,SG,15.953,-1.433,-1.745,0.312,0.48,Movement Shooter,Chaser
1938,Manu Ginobili,2018,SAS,SG,19.985,-0.86,0.063,-0.923,1.259,Secondary Ball Handler,Low Activity
2037,Jamal Crawford,2018,MIN,SG,20.665,-3.466,-0.317,-3.148,-1.208,Shot Creator,Low Activity
2199,Tyson Chandler,2018,PHO,C,25.015,-0.858,-1.752,0.894,1.117,Roll + Cut Big,Anchor Big
2200,Pau Gasol,2018,SAS,C,23.532,1.226,-0.002,1.228,4.27,Post Scorer,Anchor Big
2207,Joe Johnson,2018,UTA/HOU,SF,21.905,-2.701,-1.454,-1.246,-0.29,Shot Creator,Helper
2216,Zach Randolph,2018,SAC,PF,25.555,-1.33,-0.586,-0.744,0.991,Post Scorer,Helper
2225,Tony Parker,2018,SAS,PG,19.472,-1.551,-0.937,-0.615,0.548,Slasher,Point of Attack
2403,Nene,2018,HOU,C,14.585,0.485,-0.76,1.244,1.414,Roll + Cut Big,Mobile Big
2544,Lebron James,2018,CLE,PF,36.901,4.89,5.328,-0.438,14.216,Shot Creator,Helper
2546,Carmelo Anthony,2018,OKC,PF,32.067,1.252,1.245,0.007,5.938,Shot Creator,Helper
2548,Dwyane Wade,2018,CLE/MIA,SG,22.926,0.174,0.619,-0.445,2.546,Shot Creator,Low Activity
2561,David West,2018,GSW,C,13.681,0.736,-0.408,1.144,2.029,Post Scorer,Mobile Big
2585,Zaza Pachulia,2018,GSW,C,14.084,0.337,-0.984,1.321,1.716,Roll + Cut Big,Mobile Big
2594,Kyle Korver,2018,CLE,SG,21.559,0.574,1.366,-0.793,3.028,Off Screen Shooter,Low Activity
2730,Dwight Howard,2018,CHO,C,30.413,1.513,-0.061,1.574,6.274,Post Scorer,Anchor Big
