nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2022,LAL,C,37.22,3.315,3.596,-0.282,7.621,Shot Creator,Helper
2546,Carmelo Anthony,2022,LAL,PF,25.99,-2.259,-0.244,-2.014,0.161,Versatile Big,Helper
2730,Dwight Howard,2022,LAL,C,16.179,0.253,-0.807,1.059,1.655,Roll + Cut Big,Anchor Big
2738,Andre Iguodala,2022,GSW,SF,19.446,1.202,-0.261,1.464,1.397,Stationary Shooter,Helper
2772,Trevor Ariza,2022,LAL,SF,19.263,-1.474,-1.199,-0.275,0.273,Movement Shooter,Wing Stopper
101108,Chris Paul,2022,PHO,PG,32.905,3.718,2.552,1.166,8.353,Primary Ball Handler,Low Activity
101150,Lou Williams,2022,ATL,PG,14.265,-1.61,-0.227,-1.383,0.402,Secondary Ball Handler,Low Activity
200746,Lamarcus Aldridge,2022,BRK,C,22.343,-0.584,-0.109,-0.475,1.222,Post Scorer,Mobile Big
200752,Rudy Gay,2022,UTA,PF,18.877,0.062,0.084,-0.023,1.642,Movement Shooter,Helper
200765,Rajon Rondo,2022,LAL/CLE,PG,17.897,-2.055,-1.52,-0.535,0.153,Primary Ball Handler,Chaser
200768,Kyle Lowry,2022,MIA,PG,33.859,2.039,0.54,1.499,6.088,Primary Ball Handler,Chaser
200782,P.J. Tucker,2022,MIA,PF,27.9,0.469,-0.898,1.367,3.655,Stationary Shooter,Wing Stopper
200794,Paul Millsap,2022,BRK/PHI,C,11.384,-0.791,-0.177,-0.614,0.387,Stretch Big,Mobile Big
201142,Kevin Durant,2022,BRK,PF,37.226,3.043,3.27,-0.228,7.14,Shot Creator,Wing Stopper
201143,Al Horford,2022,BOS,C,29.055,3.548,0.407,3.142,7.62,Versatile Big,Mobile Big
201144,Mike Conley,2022,UTA,PG,28.586,2.753,1.537,1.216,6.804,Primary Ball Handler,Point of Attack
201145,Jeff Green,2022,DEN,PF,24.653,-0.942,-0.759,-0.183,1.724,Versatile Big,Helper
201152,Thaddeus Young,2022,SAS/TOR,PF,16.254,-0.372,-1.198,0.826,1.099,Roll + Cut Big,Helper
201565,Derrick Rose,2022,NYK,PG,24.456,-0.779,0.452,-1.231,0.66,Primary Ball Handler,Point of Attack
201566,Russell Westbrook,2022,LAL,PG,34.332,-0.982,0.466,-1.447,2.43,Shot Creator,Chaser
