nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1713,Vince Carter,2017,MEM,SF,24.651,-0.632,-0.6,-0.032,2.017,Movement Shooter,Helper
1717,Dirk Nowitzki,2017,DAL,PF,26.378,0.313,-0.013,0.327,2.493,Versatile Big,Helper
1718,Paul Pierce,2017,LAC,SF,11.085,-2.509,-2.216,-0.294,-0.032,Stationary Shooter,Helper
1891,Jason Terry,2017,MIL,SG,18.446,-0.971,-1.247,0.276,1.223,Movement Shooter,Chaser
1938,Manu Ginobili,2017,SAS,SG,18.717,0.942,0.518,0.424,2.8,Secondary Ball Handler,Chaser
2037,Jamal Crawford,2017,LAC,SG,26.305,-3.66,-1.059,-2.601,-1.841,Shot Creator,Low Activity
2199,Tyson Chandler,2017,PHO,C,27.609,1.204,-0.716,1.92,3.039,Roll + Cut Big,Helper
2200,Pau Gasol,2017,SAS,C,25.421,1.289,-0.042,1.332,3.903,Post Scorer,Anchor Big
2207,Joe Johnson,2017,UTA,SF,23.626,-0.841,-0.678,-0.163,1.81,Shot Creator,Wing Stopper
2210,Richard Jefferson,2017,CLE,SF,20.424,-2.196,-1.114,-1.082,0.142,Stationary Shooter,Wing Stopper
2216,Zach Randolph,2017,MEM,PF,24.472,-1.183,0.237,-1.42,1.349,Post Scorer,Anchor Big
2225,Tony Parker,2017,SAS,PG,25.192,-1.163,-0.515,-0.647,1.219,Slasher,Point of Attack
2399,Mike Dunleavy,2017,CLE/ATL,SF,15.864,-2.717,-2.026,-0.691,-0.211,Off Screen Shooter,Low Activity
2403,Nene,2017,HOU,C,17.877,1.099,0.084,1.015,2.722,Roll + Cut Big,Mobile Big
2440,Matt Barnes,2017,SAC/GSW,SF,23.999,-1.086,-0.652,-0.435,1.454,Movement Shooter,Helper
2449,Luis Scola,2017,BRK,PF,12.804,-1.276,-0.64,-0.636,0.32,Versatile Big,Anchor Big
2544,Lebron James,2017,CLE,SF,37.765,5.864,5.7,0.164,14.745,Shot Creator,Wing Stopper
2546,Carmelo Anthony,2017,NYK,SF,34.302,-0.422,1.534,-1.956,3.2,Shot Creator,Wing Stopper
2548,Dwyane Wade,2017,CHI,SG,29.87,-0.213,0.279,-0.492,2.509,Shot Creator,Low Activity
2561,David West,2017,GSW,C,12.559,0.156,-0.607,0.764,1.406,Post Scorer,Anchor Big
2564,Boris Diaw,2017,UTA,PF,17.572,-1.087,-1.096,0.009,1.05,Post Scorer,Helper
2571,Leandro Barbosa,2017,PHO,SG,14.378,-2.251,-1.672,-0.579,0.05,Secondary Ball Handler,Chaser
2585,Zaza Pachulia,2017,GSW,C,18.119,1.13,-0.796,1.926,2.909,Post Scorer,Anchor Big
2594,Kyle Korver,2017,ATL/CLE,SG,26.164,-1.352,-0.324,-1.028,1.127,Off Screen Shooter,Low Activity
2730,Dwight Howard,2017,ATL,C,29.716,1.326,-0.794,2.12,5.328,Post Scorer,Anchor Big
2733,Shaun Livingston,2017,GSW,PG,17.693,-2.604,-1.637,-0.967,-0.239,Shot Creator,Chaser
2734,Devin Harris,2017,DAL,PG,16.725,0.641,0.321,0.32,2.14,Secondary Ball Handler,Chaser
2736,Luol Deng,2017,LAL,SF,26.532,-0.917,-1.557,0.641,1.384,Movement Shooter,Wing Stopper
2738,Andre Iguodala,2017,GSW,SF,26.284,0.879,1.253,-0.374,4.248,Stationary Shooter,Wing Stopper
2743,Kris Humphries,2017,ATL,PF,12.297,-0.439,-1.132,0.693,0.86,Athletic Finisher,Anchor Big
