nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
708,Kevin Garnett,2016,MIN,PF,14.625,1.171,-1.763,2.934,1.3,Post Scorer,Mobile Big
977,Kobe Bryant,2016,LAL,SF,28.234,-1.851,0.313,-2.164,0.53,Shot Creator,Wing Stopper
1495,Tim Duncan,2016,SAS,C,25.189,1.946,-0.53,2.477,4.399,Post Scorer,Anchor Big
1713,Vince Carter,2016,MEM,SG,16.754,-0.154,0.13,-0.284,1.444,Movement Shooter,Helper
1717,Dirk Nowitzki,2016,DAL,PF,31.519,1.844,1.131,0.713,6.606,Versatile Big,Helper
1718,Paul Pierce,2016,LAC,SF,18.095,-1.214,-0.914,-0.301,0.879,Shot Creator,Helper
1882,Elton Brand,2016,PHI,C,13.219,-0.67,-1.591,0.921,0.244,Roll + Cut Big,Anchor Big
1889,Andre Miller,2016,MIN/SAS,PG,11.824,-0.928,0.026,-0.955,0.419,Shot Creator,Point of Attack
1891,Jason Terry,2016,HOU,SG,17.47,-2.072,-0.074,-1.998,0.171,Movement Shooter,Chaser
1897,Metta World Peace,2016,LAL,SF,16.852,-0.391,-0.066,-0.325,0.752,Shot Creator,Wing Stopper
1938,Manu Ginobili,2016,SAS,SG,19.554,1.429,0.622,0.807,2.852,Secondary Ball Handler,Chaser
2037,Jamal Crawford,2016,LAC,SG,26.912,-2.267,-0.443,-1.825,0.011,Shot Creator,Low Activity
2199,Tyson Chandler,2016,PHO,C,24.516,-0.141,-1.672,1.531,2.339,Roll + Cut Big,Helper
2200,Pau Gasol,2016,CHI,C,31.829,1.409,0.339,1.07,5.731,Post Scorer,Anchor Big
2207,Joe Johnson,2016,BRK/MIA,SF,33.377,-0.701,-0.254,-0.447,2.876,Shot Creator,Wing Stopper
2210,Richard Jefferson,2016,CLE,SF,17.912,-1.729,-1.571,-0.158,0.486,Stationary Shooter,Wing Stopper
2216,Zach Randolph,2016,MEM,PF,29.658,-0.289,0.506,-0.795,2.712,Post Scorer,Helper
2225,Tony Parker,2016,SAS,PG,27.507,0.235,0.353,-0.118,3.371,Slasher,Point of Attack
2365,Chris Andersen,2016,MIA/MEM,C,14.909,0.27,-0.635,0.904,0.695,Roll + Cut Big,Mobile Big
2399,Mike Dunleavy,2016,CHI,SF,22.667,-0.947,-0.184,-0.763,0.629,Off Screen Shooter,Wing Stopper
2400,Drew Gooden,2016,WAS,PF,10.172,-1.273,-1.324,0.051,0.206,Stretch Big,Helper
2403,Nene,2016,WAS,PF,19.191,1.186,-0.77,1.957,2.571,Post Scorer,Mobile Big
