nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1713,Vince Carter,2019,ATL,PF,17.504,-1.611,-1.469,-0.142,0.649,Movement Shooter,Helper
1717,Dirk Nowitzki,2019,DAL,PF,15.593,-0.937,-0.473,-0.463,0.738,Versatile Big,Helper
2037,Jamal Crawford,2019,PHO,SG,18.734,-3.448,-0.711,-2.737,-0.823,Shot Creator,Low Activity
2199,Tyson Chandler,2019,PHO/LAL,C,15.908,-1.119,-2.359,1.24,0.708,Roll + Cut Big,Anchor Big
2200,Pau Gasol,2019,SAS/MIL,C,12.019,1.304,-0.217,1.521,0.864,Post Scorer,Anchor Big
2225,Tony Parker,2019,CHO,PG,17.908,-1.928,-0.551,-1.377,0.284,Slasher,Low Activity
2403,Nene,2019,HOU,C,12.995,-1.452,-1.834,0.382,0.323,Roll + Cut Big,Mobile Big
2544,Lebron James,2019,LAL,SF,35.226,4.589,4.067,0.522,8.664,Shot Creator,Helper
2546,Carmelo Anthony,2019,HOU,PF,29.415,-1.925,-0.907,-1.018,0.084,Shot Creator,Wing Stopper
2548,Dwyane Wade,2019,MIA,SG,26.184,-2.004,-0.199,-1.804,0.441,Shot Creator,Low Activity
2585,Zaza Pachulia,2019,DET,C,12.913,-1.114,-1.856,0.742,0.713,Roll + Cut Big,Anchor Big
2594,Kyle Korver,2019,CLE/UTA,PF,19.056,-0.388,0.022,-0.411,1.716,Off Screen Shooter,Low Activity
2730,Dwight Howard,2019,WAS,C,25.507,-0.545,-1.367,0.822,0.272,Post Scorer,Anchor Big
2733,Shaun Livingston,2019,GSW,PG,15.108,-2.071,-1.391,-0.679,0.184,Shot Creator,Point of Attack
2734,Devin Harris,2019,DAL,PG,15.744,-0.512,0.074,-0.586,1.291,Movement Shooter,Low Activity
2736,Luol Deng,2019,MIN,SF,17.284,-0.538,-0.318,-0.22,0.452,Versatile Big,Helper
2738,Andre Iguodala,2019,GSW,SF,23.205,1.364,0.014,1.351,3.841,Stationary Shooter,Wing Stopper
2747,Jr Smith,2019,CLE,SG,20.209,-0.692,-1.428,0.737,0.242,Off Screen Shooter,Helper
2772,Trevor Ariza,2019,PHO/WAS,SF,34.042,-1.797,-1.04,-0.757,0.864,Movement Shooter,Wing Stopper
101107,Marvin Williams,2019,CHO,PF,28.441,0.456,-0.104,0.56,3.926,Movement Shooter,Helper
101108,Chris Paul,2019,HOU,PG,32.013,2.964,1.922,1.042,6.433,Shot Creator,Chaser
101109,Raymond Felton,2019,OKC,PG,11.495,-1.986,-0.832,-1.154,0.093,Secondary Ball Handler,Point of Attack
101123,Gerald Green,2019,HOU,SG,20.177,-2.076,0.263,-2.339,0.276,Movement Shooter,Low Activity
101133,Ian Mahinmi,2019,WAS,C,14.64,0.036,-1.246,1.282,0.779,Roll + Cut Big,Anchor Big
101139,Cj Miles,2019,TOR/MEM,SF,16.16,-2.175,-1.122,-1.052,0.106,Off Screen Shooter,Low Activity
101141,Ersan Ilyasova,2019,MIL,PF,18.378,0.514,-0.2,0.714,2.313,Stretch Big,Helper
101150,Lou Williams,2019,LAC,SG,26.571,0.208,3.014,-2.806,3.344,Slasher,Low Activity
101161,Amir Johnson,2019,PHI,C,10.376,-1.082,-1.381,0.299,0.441,Roll + Cut Big,Anchor Big
101162,Marcin Gortat,2019,LAC,C,15.968,-1.082,-1.921,0.839,0.625,Roll + Cut Big,Anchor Big
101181,Jose Calderon,2019,DET,PG,12.898,-2.678,-2.302,-0.376,-0.126,Primary Ball Handler,Low Activity
200746,Lamarcus Aldridge,2019,SAS,C,33.171,1.509,1.003,0.506,6.795,Post Scorer,Anchor Big
200752,Rudy Gay,2019,SAS,PF,26.7,0.557,-0.125,0.682,3.514,Shot Creator,Wing Stopper
200755,Jj Redick,2019,PHI,SG,31.307,-0.351,1.147,-1.498,3.12,Off Screen Shooter,Low Activity
200757,Thabo Sefolosha,2019,UTA,SF,12.172,-0.251,-1.635,1.384,0.838,Stationary Shooter,Low Activity
200765,Rajon Rondo,2019,LAL,PG,29.753,-1.985,-1.187,-0.798,0.337,Primary Ball Handler,Chaser
200768,Kyle Lowry,2019,TOR,PG,34.052,3.025,2.195,0.83,7.754,Primary Ball Handler,Chaser
200782,P.J. Tucker,2019,HOU,PF,34.172,0.014,-1.452,1.466,4.345,Stationary Shooter,Wing Stopper
200794,Paul Millsap,2019,DEN,PF,27.065,2.097,0.708,1.389,5.512,Shot Creator,Helper
200826,J.J. Barea,2019,DAL,PG,19.787,0.953,1.908,-0.955,1.629,Primary Ball Handler,Point of Attack
201142,Kevin Durant,2019,GSW,SF,34.635,4.809,4.01,0.799,12.44,Shot Creator,Wing Stopper
201143,Al Horford,2019,BOS,C,29.012,1.259,0.289,0.97,4.667,Post Scorer,Anchor Big
201144,Mike Conley,2019,MEM,PG,33.452,3.38,3.705,-0.325,8.726,Primary Ball Handler,Point of Attack
201145,Jeff Green,2019,WAS,PF,27.229,-1.528,-0.221,-1.307,1.137,Movement Shooter,Helper
201147,Corey Brewer,2019,PHI/SAC,SF,15.855,-0.004,-0.581,0.577,0.756,Movement Shooter,Chaser
201149,Joakim Noah,2019,MEM,C,16.489,1.681,-0.087,1.767,1.829,Roll + Cut Big,Anchor Big
201152,Thaddeus Young,2019,IND,PF,30.727,1.706,0.297,1.409,6.613,Post Scorer,Helper
201158,Marco Belinelli,2019,SAS,SG,22.98,-1.457,-0.236,-1.221,1.068,Movement Shooter,Low Activity
201162,Jared Dudley,2019,BRK,PF,20.67,-0.787,-1.253,0.466,1.251,Stationary Shooter,Helper
201163,Wilson Chandler,2019,PHI/LAC,SF,23.064,-1.181,-1.557,0.375,0.903,Shot Creator,Wing Stopper
201188,Marc Gasol,2019,MEM/TOR,C,30.836,1.52,-0.594,2.114,6.178,Versatile Big,Anchor Big
201229,Anthony Tolliver,2019,MIN,PF,16.419,-1.56,-1.086,-0.474,0.556,Movement Shooter,Low Activity
201563,Michael Beasley,2019,LAL,PF,10.672,-0.542,-0.059,-0.484,0.329,Shot Creator,Helper
201565,Derrick Rose,2019,MIN,PG,27.062,-0.81,1.319,-2.128,1.395,Shot Creator,Chaser
201566,Russell Westbrook,2019,OKC,PG,36.022,4.42,3.441,0.979,11.49,Shot Creator,Point of Attack
201567,Kevin Love,2019,CLE,PF,27.18,2.853,2.234,0.618,2.029,Versatile Big,Helper
201568,Danilo Gallinari,2019,LAC,SF,30.284,2.278,2.301,-0.022,6.232,Shot Creator,Helper
201569,Eric Gordon,2019,HOU,SG,31.735,0.406,1.519,-1.113,3.902,Movement Shooter,Chaser
201571,D.J. Augustin,2019,ORL,PG,28.013,0.354,0.692,-0.338,4.026,Primary Ball Handler,Point of Attack
201572,Brook Lopez,2019,MIL,C,28.663,2.841,-0.179,3.02,7.862,Stationary Shooter,Anchor Big
201573,Jerryd Bayless,2019,MIN,PG,19.323,-2.096,-0.451,-1.645,0.115,Primary Ball Handler,Point of Attack
201577,Robin Lopez,2019,CHI,C,21.701,-2.622,-1.616,-1.007,-0.263,Post Scorer,Anchor Big
201580,Javale Mcgee,2019,LAL,C,22.277,0.882,-0.373,1.255,3.542,Roll + Cut Big,Anchor Big
201583,Ryan Anderson,2019,PHO/MIA,PF,12.853,-2.539,-1.416,-1.122,-0.035,Movement Shooter,Low Activity
201584,Courtney Lee,2019,NYK/DAL,SG,12.595,-0.661,-0.868,0.207,0.475,Secondary Ball Handler,Chaser
201585,Kosta Koufos,2019,SAC,C,11.943,-0.2,-1.647,1.447,0.707,Roll + Cut Big,Anchor Big
201586,Serge Ibaka,2019,TOR,C,27.169,0.912,0.647,0.265,4.301,Roll + Cut Big,Anchor Big
201587,Nicolas Batum,2019,CHO,SF,31.386,-0.797,-0.877,0.08,2.399,Movement Shooter,Wing Stopper
201588,George Hill,2019,CLE/MIL,PG,21.707,0.018,-0.095,0.113,2.023,Secondary Ball Handler,Point of Attack
