player_name,nba_id,team,bpr,obpr,dbpr,box_bpr,box_obpr,box_dbpr,gp,mpg
Quenton Jackson,1631245,IND,2.789,-0.193,2.982,0.453,-0.444,0.897,56,18.314625850340136
Olivier-Maxence Prosper,1641765,MEM,2.559,1.057,1.503,-2.188,-0.438,-1.75,66,18.558490566037737
DeJon Jarreau,1630610,MEM,-0.178,-0.206,0.028,,,,11,20.975757575757576
Bruce Brown,1628971,DEN,-1.314,3.109,-4.423,0.496,0.369,0.127,82,24.36341463414634
Draymond Green,203110,GSW,1.401,-1.547,2.948,-0.084,-1.442,1.358,72,27.484313725490196
Dennis Schröder,203471,CLE,0.288,-0.52,0.808,-4.7,-3.312,-1.388,31,21.355
Malachi Smith,1641869,BKN,-1.9,-1.114,-0.786,-1.791,-1.157,-0.634,16,23.92111111111111
Al Horford,201143,GSW,6.384,4.644,1.74,0.853,0.362,0.491,48,21.537777777777777
Keon Ellis,1631165,CLE,-0.2,-0.033,-0.167,-2.761,-1.948,-0.813,31,24.844252873563217
Nick Richards,1630208,CHI,-3.963,-1.297,-2.666,-4.456,-3.007,-1.449,24,22.359166666666667
Luguentz Dort,1629652,OKC,4.03,-0.91,4.94,5.504,1.606,3.898,74,26.792753623188403
Brook Lopez,201572,LAC,3.463,2.593,0.869,3.518,1.882,1.636,82,21.80377777777778
Gui Santos,1630611,GSW,5.21,4.195,1.015,0.861,-0.561,1.422,81,20.520588235294117
Jordan Clarkson,203903,NYK,-4.967,-4.608,-0.358,1.472,-0.052,1.524,82,17.77037037037037
Scoot Henderson,1630703,POR,-3.439,-1.443,-1.996,2.771,0.578,2.193,56,24.92777777777778
Dominick Barlow,1631230,PHI,4.337,0.419,3.918,1.589,-0.089,1.678,72,23.781924882629106
Bez Mbeng,1643016,UTA,-2.919,-2.236,-0.684,-2.917,-1.751,-1.166,16,32.812222222222225
Bones Hyland,1630538,MIN,5.57,1.918,3.652,3.468,1.268,2.2,81,16.576291079812208
Moussa Diabaté,1631217,CHA,6.922,2.095,4.828,4.339,3.396,0.943,77,26.01369863013699
Walter Clayton Jr.,1642383,MEM,-6.832,-2.005,-4.826,-5.411,-2.452,-2.959,31,24.972916666666666
Cody Williams,1642262,UTA,2.646,-1.68,4.326,-2.9,-0.624,-2.276,78,24.336567164179105
LJ Cryer,1643018,GSW,0.034,-0.441,0.475,1.538,-0.238,1.776,20,16.230555555555558
Jose Alvarado,1630631,NOP,2.102,2.189,-0.087,0.731,-0.633,1.364,44,21.864634146341466
Simone Fontecchio,1631323,MIA,10.67,1.976,8.694,2.236,0.424,1.812,81,16.750714285714285
Cam Whitmore,1641715,WAS,-4.831,-1.989,-2.842,-5.42,-2.338,-3.082,26,16.857936507936508
Ryan Kalkbrenner,1641750,CHA,-2.168,-1.061,-1.107,-0.675,-1.682,1.007,70,21.43719806763285
Jalen Slawson,1641771,IND,-0.28,-0.159,-0.121,,,,13,23.888461538461538
Justin Champagnie,1630551,WAS,8.529,5.307,3.222,-1.103,0.407,-1.51,82,19.963285024154587
Kris Dunn,1627739,LAC,8.864,-0.667,9.531,1.372,0.33,1.042,82,27.195528455284553
Luke Kennard,1628379,ATL,2.116,2.417,-0.301,0.219,-0.148,0.367,50,20.51086956521739
