nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
2544,Lebron James,2021,LAL,PG,33.415,4.34,4.122,0.218,6.429,Shot Creator,Helper
2546,Carmelo Anthony,2021,POR,PF,24.493,-1.319,0.646,-1.964,1.171,Shot Creator,Low Activity
2730,Dwight Howard,2021,PHI,C,17.326,-0.28,-1.051,0.772,1.627,Roll + Cut Big,Anchor Big
2738,Andre Iguodala,2021,MIA,SF,21.249,-0.694,-1.777,1.084,1.465,Stationary Shooter,Helper
2772,Trevor Ariza,2021,MIA,SF,28.032,0.466,-0.706,1.173,1.549,Stationary Shooter,Wing Stopper
101108,Chris Paul,2021,PHO,PG,31.42,3.578,2.229,1.35,8.386,Shot Creator,Chaser
101150,Lou Williams,2021,LAC/ATL,PG,21.56,-1.224,0.19,-1.414,1.073,Slasher,Low Activity
200746,Lamarcus Aldridge,2021,SAS/BRK,C,25.94,0.246,-0.253,0.5,1.147,Post Scorer,Anchor Big
200752,Rudy Gay,2021,SAS,PF,21.549,0.314,0.411,-0.096,2.368,Movement Shooter,Wing Stopper
200755,Jj Redick,2021,NOP/DAL,SG,16.438,-1.339,0.139,-1.478,0.492,Off Screen Shooter,Low Activity
200765,Rajon Rondo,2021,ATL/LAC,PG,17.096,-1.787,-0.868,-0.919,0.303,Primary Ball Handler,Chaser
200768,Kyle Lowry,2021,TOR,PG,34.815,0.906,0.915,-0.009,3.404,Primary Ball Handler,Chaser
200782,P.J. Tucker,2021,HOU/MIL,PF,26.07,-2.948,-3.413,0.464,-0.46,Stationary Shooter,Wing Stopper
200794,Paul Millsap,2021,DEN,PF,20.755,1.282,-0.134,1.416,2.751,Versatile Big,Helper
201142,Kevin Durant,2021,BRK,PF,33.048,3.213,3.686,-0.473,4.149,Shot Creator,Wing Stopper
201143,Al Horford,2021,OKC,C,27.921,2.362,0.461,1.901,2.388,Versatile Big,Anchor Big
201144,Mike Conley,2021,UTA,PG,29.365,2.84,2.755,0.085,5.024,Primary Ball Handler,Point of Attack
201145,Jeff Green,2021,BRK,PF,26.987,-0.364,0.393,-0.757,2.399,Stationary Shooter,Wing Stopper
201152,Thaddeus Young,2021,CHI,PF,24.298,1.426,1.391,0.035,4.063,Post Scorer,Anchor Big
201188,Marc Gasol,2021,LAL,C,19.099,0.138,-1.853,1.99,1.619,Stretch Big,Anchor Big
201565,Derrick Rose,2021,DET/NYK,PG,25.578,0.039,0.763,-0.725,2.003,Slasher,Point of Attack
201566,Russell Westbrook,2021,WAS,PG,36.445,2.617,1.277,1.341,7.617,Shot Creator,Point of Attack
201567,Kevin Love,2021,CLE,PF,24.889,1.756,1.343,0.414,1.661,Versatile Big,Helper
201568,Danilo Gallinari,2021,ATL,PF,23.959,-0.323,0.621,-0.944,1.629,Shot Creator,Helper
201569,Eric Gordon,2021,HOU,SG,29.212,-0.59,0.713,-1.303,0.916,Primary Ball Handler,Chaser
201571,D.J. Augustin,2021,MIL/HOU,PG,19.806,-0.888,0.515,-1.403,1.095,Primary Ball Handler,Point of Attack
201572,Brook Lopez,2021,MIL,C,27.169,1.483,0.279,1.204,4.746,Stretch Big,Anchor Big
201577,Robin Lopez,2021,WAS,C,19.065,-1.192,-1.197,0.005,1.048,Post Scorer,Anchor Big
201580,Javale Mcgee,2021,CLE/DEN,C,14.748,0.193,-1.055,1.249,1.13,Post Scorer,Anchor Big
201586,Serge Ibaka,2021,LAC,C,23.287,1.725,0.534,1.191,2.53,Stretch Big,Anchor Big
201587,Nicolas Batum,2021,LAC,SF,27.384,0.956,-0.062,1.019,3.959,Stationary Shooter,Helper
201588,George Hill,2021,OKC/PHI,PG,22.386,-1.113,-0.256,-0.857,0.554,Secondary Ball Handler,Chaser
201599,Deandre Jordan,2021,BRK,C,21.863,0.049,-0.944,0.994,1.961,Roll + Cut Big,Anchor Big
201609,Goran Dragic,2021,MIA,PG,26.732,-1.631,-0.337,-1.294,0.659,Primary Ball Handler,Chaser
201933,Blake Griffin,2021,DET/BRK,PF,25.797,1.089,0.757,0.332,2.662,Shot Creator,Helper
201935,James Harden,2021,HOU/BRK,PG,36.564,3.791,4.604,-0.814,6.344,Shot Creator,Helper
201937,Ricky Rubio,2021,MIN,PG,26.052,0.711,0.778,-0.067,3.543,Primary Ball Handler,Point of Attack
201939,Stephen Curry,2021,GSW,PG,34.156,4.657,5.519,-0.862,9.609,Primary Ball Handler,Low Activity
201942,Demar Derozan,2021,SAS,PF,33.712,1.303,2.331,-1.029,4.895,Shot Creator,Low Activity
201949,James Johnson,2021,DAL/NOP,PF,20.556,-1.202,-1.457,0.255,0.805,Stationary Shooter,Wing Stopper
201950,Jrue Holiday,2021,MIL,PG,32.321,2.859,1.943,0.916,6.421,Shot Creator,Point of Attack
201952,Jeff Teague,2021,BOS/MIL,PG,17.276,-2.093,-1.297,-0.795,0.189,Shot Creator,Point of Attack
201959,Taj Gibson,2021,NYK,C,20.793,0.427,-1.328,1.755,1.7,Roll + Cut Big,Mobile Big
201961,Wayne Ellington,2021,DET,SG,21.996,-1.273,0.121,-1.394,0.731,Off Screen Shooter,Chaser
201976,Patrick Beverley,2021,LAC,PG,22.499,0.704,-0.495,1.199,1.661,Primary Ball Handler,Point of Attack
201980,Danny Green,2021,PHI,SF,28.034,-0.057,-0.35,0.292,2.911,Movement Shooter,Chaser
201988,Patty Mills,2021,SAS,PG,24.775,-1.56,0.477,-2.037,0.907,Secondary Ball Handler,Chaser
202066,Garrett Temple,2021,CHI,SG,27.29,-2.418,-2.377,-0.041,-0.01,Stationary Shooter,Point of Attack
202083,Wesley Matthews,2021,LAL,SG,19.48,-0.783,-1.27,0.487,1.172,Movement Shooter,Wing Stopper
202322,John Wall,2021,HOU,PG,32.202,-0.631,0.695,-1.326,1.462,Shot Creator,Point of Attack
202324,Derrick Favors,2021,UTA,C,15.282,0.56,-0.874,1.434,1.977,Roll + Cut Big,Anchor Big
202326,Demarcus Cousins,2021,HOU/LAC,C,17.388,1.18,-0.62,1.8,1.641,Versatile Big,Anchor Big
202329,Al-Farouq Aminu,2021,ORL/CHI,PF,18.875,-1.777,-2.671,0.895,0.174,Movement Shooter,Mobile Big
202330,Gordon Hayward,2021,CHO,SF,34.004,-0.085,0.191,-0.276,2.225,Secondary Ball Handler,Helper
202331,Paul George,2021,LAC,SF,33.722,3.507,2.449,1.058,6.863,Shot Creator,Chaser
202334,Ed Davis,2021,MIN,C,12.997,0.004,-1.771,1.775,0.462,Athletic Finisher,Anchor Big
202335,Patrick Patterson,2021,LAC,PF,15.307,-0.998,-0.278,-0.721,0.523,Stationary Shooter,Helper
202339,Eric Bledsoe,2021,NOP,SG,29.739,-0.374,-0.191,-0.183,2.746,Primary Ball Handler,Point of Attack
202340,Avery Bradley,2021,MIA/HOU,SG,22.291,-2.508,-1.451,-1.057,-0.038,Movement Shooter,Wing Stopper
202355,Hassan Whiteside,2021,SAC,C,15.164,-0.409,-1.267,0.857,0.698,Post Scorer,Anchor Big
202357,Nemanja Bjelica,2021,SAC/MIA,PF,16.085,-0.605,-0.085,-0.52,0.685,Stretch Big,Helper
202397,Ish Smith,2021,WAS,PG,20.991,0.356,-0.569,0.925,1.636,Slasher,Point of Attack
202681,Kyrie Irving,2021,BRK,PG,34.93,3.429,4.573,-1.144,7.019,Shot Creator,Point of Attack
202683,Enes Freedom,2021,POR,C,24.411,1.381,1.885,-0.503,4.272,Post Scorer,Anchor Big
202684,Tristan Thompson,2021,BOS,C,23.828,0.101,-1.196,1.297,2.067,Post Scorer,Anchor Big
202685,Jonas Valančiūnas,2021,MEM,C,28.312,2.997,1.91,1.087,6.061,Post Scorer,Anchor Big
202687,Bismack Biyombo,2021,CHO,C,20.438,-2.687,-2.92,0.233,-0.237,Athletic Finisher,Helper
202689,Kemba Walker,2021,BOS,PG,31.844,1.895,2.004,-0.109,3.778,Primary Ball Handler,Point of Attack
202692,Alec Burks,2021,NYK,SG,25.602,-0.19,0.364,-0.554,1.781,Secondary Ball Handler,Chaser
202693,Markieff Morris,2021,LAL,PF,19.673,-2.431,-2.044,-0.387,-0.018,Versatile Big,Helper
202694,Marcus Morris Sr.,2021,LAC,PF,26.35,0.431,0.674,-0.243,2.733,Shot Creator,Helper
202695,Kawhi Leonard,2021,LAC,SF,34.088,4.897,3.669,1.228,8.167,Shot Creator,Wing Stopper
202696,Nikola Vučević,2021,ORL/CHI,C,33.547,1.007,0.388,0.619,5.144,Versatile Big,Anchor Big
202699,Tobias Harris,2021,PHI,PF,32.491,1.207,0.333,0.874,4.671,Shot Creator,Helper
202704,Reggie Jackson,2021,LAC,SG,23.046,0.972,0.645,0.327,3.348,Primary Ball Handler,Point of Attack
202709,Cory Joseph,2021,SAC/DET,PG,22.954,-1.111,-0.865,-0.245,1.195,Primary Ball Handler,Point of Attack
202710,Jimmy Butler Iii,2021,MIA,SF,33.551,5.203,3.632,1.572,8.352,Shot Creator,Helper
202711,Bojan Bogdanović,2021,UTA,SF,30.772,-0.365,1.145,-1.51,2.894,Movement Shooter,Helper
202722,Davis Bertans,2021,WAS,PF,25.68,-0.011,0.702,-0.713,2.246,Off Screen Shooter,Helper
202734,E'Twaun Moore,2021,PHO,SG,14.398,-1.89,-1.348,-0.543,0.127,Secondary Ball Handler,Chaser
202954,Brad Wanamaker,2021,GSW/CHO,PG,17.266,-1.323,-1.383,0.06,0.727,Primary Ball Handler,Point of Attack
203076,Anthony Davis,2021,LAL,PF,32.271,3.344,2.037,1.307,4.262,Shot Creator,Helper
203078,Bradley Beal,2021,WAS,SG,35.786,2.205,3.49,-1.285,6.345,Off Screen Shooter,Chaser
203081,Damian Lillard,2021,POR,PG,35.789,3.696,5.617,-1.921,9.316,Shot Creator,Chaser
203082,Terrence Ross,2021,ORL,SG,29.273,-2.35,-1.214,-1.136,0.049,Off Screen Shooter,Low Activity
203083,Andre Drummond,2021,CLE/LAL,C,26.993,1.703,-0.238,1.941,3.273,Shot Creator,Anchor Big
203084,Harrison Barnes,2021,SAC,PF,36.248,-0.012,0.649,-0.661,3.225,Shot Creator,Wing Stopper
203085,Austin Rivers,2021,NYK/DEN,SG,23.47,-1.786,-0.56,-1.226,0.333,Shot Creator,Chaser
203087,Jeremy Lamb,2021,IND,SG,21.257,0.354,0.686,-0.332,1.355,Secondary Ball Handler,Helper
203090,Maurice Harkless,2021,MIA/SAC,SF,20.862,-2.142,-2.329,0.187,0.13,Stationary Shooter,Wing Stopper
203095,Evan Fournier,2021,ORL/BOS,SF,29.976,-0.008,0.241,-0.249,1.934,Off Screen Shooter,Chaser
203107,Tomas Satoransky,2021,CHI,SG,22.528,-0.394,-0.671,0.276,1.682,Primary Ball Handler,Point of Attack
203109,Jae Crowder,2021,PHO,PF,27.472,-0.02,-0.56,0.54,2.52,Stationary Shooter,Wing Stopper
203110,Draymond Green,2021,GSW,PF,31.457,2.016,-0.463,2.479,5.619,Stretch Big,Helper
203114,Khris Middleton,2021,MIL,SF,33.363,1.821,1.518,0.303,6.151,Shot Creator,Helper
203115,Will Barton,2021,DEN,SF,30.996,0.101,0.003,0.098,2.789,Secondary Ball Handler,Chaser
203118,Mike Scott,2021,PHI,PF,16.698,-1.865,-2.16,0.295,0.293,Stationary Shooter,Helper
203145,Kent Bazemore,2021,GSW,SF,19.903,-0.374,-1.851,1.476,1.734,Movement Shooter,Chaser
