season,team,tournament_finish,tournament_seed,current_passed,current_total,candidate_passed,candidate_total,cur_trapezoid,cur_balanced_dominance,cur_title_favorite,cur_win_pct,cur_elite_efficiency,cur_three_point_pct,cur_elite_adjem,cur_ap_poll_week6,cur_efg_margin,cur_ftr_margin,cur_rebounding_edge,cur_turnover_edge,cur_four_factor_index,cur_wab,cur_ft_pct,cand_trapezoid,cand_title_favorite,cand_win_pct,cand_elite_efficiency,cand_ap_poll_week6,cand_efg_margin,cand_ftr_margin,cand_rebounding_edge,cand_turnover_edge,cand_four_factor_index,cand_wab,cand_ft_pct,cand_sos,cand_no_glaring_weakness
2005,Miami (OH),,,4,15,3,14,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
2005,Michigan,,,2,15,3,14,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
2005,Middle Tennessee,,,5,15,4,14,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,False
2005,Mississippi,,,2,15,1,14,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2005,Mississippi St.,,9,3,15,3,14,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
2005,Mississippi Valley St.,,,1,15,1,14,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2005,Missouri,,,4,15,5,14,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,True,False
2005,Missouri St.,,,5,15,4,14,False,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,False
2005,Montana,,16,4,15,3,14,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
2005,Morehead St.,,,3,15,3,14,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
2005,Morgan St.,,,2,15,1,14,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2005,Mount St. Mary's,,,2,15,1,14,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2005,Murray St.,,,3,15,2,14,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
