player_name,draft_year,draft_pick,draft_round,draft_age,position,college,bbref_url,cbb_url,position_group,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,school_name,college_season_year,program_srs
Anthony Davis,2012,1,1,19.3,Power Forward,Kentucky,/players/d/davisan02.html,https://www.sports-reference.com/cbb/players/anthony-davis-5.html,BIG,4.825,0.21025,5.875,4,17.2,2.5,11.6,13.7,7.5,0.654,0.709,0.059,18.8,4.1,Kentucky,2012.0,24.73
Michael Kidd-Gilchrist,2012,2,1,18.7,Small Forward,Kentucky,/players/k/kiddgmi01.html,https://www.sports-reference.com/cbb/players/michael-kidd-gilchrist-1.html,F,0.35,0.12075,-0.825,4,7.7,1.9,10.3,2.8,10.8,0.57,0.745,0.156,20.6,2.6,Kentucky,2012.0,24.73
Bradley Beal,2012,3,1,19.0,Shooting Guard,Florida,/players/b/bealbr01.html,https://www.sports-reference.com/cbb/players/bradley-beal-1.html,G,1.65,0.09725,0.825,4,8.4,2.5,4.8,2.6,12.7,0.575,0.769,0.473,23.0,2.1,Florida,2012.0,18.25
Dion Waiters,2012,4,1,20.5,Shooting Guard,Syracuse,/players/w/waitedi01.html,https://www.sports-reference.com/cbb/players/dion-waiters-1.html,G,-0.02500000000000001,0.04125,-1.9249999999999998,4,10.8,4.6,2.4,1.5,21.2,0.565,0.753,0.317,26.7,1.7,Syracuse,2012.0,21.12
Thomas Robinson,2012,5,1,21.3,Power Forward,Kansas,/players/r/robinth01.html,https://www.sports-reference.com/cbb/players/thomas-robinson-2.html,BIG,-0.175,0.07275,-2.775,4,8.8,2.0,11.1,2.9,13.1,0.549,0.606,0.027,30.0,3.5,Kansas,2012.0,21.72
Damian Lillard,2012,6,1,21.9,Point Guard,Weber State,/players/l/lillada01.html,https://www.sports-reference.com/cbb/players/damian-lillard-1.html,G,4.475,0.17025,4.325,4,9.8,2.5,1.9,0.7,27.1,0.635,0.867,0.465,33.0,1.4,Weber St.,2012.0,-11.72
Harrison Barnes,2012,7,1,20.1,Power Forward,UNC,/players/b/barneha02.html,https://www.sports-reference.com/cbb/players/harrison-barnes-1.html,BIG,0.625,0.10075,-0.9,4,6.8,2.0,6.9,1.1,7.2,0.528,0.734,0.263,28.1,1.9,UNC,2012.0,21.34
Terrence Ross,2012,8,1,21.4,Shooting Guard,Washington,/players/r/rosste01.html,https://www.sports-reference.com/cbb/players/terrence-ross-1.html,G,0.8,0.0835,-0.375,4,7.9,2.3,4.7,3.0,9.2,0.558,0.764,0.413,25.3,1.8,Washington,2012.0,10.79
Andre Drummond,2012,9,1,18.9,Center,UConn,/players/d/drumman01.html,https://www.sports-reference.com/cbb/players/andre-drummond-1.html,BIG,1.825,0.14875,0.85,4,4.9,1.8,14.2,9.9,3.4,0.509,0.295,0.007,20.9,1.5,UConn,2012.0,12.27
Austin Rivers,2012,10,1,19.9,Shooting Guard,Duke,/players/r/riverau01.html,https://www.sports-reference.com/cbb/players/austin-rivers-1.html,G,-0.275,0.04775,-2.775,4,4.0,1.7,2.2,0.1,13.0,0.538,0.658,0.396,25.2,1.0,Duke,2012.0,17.05
Meyers Leonard,2012,11,1,20.3,Center,Illinois,/players/l/leoname01.html,https://www.sports-reference.com/cbb/players/meyers-leonard-1.html,BIG,0.024999999999999988,0.09375,-2.1,4,7.2,0.9,9.1,6.9,9.9,0.618,0.729,0.038,22.0,1.8,Illinois,2012.0,9.33
Jeremy Lamb,2012,12,1,20.1,Shooting Guard,UConn,/players/l/lambje01.html,https://www.sports-reference.com/cbb/players/jeremy-lamb-1.html,G,0.75,0.11175,0.75,4,7.8,2.1,3.0,1.7,10.1,0.589,0.806,0.465,23.9,1.3,UConn,2012.0,12.27
Kendall Marshall,2012,13,1,20.9,Point Guard,UNC,/players/m/marshke01.html,https://www.sports-reference.com/cbb/players/kendall-marshall-1.html,G,-0.19999999999999998,0.017666666666666664,-3.5,3,6.6,2.0,0.5,0.5,45.1,0.558,0.693,0.351,13.9,1.8,UNC,2012.0,21.34
John Henson,2012,14,1,21.5,Center,UNC,/players/h/hensojo01.html,https://www.sports-reference.com/cbb/players/john-henson-1.html,BIG,0.525,0.11475,-0.30000000000000004,4,9.0,1.1,9.0,9.6,8.0,0.505,0.484,0.0,23.1,2.7,UNC,2012.0,21.34
Maurice Harkless,2012,15,1,19.1,Small Forward,St. John's,/players/h/harklma01.html,https://www.sports-reference.com/cbb/players/maurice-harkless-1.html,F,0.45,0.069,-1.275,4,4.0,2.6,8.4,4.2,9.6,0.504,0.676,0.185,24.9,1.3,St. John's (NY),2012.0,2.63
Royce White,2012,16,1,21.2,Power Forward,Iowa State,/players/w/whitero03.html,https://www.sports-reference.com/cbb/players/royce-white-1.html,BIG,0.0,-0.121,-16.9,1,,,,,,0.588,0.5,0.0,,,,,
Tyler Zeller,2012,17,1,22.4,Center,UNC,/players/z/zellety01.html,https://www.sports-reference.com/cbb/players/tyler-zeller-1.html,BIG,0.25,0.12675,-1.75,4,10.7,1.7,14.1,5.3,6.3,0.616,0.775,0.0,24.5,2.5,UNC,2012.0,21.34
Terrence Jones,2012,18,1,20.5,Power Forward,Kentucky,/players/j/joneste01.html,https://www.sports-reference.com/cbb/players/terrence-jones-1.html,BIG,0.8500000000000001,0.12075,0.17500000000000002,4,10.2,2.7,10.7,5.8,8.7,0.547,0.638,0.138,22.4,2.7,Kentucky,2012.0,24.73
Andrew Nicholson,2012,19,1,22.5,Power Forward,St. Bonaventure,/players/n/nichoan01.html,https://www.sports-reference.com/cbb/players/andrew-nicholson-1.html,BIG,-0.35,0.02625,-4.275,4,9.4,1.3,11.1,7.3,9.4,0.638,0.72,0.138,29.5,1.7,St. Bonaventure,2012.0,8.25
Jared Sullinger,2012,21,1,20.3,Power Forward,Ohio State,/players/s/sullija01.html,https://www.sports-reference.com/cbb/players/jared-sullinger-1.html,BIG,0.65,0.076,-1.725,4,11.7,2.3,12.4,4.0,8.6,0.591,0.733,0.091,27.9,3.0,Ohio St.,2012.0,7.17
Fab Melo,2012,22,1,22.0,Center,Syracuse,/players/m/melofa01.html,https://www.sports-reference.com/cbb/players/fab-melo-1.html,BIG,0.0,0.0,0.0,0,5.3,1.2,12.3,13.0,5.0,0.581,0.553,0.0,16.5,1.5,Syracuse,2012.0,21.12
John Jenkins,2012,23,1,21.3,Shooting Guard,Vanderbilt,/players/j/jenkijo01.html,https://www.sports-reference.com/cbb/players/john-jenkins-1.html,G,-0.025,0.07325,-1.6749999999999998,4,11.8,1.5,1.7,1.0,8.4,0.656,0.856,0.666,26.2,1.1,Vanderbilt,2012.0,15.71
Jared Cunningham,2012,24,1,21.1,Shooting Guard,Oregon State,/players/c/cunnija01.html,https://www.sports-reference.com/cbb/players/jared-cunningham-2.html,G,-0.16666666666666666,0.022000000000000002,-5.966666666666666,3,5.0,4.1,3.4,1.2,15.7,0.568,0.754,0.336,26.0,1.6,Oregon St.,2012.0,10.19
Tony Wroten,2012,25,1,19.2,Point Guard,Washington,/players/w/wroteto01.html,https://www.sports-reference.com/cbb/players/tony-wroten-1.html,G,-0.3,-0.09133333333333334,-6.1000000000000005,3,4.7,3.5,8.0,1.2,24.5,0.488,0.583,0.125,31.2,1.6,Washington,2012.0,10.79
Miles Plumlee,2012,26,1,23.8,Center,Duke,/players/p/plumlmi01.html,https://www.sports-reference.com/cbb/players/miles-plumlee-1.html,BIG,0.1,0.0925,-2.1,4,6.2,1.5,16.6,4.2,5.1,0.621,0.625,0.0,16.1,1.2,Duke,2012.0,17.05
Arnett Moultrie,2012,27,1,21.6,Power Forward,Mississippi State,/players/m/moultar01.html,https://www.sports-reference.com/cbb/players/arnett-moultrie-1.html,BIG,-0.3,0.007,-7.3,1,,2.7,8.1,3.2,8.1,0.522,0.587,0.148,20.2,5.1,,,
Perry Jones,2012,28,1,20.8,Small Forward,Baylor,/players/j/jonespe01.html,https://www.sports-reference.com/cbb/players/perry-jones-1.html,F,-0.15000000000000002,0.0545,-2.9000000000000004,2,5.2,1.6,11.0,2.1,8.7,0.539,0.678,0.091,23.3,1.6,Baylor,2012.0,16.54
Marquis Teague,2012,29,1,19.3,Shooting Guard,Kentucky,/players/t/teaguma01.html,https://www.sports-reference.com/cbb/players/marquis-teague-1.html,G,-0.6,-0.059,-7.4,1,2.3,1.7,1.6,0.8,25.6,0.491,0.714,0.227,20.2,1.8,Kentucky,2012.0,24.73
Festus Ezeli,2012,30,1,22.7,Center,Vanderbilt,/players/e/ezelife01.html,https://www.sports-reference.com/cbb/players/festus-ezeli-1.html,BIG,0.2,0.165,-0.9500000000000001,2,3.7,1.1,13.0,9.0,2.9,0.567,0.584,0.0,25.2,1.0,Vanderbilt,2012.0,15.71
Jeff Taylor,2012,31,2,23.1,Small Forward,Vanderbilt,/players/t/tayloje03.html,https://www.sports-reference.com/cbb/players/jeffery-taylor-1.html,F,-0.4,0.0075000000000000015,-5.15,2,8.0,2.4,8.4,1.4,12.6,0.58,0.693,0.366,26.4,1.6,Vanderbilt,2012.0,15.71
Bernard James,2012,33,2,27.4,Center,Florida State,/players/j/jamesbe01.html,https://www.sports-reference.com/cbb/players/bernard-james--1.html,BIG,0.0,0.10250000000000001,-2.0500000000000003,2,7.6,1.6,13.6,9.5,3.6,0.602,0.528,0.0,20.0,2.3,Florida St.,2012.0,18.25
