player_name,draft_year,draft_pick,draft_round,draft_age,position,college,bbref_url,cbb_url,position_group,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,school_name,college_season_year,program_srs
Cade Cunningham,2021,1,1,19.7,Point Guard,Oklahoma State,/players/c/cunnica01.html,https://www.sports-reference.com/cbb/players/cade-cunningham-1.html,G,2.4,0.078,2.4499999999999997,4,8.3,2.5,2.3,2.3,20.4,0.574,0.846,0.388,29.1,1.7,Oklahoma St.,2021.0,13.52
Evan Mobley,2021,3,1,20.0,Power Forward,USC,/players/m/mobleev01.html,https://www.sports-reference.com/cbb/players/evan-mobley-1.html,BIG,2.65,0.16875,3.05,4,13.7,1.4,9.6,8.8,14.1,0.624,0.694,0.117,22.8,2.6,USC,2021.0,20.5
Scottie Barnes,2021,4,1,19.9,"Power Forward, Shooting Guard,",Florida State,/players/b/barnesc01.html,https://www.sports-reference.com/cbb/players/scottie-barnes-1.html,G,2.775,0.1015,2.6750000000000003,4,7.9,3.4,7.4,2.1,31.6,0.548,0.621,0.205,23.7,1.0,Florida St.,2021.0,13.7
Jalen Suggs,2021,5,1,20.1,Point Guard,Gonzaga,/players/s/suggsja01.html,https://www.sports-reference.com/cbb/players/jalen-suggs-1.html,G,1.05,0.075,0.725,4,9.4,3.5,2.7,1.1,23.7,0.595,0.754,0.338,24.8,2.1,Gonzaga,2021.0,27.2
Franz Wagner,2021,8,1,19.8,Small Forward,Michigan,/players/w/wagnefr01.html,https://www.sports-reference.com/cbb/players/franz-wagner-1.html,F,1.75,0.12425,1.675,4,11.9,2.3,2.9,3.2,17.4,0.587,0.835,0.392,19.7,2.0,Michigan,2021.0,22.0
Davion Mitchell,2021,9,1,22.8,Point Guard,Baylor,/players/m/mitchda01.html,https://www.sports-reference.com/cbb/players/davion-mitchell-1.html,G,-0.1,0.07075000000000001,-2.425,4,7.4,3.0,1.4,1.3,25.0,0.565,0.653,0.435,19.5,3.8,,,
Ziaire Williams,2021,10,1,19.8,Small Forward,Stanford,/players/w/willizi02.html,https://www.sports-reference.com/cbb/players/ziaire-williams-1.html,F,-0.275,0.03625,-3.525,4,0.3,1.7,2.4,2.2,16.4,0.473,0.796,0.389,26.5,0.9,Stanford,2021.0,10.15
James Bouknight,2021,11,1,20.8,Shooting Guard,UConn,/players/b/bouknja01.html,https://www.sports-reference.com/cbb/players/james-bouknight-1.html,G,-0.25,0.011,-2.15,2,8.6,2.2,5.3,0.9,12.8,0.546,0.802,0.342,31.6,0.8,UConn,2021.0,15.77
Joshua Primo,2021,12,1,18.5,Shooting Guard,Alabama,/players/p/primojo01.html,https://www.sports-reference.com/cbb/players/joshua-primo-1.html,G,-0.1,-0.32899999999999996,-15.65,2,3.7,1.4,4.7,1.3,6.5,0.565,0.75,0.579,17.6,1.1,Alabama,2021.0,19.58
Chris Duarte,2021,13,1,24.0,Small Forward,Oregon,/players/d/duartch01.html,https://www.sports-reference.com/cbb/players/chris-duarte-1.html,F,-0.2333333333333333,0.07166666666666667,-2.2333333333333334,3,11.5,3.4,2.7,2.9,15.9,0.657,0.803,0.478,23.9,1.4,Oregon,2021.0,16.15
