player_name,draft_year,draft_pick,draft_round,draft_age,position,college,bbref_url,cbb_url,position_group,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,school_name,college_season_year,program_srs
Andrew Wiggins,2014,1,1,19.3,Small Forward,Kansas,/players/w/wiggian01.html,https://www.sports-reference.com/cbb/players/andrew-wiggins-1.html,F,-0.04999999999999999,0.045000000000000005,-2.1,4,8.3,2.1,8.4,3.1,9.2,0.563,0.775,0.299,26.3,1.7,Kansas,2014.0,20.25
Jabari Parker,2014,2,1,19.3,Power Forward,Duke,/players/p/parkeja01.html,https://www.sports-reference.com/cbb/players/jabari-parker-1.html,BIG,0.4,0.07575,-0.9,4,7.6,2.1,11.4,4.0,8.6,0.558,0.748,0.212,32.7,1.9,Duke,2014.0,19.51
Joel Embiid,2014,3,1,20.3,Center,Kansas,/players/e/embiijo01.html,https://www.sports-reference.com/cbb/players/joel-embiid-1.html,BIG,2.566666666666667,0.15533333333333335,4.233333333333333,3,11.9,2.3,12.7,11.7,11.5,0.655,0.685,0.029,23.4,1.7,Kansas,2014.0,20.25
Aaron Gordon,2014,4,1,18.8,Power Forward,Arizona,/players/g/gordoaa01.html,https://www.sports-reference.com/cbb/players/aaron-gordon-1.html,BIG,1.2,0.09525,0.22499999999999998,4,8.4,1.8,10.4,3.4,13.0,0.503,0.422,0.118,23.2,3.3,Arizona,2014.0,23.36
Marcus Smart,2014,6,1,20.3,Point Guard,Oklahoma State,/players/s/smartma01.html,https://www.sports-reference.com/cbb/players/marcus-smart-1.html,G,0.65,0.07975,-0.675,4,12.0,5.0,5.1,1.9,30.1,0.552,0.751,0.425,29.2,2.5,Oklahoma St.,2014.0,14.91
Julius Randle,2014,7,1,19.6,Power Forward,Kentucky,/players/r/randlju01.html,https://www.sports-reference.com/cbb/players/julius-randle-1.html,BIG,0.825,0.09775,-0.5,4,7.5,1.0,13.3,2.6,10.0,0.567,0.706,0.046,25.4,2.4,Kentucky,2014.0,18.07
Nik Stauskas,2014,8,1,20.7,Shooting Guard,Michigan,/players/s/stausni01.html,https://www.sports-reference.com/cbb/players/nik-stauskas-1.html,G,-0.35000000000000003,0.0315,-2.6999999999999997,4,9.3,1.0,1.6,0.9,18.8,0.642,0.832,0.528,24.4,1.1,Michigan,2014.0,18.52
Noah Vonleh,2014,9,1,18.8,Power Forward,Indiana,/players/v/vonleno01.html,https://www.sports-reference.com/cbb/players/noah-vonleh-1.html,BIG,-0.09999999999999999,0.074,-2.525,4,6.6,1.9,10.8,5.4,4.9,0.604,0.716,0.153,21.4,2.0,Indiana,2014.0,11.32
Elfrid Payton,2014,10,1,20.3,Point Guard,Louisiana,/players/p/paytoel01.html,https://www.sports-reference.com/cbb/players/elfrid-payton-1.html,G,0.775,0.06775,-0.49999999999999994,4,6.8,3.6,7.1,1.7,32.9,0.551,0.611,0.116,27.6,1.9,Louisiana,2014.0,-7.64
Doug McDermott,2014,11,1,22.5,Small Forward,Creighton,/players/m/mcderdo01.html,https://www.sports-reference.com/cbb/players/doug-mcdermott-1.html,F,-0.1,0.0805,-2.2,4,10.9,0.4,6.4,0.5,11.5,0.644,0.831,0.341,36.2,1.4,Creighton,2014.0,18.03
