player_name,draft_year,draft_pick,draft_round,draft_age,position,college,bbref_url,cbb_url,position_group,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,school_name,college_season_year,program_srs
Anthony Bennett,2013,1,1,20.3,Power Forward,UNLV,/players/b/bennean01.html,https://www.sports-reference.com/cbb/players/anthony-bennett-1.html,BIG,-0.13333333333333333,0.05366666666666667,-3.0666666666666664,3,8.6,1.5,10.3,4.6,8.8,0.609,0.701,0.253,27.5,2.2,UNLV,2013.0,12.81
Victor Oladipo,2013,2,1,21.1,Shooting Guard,Indiana,/players/o/oladivi01.html,https://www.sports-reference.com/cbb/players/victor-oladipo-1.html,G,2.3,0.101,1.65,4,15.1,4.6,11.8,2.8,15.2,0.671,0.716,0.224,22.2,2.6,Indiana,2013.0,24.92
Otto Porter Jr.,2013,3,1,20.1,Small Forward,Georgetown,/players/p/porteot01.html,https://www.sports-reference.com/cbb/players/otto-porter-1.html,F,2.325,0.13624999999999998,1.85,4,13.7,3.3,6.7,3.0,18.5,0.59,0.751,0.291,24.1,3.0,Georgetown,2013.0,15.86
Cody Zeller,2013,4,1,20.7,Center,Indiana,/players/z/zelleco01.html,https://www.sports-reference.com/cbb/players/cody-zeller-1.html,BIG,0.625,0.1485,-0.425,4,11.1,2.1,12.3,4.4,9.5,0.624,0.756,0.006,26.5,2.5,Indiana,2013.0,24.92
Alex Len,2013,5,1,20.0,Center,Maryland,/players/l/lenal01.html,https://www.sports-reference.com/cbb/players/alex-len-1.html,BIG,-0.04999999999999999,0.09675,-2.025,4,6.8,0.5,13.2,8.0,7.8,0.57,0.663,0.025,22.8,2.0,Maryland,2013.0,11.39
Nerlens Noel,2013,6,1,19.2,Center,Kentucky,/players/n/noelne01.html,https://www.sports-reference.com/cbb/players/nerlens-noel-1.html,BIG,0.85,0.11825,0.6,4,12.1,3.9,10.4,13.2,9.5,0.583,0.529,0.0,17.4,2.3,Kentucky,2013.0,13.96
Ben McLemore,2013,7,1,20.4,Shooting Guard,Kansas,/players/m/mclembe01.html,https://www.sports-reference.com/cbb/players/ben-mclemore-1.html,G,-0.5,0.02325,-3.525,4,10.5,1.8,5.0,2.2,12.6,0.633,0.87,0.435,23.2,2.3,Kansas,2013.0,20.79
Kentavious Caldwell-Pope,2013,8,1,20.3,Shooting Guard,Georgia,/players/c/caldwke01.html,https://www.sports-reference.com/cbb/players/kentavious-caldwell-pope-1.html,G,0.975,0.08324999999999999,-0.475,4,12.5,3.8,4.3,1.9,16.8,0.579,0.752,0.523,29.2,2.4,Georgia,2013.0,5.39
Trey Burke,2013,9,1,20.6,Point Guard,Michigan,/players/b/burketr01.html,https://www.sports-reference.com/cbb/players/trey-burke-1.html,G,0.375,0.07625,-0.6,4,13.1,2.8,1.9,1.5,37.3,0.569,0.777,0.354,28.3,1.8,Michigan,2013.0,21.29
CJ McCollum,2013,10,1,21.8,Shooting Guard,Lehigh,/players/m/mccolcj01.html,https://www.sports-reference.com/cbb/players/cj-mccollum-1.html,G,1.9749999999999999,0.108,0.975,4,9.3,2.7,4.0,1.2,24.9,0.628,0.825,0.33,37.2,0.6,Lehigh,2013.0,3.96
