player_name,draft_year,draft_pick,draft_round,draft_age,position,college,bbref_url,cbb_url,position_group,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,school_name,college_season_year,program_srs
Ben Simmons,2016,1,1,19.9,Point Guard,LSU,/players/s/simmobe01.html,https://www.sports-reference.com/cbb/players/ben-simmons-1.html,G,3.3499999999999996,0.1565,3.65,4,10.3,3.1,9.6,2.5,27.4,0.6,0.67,0.008,26.4,2.1,LSU,2016.0,8.79
Brandon Ingram,2016,2,1,18.8,Small Forward,Duke,/players/i/ingrabr01.html,https://www.sports-reference.com/cbb/players/brandon-ingram-1.html,F,1.2000000000000002,0.0895,0.2750000000000001,4,8.0,1.9,6.0,3.6,11.4,0.552,0.682,0.403,25.5,1.5,Duke,2016.0,19.23
Jaylen Brown,2016,3,1,19.7,Small Forward,California,/players/b/brownja02.html,https://www.sports-reference.com/cbb/players/jaylen-brown-1.html,F,1.125,0.10350000000000001,0.175,4,3.6,1.7,4.4,2.2,15.3,0.518,0.654,0.27,31.4,1.8,Cal,2016.0,-3.49
Kris Dunn,2016,5,1,22.3,Point Guard,Providence,/players/d/dunnkr01.html,https://www.sports-reference.com/cbb/players/kris-dunn-1.html,G,0.1,-0.017,-4.575,4,10.1,4.3,3.5,1.9,41.8,0.541,0.693,0.275,28.1,2.3,Providence,2016.0,11.94
Buddy Hield,2016,6,1,23.5,Shooting Guard,Oklahoma,/players/h/hieldbu01.html,https://www.sports-reference.com/cbb/players/buddy-hield-1.html,G,1.7,0.07075000000000001,0.9,4,12.8,1.8,4.0,1.4,12.7,0.665,0.836,0.536,30.2,1.9,Oklahoma,2016.0,19.76
Jamal Murray,2016,7,1,19.3,Point Guard,Kentucky,/players/m/murraja01.html,https://www.sports-reference.com/cbb/players/jamal-murray-1.html,G,1.475,0.10975,0.875,4,9.5,1.6,4.9,0.9,12.1,0.59,0.783,0.515,27.3,1.7,Kentucky,2016.0,20.23
Marquese Chriss,2016,8,1,19.0,Power Forward,Washington,/players/c/chrisma01.html,https://www.sports-reference.com/cbb/players/marquese-chriss-1.html,BIG,-0.049999999999999975,0.026500000000000003,-2.95,4,4.9,1.9,9.8,5.8,6.3,0.585,0.682,0.178,24.1,1.2,Washington,2016.0,11.21
Jakob Poeltl,2016,9,1,20.7,Center,Utah,/players/p/poeltja01.html,https://www.sports-reference.com/cbb/players/jakob-poeltl-1.html,BIG,1.2,0.16975,1.425,4,10.4,1.1,11.9,5.0,13.9,0.665,0.605,0.0,25.6,1.9,Utah,2016.0,15.5
Domantas Sabonis,2016,11,1,20.1,Center,Gonzaga,/players/s/sabondo01.html,https://www.sports-reference.com/cbb/players/domantas-sabonis-1.html,BIG,2.25,0.16,2.25,4,8.2,1.1,11.7,2.7,11.3,0.654,0.729,0.036,25.5,2.8,Gonzaga,2016.0,16.92
Taurean Prince,2016,12,1,22.3,Power Forward,Baylor,/players/p/princta02.html,https://www.sports-reference.com/cbb/players/taurean-prince-1.html,BIG,0.04999999999999999,0.03775,-1.95,4,6.6,2.4,9.2,2.7,14.8,0.537,0.718,0.339,28.1,1.4,Baylor,2016.0,16.13
Denzel Valentine,2016,14,1,22.6,Shooting Guard,Michigan State,/players/v/valende01.html,https://www.sports-reference.com/cbb/players/denzel-valentine-1.html,G,0.16666666666666666,0.04566666666666667,-1.4333333333333333,3,15.6,1.9,3.0,0.7,45.8,0.608,0.779,0.527,28.5,2.2,Michigan St.,2016.0,13.75
