player_name,draft_year,draft_pick,draft_round,draft_age,position,college,bbref_url,cbb_url,position_group,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,school_name,college_season_year,program_srs
Deandre Ayton,2018,1,1,19.9,Center,Arizona,/players/a/aytonde01.html,https://www.sports-reference.com/cbb/players/deandre-ayton-1.html,BIG,1.5,0.1655,1.325,4,11.0,1.0,13.5,6.1,10.2,0.65,0.733,0.078,26.6,2.1,Arizona,2018,15.67
Marvin Bagley III,2018,2,1,19.3,Power Forward,Duke,/players/b/baglema01.html,https://www.sports-reference.com/cbb/players/marvin-bagleyiii-1.html,BIG,-0.05,0.07225,-2.45,4,10.8,1.4,13.8,2.6,8.8,0.643,0.627,0.132,26.3,2.1,Duke,2018,24.43
Jaren Jackson Jr.,2018,4,1,18.8,Center,Michigan State,/players/j/jacksja02.html,https://www.sports-reference.com/cbb/players/jaren-jacksonjr-1.html,BIG,1.075,0.131,0.7999999999999999,4,11.7,1.6,8.8,14.3,9.3,0.647,0.797,0.414,23.5,2.2,Michigan St.,2018,19.03
Trae Young,2018,5,1,19.8,Point Guard,Oklahoma,/players/y/youngtr01.html,https://www.sports-reference.com/cbb/players/trae-young-1.html,G,3.575,0.15075,4.025,4,11.1,2.5,1.3,0.7,48.6,0.585,0.861,0.531,37.1,1.1,Oklahoma,2018,13.81
Mo Bamba,2018,6,1,20.1,Center,Texas,/players/b/bambamo01.html,https://www.sports-reference.com/cbb/players/mohamed-bamba-1.html,BIG,0.65,0.12725,0.425,4,10.9,1.5,12.2,13.1,3.6,0.593,0.681,0.189,21.3,2.4,Texas,2018,13.96
Wendell Carter Jr.,2018,7,1,19.2,Center,Duke,/players/c/cartewe01.html,https://www.sports-reference.com/cbb/players/wendell-carterjr-1.html,BIG,0.775,0.126,-0.27499999999999997,4,11.4,1.7,12.8,7.6,13.0,0.628,0.738,0.144,22.8,2.3,Duke,2018,24.43
Collin Sexton,2018,8,1,19.5,Shooting Guard,Alabama,/players/s/sextoco01.html,https://www.sports-reference.com/cbb/players/collin-sexton-1.html,G,0.275,0.05825,-1.8499999999999999,4,6.9,1.6,4.1,0.3,27.8,0.567,0.778,0.299,32.9,1.2,Alabama,2018,12.34
Kevin Knox,2018,9,1,18.9,Small Forward,Kentucky,/players/k/knoxke01.html,https://www.sports-reference.com/cbb/players/kevin-knox-1.html,F,-0.275,0.03825,-3.3,4,5.1,1.5,3.3,1.0,8.7,0.556,0.774,0.38,24.6,1.7,Kentucky,2018,17.24
Mikal Bridges,2018,10,1,21.8,Small Forward,Villanova,/players/b/bridgmi01.html,https://www.sports-reference.com/cbb/players/mikal-bridges-1.html,F,2.5,0.137,1.85,4,12.9,2.7,5.2,3.5,10.6,0.655,0.845,0.503,23.2,2.4,Villanova,2018,26.64
Shai Gilgeous-Alexander,2018,11,1,20.0,Point Guard,Kentucky,/players/g/gilgesh01.html,https://www.sports-reference.com/cbb/players/shai-gilgeous-alexander-1.html,G,3.075,0.15075,4.125,4,9.0,2.8,3.2,1.7,28.8,0.578,0.817,0.151,21.9,1.9,Kentucky,2018,17.24
