player_name,draft_year,draft_pick,draft_round,draft_age,college,position,position_group,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,program_srs,college_season_year,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bbref_url,cbb_url,school_name
Vince Edwards,2018,52,2,22.2,Purdue,Small Forward,F,8.1,1.0,8.4,2.0,17.1,0.587,0.82,0.339,23.8,2.1,23.41,2018.0,0.0,0.0,0.0,0,/players/e/edwarvi01.html,https://www.sports-reference.com/cbb/players/vince-edwards-2.html,Purdue
Devon Hall,2018,53,2,23.0,Virginia,Point Guard,G,10.1,1.8,1.4,0.6,19.6,0.599,0.807,0.454,19.5,2.6,22.2,2018.0,-0.1,-0.116,-6.7,1,/players/h/hallde01.html,https://www.sports-reference.com/cbb/players/devon-hall-1.html,Virginia
Shake Milton,2018,54,2,21.7,SMU,Shooting Guard,G,8.7,2.4,2.1,2.3,25.9,0.606,0.791,0.471,25.0,1.3,9.08,2018.0,0.05,0.09325,-1.7000000000000002,4,/players/m/miltosh01.html,https://www.sports-reference.com/cbb/players/malik-milton-1.html,SMU
Ray Spalding,2018,56,2,21.3,Louisville,Power Forward,BIG,8.2,3.1,13.2,6.3,9.6,0.568,0.579,0.056,22.9,2.4,14.3,2018.0,-0.1,-0.184,-14.3,1,/players/s/spaldra01.html,https://www.sports-reference.com/cbb/players/raymond-spalding-1.html,Louisville
Kevin Hervey,2018,57,2,22.0,UT Arlington,Power Forward,BIG,5.5,2.1,8.0,2.2,15.2,0.553,0.768,0.417,31.0,2.0,-1.24,2018.0,0.0,-0.085,-5.1,1,/players/h/herveke01.html,https://www.sports-reference.com/cbb/players/kevin-hervey-1.html,UTA
Thomas Welsh,2018,58,2,22.4,UCLA,Center,BIG,5.8,1.1,9.1,2.8,7.8,0.577,0.798,0.335,17.7,1.7,12.07,2018.0,0.0,0.0,0.0,0,/players/w/welshth01.html,https://www.sports-reference.com/cbb/players/thomas-welsh-1.html,UCLA
George King,2018,59,2,24.4,Colorado,Small Forward,F,4.7,1.1,7.2,2.6,8.2,0.574,0.731,0.492,23.3,1.3,6.06,2018.0,-0.1,-0.296,-20.1,1,/players/k/kingge03.html,https://www.sports-reference.com/cbb/players/george-king-1.html,Colorado
Kostas Antetokounmpo,2018,60,2,20.6,Dayton,Power Forward,BIG,-2.1,1.0,7.3,8.3,5.9,0.575,0.516,0.149,20.9,0.5,1.64,2018.0,-0.05,0.009500000000000008,-6.6499999999999995,2,/players/a/antetko01.html,https://www.sports-reference.com/cbb/players/kostas-antetokounmpo-1.html,Dayton
Zion Williamson,2019,1,1,19.0,Duke,Power Forward,BIG,20.1,3.9,12.7,5.8,14.9,0.702,0.64,0.163,28.6,2.8,26.9,2019.0,3.0666666666666664,0.18299999999999997,5.133333333333333,3,/players/w/willizi01.html,https://www.sports-reference.com/cbb/players/zion-williamson-1.html,Duke
Ja Morant,2019,2,1,19.9,Murray State,Point Guard,G,10.0,2.7,3.9,2.3,51.8,0.612,0.81,0.296,33.3,2.4,-14.57,2019.0,2.225,0.12925,3.625,4,/players/m/moranja01.html,https://www.sports-reference.com/cbb/players/temetrius-morant-1.html,Murray St.
RJ Barrett,2019,3,1,19.0,Duke,Shooting Guard,G,8.6,1.4,4.8,1.2,23.5,0.532,0.665,0.338,32.2,2.7,26.9,2019.0,0.15000000000000002,0.0605,-1.675,4,/players/b/barrerj01.html,https://www.sports-reference.com/cbb/players/rj-barrett-1.html,Duke
De'Andre Hunter,2019,4,1,21.6,Virginia,Small Forward,F,10.8,1.2,5.6,2.4,13.0,0.618,0.773,0.266,24.1,2.6,25.46,2019.0,-0.3,0.069,-2.1,4,/players/h/huntede01.html,https://www.sports-reference.com/cbb/players/deandre-hunter-1.html,Virginia
Darius Garland,2019,5,1,19.4,Vanderbilt,Point Guard,G,4.9,1.7,1.6,1.5,25.7,0.657,0.75,0.426,27.9,0.1,3.57,2019.0,1.475,0.09325,0.475,4,/players/g/garlada01.html,https://www.sports-reference.com/cbb/players/darius-garland-1.html,Vanderbilt
Jarrett Culver,2019,6,1,20.3,Texas Tech,Shooting Guard,G,11.6,2.7,5.6,2.2,26.1,0.542,0.687,0.292,32.2,3.5,22.79,2019.0,-0.3,0.006666666666666667,-5.066666666666666,3,/players/c/culveja01.html,https://www.sports-reference.com/cbb/players/jarrett-culver-1.html,Texas Tech
Coby White,2019,7,1,19.4,UNC,Shooting Guard,G,8.0,2.0,1.3,1.3,24.4,0.556,0.8,0.523,26.8,1.7,23.94,2019.0,0.3,0.071,-1.5,4,/players/w/whiteco01.html,https://www.sports-reference.com/cbb/players/coby-white-1.html,UNC
Jaxson Hayes,2019,8,1,19.1,Texas,Center,BIG,10.1,1.5,8.7,10.6,2.6,0.739,0.74,0.0,17.2,1.5,16.06,2019.0,0.375,0.15075,-0.575,4,/players/h/hayesja02.html,https://www.sports-reference.com/cbb/players/jaxson-hayes-1.html,Texas
Rui Hachimura,2019,9,1,21.4,Gonzaga,Power Forward,BIG,9.4,1.7,5.9,2.4,9.1,0.639,0.746,0.077,28.1,2.7,27.79,2019.0,0.0,0.07425,-1.9000000000000001,4,/players/h/hachiru01.html,https://www.sports-reference.com/cbb/players/rui-hachimura-1.html,Gonzaga
Cam Reddish,2019,10,1,19.8,Duke,Small Forward,F,4.5,2.9,2.0,1.9,10.7,0.499,0.772,0.618,25.3,2.2,26.9,2019.0,-0.175,0.037,-2.775,4,/players/r/reddica01.html,https://www.sports-reference.com/cbb/players/cam-reddish-1.html,Duke
Cameron Johnson,2019,11,1,23.3,UNC,Power Forward,BIG,5.1,1.6,2.9,1.3,12.4,0.586,0.798,0.65,18.2,1.3,,,1.3,0.121,1.375,4,/players/j/johnsca02.html,https://www.sports-reference.com/cbb/players/cameron-johnson-4.html,
P.J. Washington,2019,12,1,20.8,Kentucky,Power Forward,BIG,10.9,1.7,10.0,4.8,13.1,0.592,0.632,0.214,25.8,2.2,21.43,2019.0,0.45,0.06225,-1.1,4,/players/w/washipj01.html,https://www.sports-reference.com/cbb/players/pj-washington-1.html,Kentucky
Tyler Herro,2019,13,1,19.4,Kentucky,Shooting Guard,G,8.9,2.0,1.6,1.1,15.0,0.58,0.935,0.419,21.4,2.1,21.43,2019.0,1.1,0.06825,0.19999999999999998,4,/players/h/herroty01.html,https://www.sports-reference.com/cbb/players/tyler-herro-1.html,Kentucky
Romeo Langford,2019,14,1,19.7,Indiana,Shooting Guard,G,6.5,1.3,4.8,2.7,14.2,0.542,0.722,0.316,26.1,1.6,13.82,2019.0,-0.19999999999999998,0.038,-3.4,3,/players/l/langfro01.html,https://www.sports-reference.com/cbb/players/romeo-langford-1.html,Indiana
Chuma Okeke,2019,16,1,20.9,Auburn,Power Forward,BIG,11.1,3.6,10.7,5.5,12.5,0.597,0.703,0.419,20.0,2.3,20.84,2019.0,0.2,0.0515,-1.65,4,/players/o/okekech01.html,https://www.sports-reference.com/cbb/players/chuma-okeke-1.html,Auburn
Nickeil Alexander-Walker,2019,17,1,20.8,Virginia Tech,Shooting Guard,G,8.9,3.4,1.8,2.3,24.6,0.586,0.763,0.387,26.5,2.5,19.28,2019.0,0.30000000000000004,0.05175,-1.225,4,/players/a/alexani01.html,https://www.sports-reference.com/cbb/players/nickeil-alexander-walker-1.html,Virginia Tech
Matisse Thybulle,2019,20,1,22.3,Washington,Shooting Guard,G,11.6,6.7,3.0,8.4,13.5,0.542,0.782,0.559,17.2,3.1,12.01,2019.0,0.9750000000000001,0.09175,0.775,4,/players/t/thybuma01.html,https://www.sports-reference.com/cbb/players/matisse-thybulle-1.html,Washington
