player_name,draft_year,draft_pick,draft_round,draft_age,position,college,bbref_url,cbb_url,position_group,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,school_name,college_season_year,program_srs
Markelle Fultz,2017,1,1,19.1,Point Guard,Washington,/players/f/fultzma01.html,https://www.sports-reference.com/cbb/players/markelle-fultz-1.html,G,0.025,0.03225,-2.275,4,9.4,2.5,4.0,3.1,35.5,0.558,0.649,0.287,31.4,0.6,Washington,2017.0,2.15
Lonzo Ball,2017,2,1,19.7,Point Guard,UCLA,/players/b/balllo01.html,https://www.sports-reference.com/cbb/players/lonzo-ball-1.html,G,1.225,0.07175,1.125,4,12.0,2.8,3.2,2.1,31.4,0.673,0.673,0.566,18.1,2.0,UCLA,2017.0,20.67
Jayson Tatum,2017,3,1,19.3,Small Forward,Duke,/players/t/tatumja01.html,https://www.sports-reference.com/cbb/players/jayson-tatum-1.html,F,3.175,0.13725,3.175,4,7.9,2.3,4.8,3.2,12.4,0.566,0.849,0.321,26.2,1.8,Duke,2017.0,21.56
Josh Jackson,2017,4,1,20.4,Small Forward,Kansas,/players/j/jacksjo02.html,https://www.sports-reference.com/cbb/players/josh-jackson-2.html,F,-0.5,0.0085,-3.0,4,9.9,3.1,8.7,3.5,18.2,0.559,0.566,0.21,27.2,2.2,Kansas,2017.0,23.53
De'Aaron Fox,2017,5,1,19.5,Point Guard,Kentucky,/players/f/foxde01.html,https://www.sports-reference.com/cbb/players/deaaron-fox-1.html,G,1.65,0.095,1.125,4,8.2,2.7,2.1,0.7,28.6,0.549,0.736,0.154,27.5,2.1,Kentucky,2017.0,23.88
Jonathan Isaac,2017,6,1,19.7,Power Forward,Florida State,/players/i/isaacjo01.html,https://www.sports-reference.com/cbb/players/jonathan-isaac-1.html,BIG,0.9500000000000001,0.108,0.95,2,10.0,2.4,7.7,6.2,7.5,0.614,0.78,0.348,20.3,1.9,Florida St.,2017.0,22.4
Lauri Markkanen,2017,7,1,20.1,Power Forward,Arizona,/players/m/markkla01.html,https://www.sports-reference.com/cbb/players/lauri-markkanen-1.html,BIG,0.75,0.0995,-0.07499999999999998,4,9.4,0.8,10.0,1.8,5.6,0.635,0.835,0.434,22.5,1.8,Arizona,2017.0,18.25
Dennis Smith Jr.,2017,9,1,19.6,Point Guard,NC State,/players/s/smithde03.html,https://www.sports-reference.com/cbb/players/dennis-smithjr-1.html,G,-0.049999999999999996,0.005750000000000002,-2.3249999999999997,4,6.5,3.1,2.7,1.2,34.2,0.563,0.715,0.364,27.2,0.9,NC State,2017.0,6.09
Zach Collins,2017,10,1,19.6,Center,Gonzaga,/players/c/colliza01.html,https://www.sports-reference.com/cbb/players/zach-collins-1.html,BIG,0.13333333333333333,0.09133333333333332,-1.5,3,10.6,1.5,12.1,9.8,4.4,0.703,0.743,0.101,24.8,2.4,Gonzaga,2017.0,25.26
Malik Monk,2017,11,1,19.4,Shooting Guard,Kentucky,/players/m/monkma01.html,https://www.sports-reference.com/cbb/players/malik-monk-1.html,G,0.1,0.04375,-1.9,4,9.0,1.6,1.1,1.5,13.3,0.586,0.822,0.47,27.2,1.9,Kentucky,2017.0,23.88
Luke Kennard,2017,12,1,21.0,Shooting Guard,Duke,/players/k/kennalu01.html,https://www.sports-reference.com/cbb/players/luke-kennard-1.html,G,0.625,0.10075,-0.275,4,10.3,1.4,3.9,0.9,13.6,0.629,0.867,0.414,24.0,1.6,Duke,2017.0,21.56
Donovan Mitchell,2017,13,1,20.8,Shooting Guard,Louisville,/players/m/mitchdo01.html,https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html,G,2.725,0.13025,2.9499999999999997,4,11.1,3.7,3.7,1.7,16.0,0.534,0.788,0.509,24.6,2.4,Louisville,2017.0,22.47
Bam Adebayo,2017,14,1,19.9,Center,Kentucky,/players/a/adebaba01.html,https://www.sports-reference.com/cbb/players/edrice-adebayo-1.html,BIG,2.875,0.181,3.475,4,8.2,1.2,11.1,4.9,4.7,0.624,0.653,0.0,18.5,2.3,Kentucky,2017.0,23.88
Justin Jackson,2017,15,1,22.2,Small Forward,UNC,/players/j/jacksju01.html,https://www.sports-reference.com/cbb/players/justin-jackson-4.html,F,-0.1,0.0475,-2.95,4,9.8,1.3,4.8,0.8,15.8,0.555,0.713,0.477,25.7,1.8,UNC,2017.0,24.84
Justin Patton,2017,16,1,20.0,Center,Creighton,/players/p/pattoju01.html,https://www.sports-reference.com/cbb/players/justin-patton-1.html,BIG,0.0,0.030666666666666665,-4.766666666666667,3,8.4,1.9,8.0,5.9,8.5,0.671,0.517,0.051,22.0,1.8,Creighton,2017.0,17.27
D.J. Wilson,2017,17,1,21.3,Power Forward,Michigan,/players/w/wilsodj01.html,https://www.sports-reference.com/cbb/players/dj-wilson-1.html,BIG,-0.05,0.12475,-1.125,4,7.9,1.1,6.6,5.2,8.5,0.628,0.817,0.361,18.3,1.6,Michigan,2017.0,18.8
T.J. Leaf,2017,18,1,20.2,Power Forward,UCLA,/players/l/leaftj01.html,https://www.sports-reference.com/cbb/players/tj-leaf-1.html,BIG,0.06666666666666667,0.077,-1.9000000000000001,3,8.6,1.1,9.0,3.5,13.2,0.66,0.679,0.152,22.0,1.6,UCLA,2017.0,20.67
John Collins,2017,19,1,19.8,Power Forward,Wake Forest,/players/c/collijo01.html,https://www.sports-reference.com/cbb/players/john-collins-1.html,BIG,1.625,0.16299999999999998,1.95,4,9.9,1.3,16.4,6.6,4.5,0.658,0.729,0.003,29.9,1.0,Wake Forest,2017.0,14.19
Harry Giles,2017,20,1,19.2,Center,Duke,/players/g/gilesha01.html,https://www.sports-reference.com/cbb/players/harry-giles-1.html,BIG,-0.06666666666666667,0.079,-2.4,3,4.4,1.7,16.4,5.3,5.6,0.57,0.5,0.0,17.9,0.6,Duke,2017.0,21.56
Jarrett Allen,2017,22,1,19.2,Center,Texas,/players/a/allenja01.html,https://www.sports-reference.com/cbb/players/jarrett-allen-1.html,BIG,2.0,0.19425,2.225,4,5.2,1.0,10.9,5.0,5.7,0.571,0.564,0.022,22.6,1.7,Texas,2017.0,10.99
OG Anunoby,2017,23,1,19.9,Small Forward,Indiana,/players/a/anunoog01.html,https://www.sports-reference.com/cbb/players/og-anunoby-1.html,F,0.975,0.10300000000000001,0.125,4,8.9,3.0,8.5,5.5,11.0,0.611,0.522,0.369,20.8,0.7,Indiana,2017.0,14.63
Tyler Lydon,2017,24,1,21.2,Power Forward,Syracuse,/players/l/lydonty01.html,https://www.sports-reference.com/cbb/players/tyler-lydon-1.html,BIG,-0.1,0.086,-4.2,1,7.0,1.7,7.7,4.7,10.8,0.599,0.809,0.389,18.0,1.7,Syracuse,2017.0,13.7
Caleb Swanigan,2017,26,1,20.2,Power Forward,Purdue,/players/s/swanica01.html,https://www.sports-reference.com/cbb/players/caleb-swanigan-1.html,BIG,-0.25,-0.027999999999999997,-6.6,2,9.4,0.8,10.7,2.5,18.9,0.62,0.76,0.202,28.1,2.6,Purdue,2017.0,20.13
Kyle Kuzma,2017,27,1,21.9,Power Forward,Utah,/players/k/kuzmaky01.html,https://www.sports-reference.com/cbb/players/kyle-kuzma-1.html,BIG,0.5,0.063,-1.15,4,6.3,1.1,11.3,1.6,15.2,0.565,0.633,0.233,27.0,1.8,Utah,2017.0,12.45
Tony Bradley,2017,28,1,19.5,Center,UNC,/players/b/bradlto01.html,https://www.sports-reference.com/cbb/players/tony-bradley-1.html,BIG,0.3,0.1675,-1.3,4,7.9,1.0,18.6,4.4,7.2,0.59,0.619,0.0,20.7,1.0,UNC,2017.0,24.84
Derrick White,2017,29,1,23.0,Shooting Guard,Colorado,/players/w/whitede01.html,https://www.sports-reference.com/cbb/players/derrick-white-1.html,G,1.3,0.10400000000000001,1.1,4,12.4,2.2,3.5,4.9,28.6,0.627,0.813,0.356,25.3,1.4,Colorado,2017.0,9.12
Josh Hart,2017,30,1,22.3,Small Forward,Villanova,/players/h/hartjo01.html,https://www.sports-reference.com/cbb/players/josh-hart-1.html,F,0.65,0.0895,-0.475,4,12.0,2.9,5.8,1.0,18.8,0.619,0.72,0.395,27.8,2.6,Villanova,2017.0,23.8
Frank Jackson,2017,31,2,19.1,Point Guard,Duke,/players/j/jacksfr01.html,https://www.sports-reference.com/cbb/players/frank-jackson-2.html,G,-0.45,0.03375,-3.8249999999999997,4,5.1,1.3,3.1,0.2,12.6,0.598,0.755,0.459,21.1,0.9,Duke,2017.0,21.56
Davon Reed,2017,32,2,22.0,Shooting Guard,Miami (FL),/players/r/reedda01.html,https://www.sports-reference.com/cbb/players/davon-reed-1.html,G,0.15,0.0905,-2.9,2,8.2,2.3,2.9,1.5,14.3,0.58,0.779,0.535,22.2,1.9,Miami (FL),2017.0,14.48
Wes Iwundu,2017,33,2,22.5,Small Forward,Kansas State,/players/i/iwundwe01.html,https://www.sports-reference.com/cbb/players/wesley-iwundu-1.html,F,-0.325,0.05,-4.725,4,7.5,1.9,4.1,1.2,22.9,0.585,0.688,0.271,22.3,1.8,Kansas St.,2017.0,23.53
Frank Mason III,2017,34,2,23.2,Point Guard,Kansas,/players/m/masonfr01.html,https://www.sports-reference.com/cbb/players/frank-mason-1.html,G,-0.03333333333333333,0.05266666666666667,-3.6,3,11.3,2.0,2.0,0.2,26.1,0.622,0.761,0.354,25.6,1.7,Kansas,2017.0,23.53
Ivan Rabb,2017,35,2,20.4,Power Forward,California,/players/r/rabbiv01.html,https://www.sports-reference.com/cbb/players/ivan-rabb-1.html,BIG,0.1,0.137,-1.4,1,6.4,1.3,10.7,3.3,10.9,0.541,0.666,0.064,23.8,2.5,Cal,2017.0,-10.71
Semi Ojeleye,2017,37,2,22.6,Power Forward,SMU,/players/o/ojelese01.html,https://www.sports-reference.com/cbb/players/semi-ojeleye-1.html,BIG,-0.175,0.05925,-3.45,4,9.3,0.8,8.4,1.6,9.3,0.621,0.785,0.399,25.9,2.2,,,
Jordan Bell,2017,38,2,22.5,Center,Oregon,/players/b/belljo01.html,https://www.sports-reference.com/cbb/players/jordan-bell-1.html,BIG,0.025,0.1895,-1.625,4,10.8,2.5,12.2,8.5,11.4,0.658,0.63,0.052,18.0,3.0,Oregon,2017.0,20.8
Jawun Evans,2017,39,2,20.9,Point Guard,Oklahoma State,/players/e/evansja01.html,https://www.sports-reference.com/cbb/players/jawun-evans-1.html,G,-0.1,-0.151,-10.3,1,9.2,3.3,2.8,0.5,43.6,0.535,0.818,0.197,32.7,0.8,Oklahoma St.,2017.0,11.42
Dwayne Bacon,2017,40,2,21.8,Shooting Guard,Florida State,/players/b/bacondw01.html,https://www.sports-reference.com/cbb/players/dwayne-bacon-1.html,G,-0.8666666666666667,0.010999999999999998,-5.2,3,5.5,1.9,4.0,0.4,11.6,0.544,0.733,0.35,29.4,1.3,Florida St.,2017.0,22.4
Tyler Dorsey,2017,41,2,21.3,Shooting Guard,Oregon,/players/d/dorsety01.html,https://www.sports-reference.com/cbb/players/tyler-dorsey-1.html,G,-0.3,0.043,-3.5,1,6.8,1.5,3.5,0.4,10.7,0.606,0.732,0.514,22.9,1.7,Oregon,2017.0,20.8
Thomas Bryant,2017,42,2,19.9,Center,Indiana,/players/b/bryanth01.html,https://www.sports-reference.com/cbb/players/thomas-bryant-1.html,BIG,0.75,0.15775,1.0250000000000001,4,6.2,1.6,9.7,5.7,9.8,0.601,0.718,0.211,22.2,1.4,Indiana,2017.0,14.63
Damyean Dotson,2017,44,2,23.1,Shooting Guard,Oregon,/players/d/dotsoda01.html,https://www.sports-reference.com/cbb/players/damyean-dotson-1.html,G,-0.19999999999999998,0.03325,-3.425,4,3.7,1.6,3.7,0.6,8.1,0.523,0.763,0.355,21.5,2.4,,,
Dillon Brooks,2017,45,2,21.4,Small Forward,Oregon,/players/b/brookdi01.html,https://www.sports-reference.com/cbb/players/dillon-brooks-1.html,F,-0.6000000000000001,0.03575,-3.975,4,9.1,2.5,4.8,2.0,23.1,0.585,0.794,0.336,31.6,1.6,Oregon,2017.0,20.8
Sterling Brown,2017,46,2,22.4,Shooting Guard,SMU,/players/b/brownst02.html,https://www.sports-reference.com/cbb/players/sterling-brown-2.html,G,0.025,0.075,-2.0,4,8.9,2.7,6.0,2.2,17.9,0.583,0.77,0.387,21.9,2.7,SMU,2017.0,18.71
Ike Anigbogu,2017,47,2,18.7,Center,UCLA,/players/a/anigbik01.html,https://www.sports-reference.com/cbb/players/ike-anigbogu-1.html,BIG,0.0,-0.48,-16.2,1,0.9,0.7,13.2,8.8,2.3,0.564,0.535,0.0,18.4,0.7,UCLA,2017.0,20.67
Sindarius Thornwell,2017,48,2,22.6,Shooting Guard,South Carolina,/players/t/thornsi01.html,https://www.sports-reference.com/cbb/players/sindarius-thornwell-1.html,G,-0.13333333333333333,0.038,-3.4000000000000004,3,17.1,3.6,8.0,3.4,19.1,0.59,0.771,0.337,29.5,2.8,South Carolina,2017.0,17.52
Monte Morris,2017,51,2,22.0,Point Guard,Iowa State,/players/m/morrimo01.html,https://www.sports-reference.com/cbb/players/monte-morris-1.html,G,1.0,0.1235,0.25,4,10.5,2.4,3.7,0.8,32.0,0.555,0.78,0.308,22.8,1.7,Iowa St.,2017.0,10.01
Edmond Sumner,2017,52,2,21.5,Shooting Guard,Xavier,/players/s/sumneed01.html,https://www.sports-reference.com/cbb/players/edmond-sumner-1.html,G,-0.16666666666666666,0.047999999999999994,-3.6666666666666665,3,8.8,2.3,1.8,2.7,30.2,0.57,0.73,0.209,24.0,0.9,Xavier,2017.0,14.8
Kadeem Allen,2017,53,2,24.4,Point Guard,Arizona,/players/a/allenka01.html,https://www.sports-reference.com/cbb/players/kadeem-allen-1.html,G,0.15,0.082,-0.2,2,7.4,3.1,1.5,2.3,17.8,0.57,0.725,0.318,18.1,2.0,Arizona,2017.0,18.25
Alec Peters,2017,54,2,22.2,Power Forward,Valparaiso,/players/p/peteral01.html,https://www.sports-reference.com/cbb/players/alec-peters-1.html,BIG,0.0,0.0,0.0,0,7.9,1.3,8.5,1.2,14.8,0.594,0.846,0.342,30.8,1.9,Valparaiso,2017.0,3.94
Nigel Williams-Goss,2017,55,2,22.8,Point Guard,Gonzaga,/players/w/willini01.html,https://www.sports-reference.com/cbb/players/nigel-williams-goss-1.html,G,0.0,0.017,-3.9,1,2.6,1.9,2.5,0.5,31.5,0.516,0.744,0.225,24.7,2.0,,,
Jabari Bird,2017,56,2,23.0,Shooting Guard,California,/players/b/birdja01.html,https://www.sports-reference.com/cbb/players/jabari-bird-1.html,G,0.0,0.0,0.0,0,6.2,1.3,3.5,0.8,7.7,0.562,0.753,0.56,23.5,1.6,Cal,2017.0,-10.71
Jaron Blossomgame,2017,59,2,23.8,Small Forward,Clemson,/players/b/blossja01.html,https://www.sports-reference.com/cbb/players/jaron-blossomgame-1.html,F,-0.2,0.03,-3.8,1,6.2,1.4,5.9,2.9,9.7,0.561,0.724,0.213,25.9,1.1,Clemson,2017.0,13.22
