player_name,draft_year,draft_pick,draft_round,draft_age,position,college,bbref_url,cbb_url,position_group,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,school_name,college_season_year,program_srs
Karl-Anthony Towns,2015,1,1,19.6,Center,Kentucky,/players/t/townska01.html,https://www.sports-reference.com/cbb/players/karl-anthony-towns-1.html,BIG,4.6,0.20800000000000002,5.9,4,14.3,1.4,14.2,11.5,11.6,0.627,0.813,0.031,23.7,2.9,Kentucky,2015.0,28.72
D'Angelo Russell,2015,2,1,19.3,Point Guard,Ohio State,/players/r/russeda01.html,https://www.sports-reference.com/cbb/players/dangelo-russell-1.html,G,1.425,0.051000000000000004,0.825,4,11.9,2.8,3.6,1.1,30.1,0.573,0.756,0.449,30.2,2.4,Ohio St.,2015.0,-4.15
Jahlil Okafor,2015,3,1,19.5,Center,Duke,/players/o/okafoja01.html,https://www.sports-reference.com/cbb/players/jahlil-okafor-1.html,BIG,0.05,0.09525,-1.475,4,10.4,1.5,14.8,4.5,9.4,0.641,0.51,0.0,27.6,2.2,Duke,2015.0,24.97
Willie Cauley-Stein,2015,6,1,21.9,Center,Kentucky,/players/c/caulewi01.html,https://www.sports-reference.com/cbb/players/willie-cauley-stein-1.html,BIG,0.95,0.11649999999999999,0.15,4,12.6,2.9,11.1,7.1,7.4,0.588,0.508,0.0,17.8,3.4,Kentucky,2015.0,28.72
Stanley Johnson,2015,8,1,19.1,Small Forward,Arizona,/players/j/johnsst04.html,https://www.sports-reference.com/cbb/players/stanley-johnson-1.html,F,-0.175,0.02325,-2.65,4,9.4,3.2,8.9,1.6,11.6,0.551,0.742,0.297,26.6,2.9,Arizona,2015.0,24.33
Frank Kaminsky,2015,9,1,22.2,Center,Wisconsin,/players/k/kaminfr01.html,https://www.sports-reference.com/cbb/players/frank-kaminsky-1.html,BIG,0.47500000000000003,0.08775,-0.4,4,16.2,1.7,6.0,4.5,18.4,0.628,0.763,0.207,28.6,2.9,Wisconsin,2015.0,24.61
Justise Winslow,2015,10,1,19.2,"Power Forward, Small Forward,",Duke,/players/w/winslju01.html,https://www.sports-reference.com/cbb/players/justise-winslow-1.html,BIG,0.175,0.03225,-2.275,4,10.0,2.8,5.4,2.9,13.2,0.572,0.641,0.309,22.9,2.5,Duke,2015.0,24.97
Myles Turner,2015,11,1,19.3,Center,Texas,/players/t/turnemy01.html,https://www.sports-reference.com/cbb/players/myles-turner-1.html,BIG,1.55,0.132,0.875,4,9.3,0.8,7.2,12.3,6.2,0.556,0.839,0.241,25.1,2.1,Texas,2015.0,16.16
Trey Lyles,2015,12,1,19.6,Power Forward,Kentucky,/players/l/lylestr01.html,https://www.sports-reference.com/cbb/players/trey-lyles-1.html,BIG,0.30000000000000004,0.07450000000000001,-1.125,4,8.0,1.4,9.9,2.1,9.2,0.543,0.735,0.121,20.8,2.3,Kentucky,2015.0,28.72
Devin Booker,2015,13,1,18.7,Shooting Guard,Kentucky,/players/b/bookede01.html,https://www.sports-reference.com/cbb/players/devin-booker-2.html,G,1.45,0.07925,0.55,4,9.4,1.3,2.6,0.3,10.9,0.6,0.828,0.491,22.8,1.8,Kentucky,2015.0,28.72
Cameron Payne,2015,14,1,20.9,Point Guard,Murray State,/players/p/payneca01.html,https://www.sports-reference.com/cbb/players/cameron-payne-1.html,G,-0.075,0.04475,-1.95,4,9.9,3.6,2.2,1.6,40.0,0.573,0.781,0.415,31.5,1.8,Murray St.,2015.0,-6.14
Kelly Oubre Jr.,2015,15,1,19.5,Small Forward,Kansas,/players/o/oubreke01.html,https://www.sports-reference.com/cbb/players/kelly-oubre-1.html,F,0.2,0.072,-1.65,4,8.8,3.3,6.4,1.8,8.1,0.555,0.718,0.383,23.1,1.7,Kansas,2015.0,18.47
Terry Rozier,2015,16,1,21.3,Point Guard,Louisville,/players/r/roziete01.html,https://www.sports-reference.com/cbb/players/terry-rozier-1.html,G,0.9750000000000001,0.084,0.025000000000000036,4,9.4,3.5,3.8,0.5,19.7,0.509,0.772,0.301,27.8,3.0,Louisville,2015.0,18.12
Rashad Vaughn,2015,17,1,18.9,Shooting Guard,UNLV,/players/v/vaughra01.html,https://www.sports-reference.com/cbb/players/rashad-vaughn-1.html,G,-0.1,0.022500000000000003,-3.1,2,4.5,1.5,2.3,1.1,11.8,0.547,0.694,0.43,30.8,1.1,UNLV,2015.0,5.41
Sam Dekker,2015,18,1,21.1,Power Forward,Wisconsin,/players/d/dekkesa01.html,https://www.sports-reference.com/cbb/players/sam-dekker-1.html,BIG,0.16666666666666666,0.078,-1.6333333333333335,3,10.4,1.1,8.4,1.5,8.6,0.605,0.695,0.372,23.2,1.9,Wisconsin,2015.0,24.61
Jerian Grant,2015,19,1,22.7,Point Guard,Notre Dame,/players/g/grantje02.html,https://www.sports-reference.com/cbb/players/jerian-grant-1.html,G,0.22499999999999998,0.07,-2.325,4,9.0,2.8,1.3,1.4,33.6,0.592,0.79,0.37,24.2,1.6,Notre Dame,2015.0,19.23
Delon Wright,2015,20,1,23.2,Point Guard,Utah,/players/w/wrighde01.html,https://www.sports-reference.com/cbb/players/delon-wright-1.html,G,1.35,0.131,2.175,4,15.5,4.0,4.0,3.2,33.0,0.619,0.814,0.225,22.8,3.1,Utah,2015.0,20.98
Justin Anderson,2015,21,1,21.6,Small Forward,Virginia,/players/a/anderju01.html,https://www.sports-reference.com/cbb/players/justin-anderson-1.html,F,0.0,0.0445,-3.15,4,12.7,1.6,3.1,2.5,14.0,0.61,0.752,0.471,23.3,1.8,Virginia,2015.0,21.73
Bobby Portis,2015,22,1,20.4,Power Forward,Arkansas,/players/p/portibo01.html,https://www.sports-reference.com/cbb/players/bobby-portis-1.html,BIG,0.375,0.08475,-1.05,4,8.9,2.1,13.6,4.8,8.8,0.582,0.737,0.064,26.7,1.9,Arkansas,2015.0,14.07
