player_name,nba_id,team,bpr,obpr,dbpr,box_bpr,box_obpr,box_dbpr,gp,mpg
Davion Mitchell,1630558,MIA,9.147,2.631,6.516,2.273,1.317,0.956,81,28.575714285714287
Nolan Traore,1642849,BKN,-1.766,-1.52,-0.246,-3.905,-2.08,-1.825,62,22.203869047619047
Quenton Jackson,1631245,IND,2.253,-0.638,2.891,0.477,-0.449,0.926,56,18.314625850340136
Mouhamadou Gueye,1631338,CHI,-0.099,-0.176,0.077,,,,2,22.725
Trevon Scott,1630286,BKN,-0.702,-0.193,-0.509,,,,6,30.37222222222222
Olivier-Maxence Prosper,1641765,MEM,2.727,1.235,1.492,-2.893,-1.096,-1.797,66,18.558490566037737
DeJon Jarreau,1630610,MEM,-0.184,-0.202,0.019,,,,11,20.975757575757576
Dennis Schröder,203471,CLE,-0.158,-0.771,0.612,-3.913,-2.848,-1.065,31,21.355
Bruce Brown,1628971,DEN,0.328,2.399,-2.071,0.987,0.611,0.376,82,24.36341463414634
Draymond Green,203110,GSW,-1.111,-2.51,1.399,-0.541,-1.793,1.252,72,27.484313725490196
Al Horford,201143,GSW,4.638,3.609,1.028,0.467,0.31,0.157,48,21.537777777777777
Keon Ellis,1631165,CLE,-1.15,-0.342,-0.807,-1.056,-1.058,0.002,31,24.844252873563217
Luguentz Dort,1629652,OKC,2.816,-0.507,3.323,4.975,1.153,3.822,74,26.792753623188403
Nick Richards,1630208,CHI,-2.523,-1.078,-1.444,-2.816,-2.032,-0.784,24,22.359166666666667
Malachi Smith,1641869,BKN,-1.84,-1.167,-0.673,-1.791,-1.157,-0.634,16,23.92111111111111
Brook Lopez,201572,LAC,2.593,2.002,0.592,1.674,1.281,0.393,82,21.80377777777778
Gui Santos,1630611,GSW,6.598,4.667,1.931,1.448,-0.07,1.518,81,20.520588235294117
Jordan Clarkson,203903,NYK,-2.169,-2.5,0.33,1.483,-0.375,1.858,82,17.77037037037037
Dominick Barlow,1631230,PHI,4.028,0.566,3.462,1.727,-0.182,1.909,72,23.781924882629106
Scoot Henderson,1630703,POR,-2.473,-1.288,-1.185,1.528,-0.399,1.927,56,24.92777777777778
Bez Mbeng,1643016,UTA,-3.076,-2.27,-0.806,-2.917,-1.751,-1.166,16,32.812222222222225
Walter Clayton Jr.,1642383,MEM,-6.247,-1.91,-4.337,-4.83,-2.006,-2.824,31,24.972916666666666
Bones Hyland,1630538,MIN,4.878,2.045,2.833,2.937,0.885,2.052,81,16.576291079812208
Cody Williams,1642262,UTA,0.628,-2.095,2.723,-3.571,-1.097,-2.474,78,24.336567164179105
Moussa Diabaté,1631217,CHA,5.913,2.322,3.59,4.948,3.485,1.463,77,26.01369863013699
LJ Cryer,1643018,GSW,0.455,-0.301,0.757,1.751,-0.078,1.829,20,16.230555555555558
Ryan Kalkbrenner,1641750,CHA,-2.062,-1.42,-0.643,-0.492,-1.307,0.815,70,21.43719806763285
Cam Whitmore,1641715,WAS,-4.906,-1.9,-3.005,-5.108,-2.038,-3.07,26,16.857936507936508
Jose Alvarado,1630631,NOP,2.171,0.946,1.226,1.452,-0.797,2.249,44,21.864634146341466
Simone Fontecchio,1631323,MIA,10.072,1.959,8.113,3.15,0.629,2.521,81,16.750714285714285
Luke Kennard,1628379,ATL,2.863,2.924,-0.061,2.071,1.424,0.647,50,20.51086956521739
Kris Dunn,1627739,LAC,6.534,-0.99,7.525,1.301,0.419,0.882,82,27.195528455284553
Jalen Slawson,1641771,IND,-0.074,-0.153,0.079,,,,13,23.888461538461538
Ja'Kobe Walter,1642266,TOR,-5.975,-5.38,-0.595,2.26,-0.378,2.638,74,20.466435185185183
Justin Champagnie,1630551,WAS,5.852,3.579,2.273,-1.618,0.089,-1.707,82,19.963285024154587
Josh Minott,1631169,BKN,3.02,0.369,2.651,1.519,-0.266,1.785,24,19.255208333333332
Gary Trent Jr.,1629018,MIL,-3.666,0.982,-4.648,-3.297,-1.128,-2.169,74,21.19076923076923
Caris LeVert,1627747,DET,0.64,-1.347,1.988,0.535,-2.217,2.752,62,19.240833333333335
Leaky Black,1641778,WAS,-4.547,-2.312,-2.235,-3.167,-1.2,-1.967,15,28.87222222222222
Jaxson Hayes,1629637,LAL,-1.181,2.051,-3.232,2.736,1.851,0.885,71,18.28207070707071
Luka Garza,1630568,BOS,4.811,3.194,1.616,4.312,3.535,0.777,80,16.20169082125604
Chaney Johnson,1643052,BKN,-0.188,-0.077,-0.112,-0.982,-0.749,-0.233,20,20.44607843137255
Lawson Lovering,1643133,MEM,-0.144,-0.05,-0.094,,,,2,24.633333333333333
Nate Williams,1631466,GSW,-4.563,-0.776,-3.786,-4.018,-0.199,-3.819,16,17.083333333333332
Javonte Green,1629750,DET,5.745,0.535,5.21,4.441,-0.65,5.091,82,17.635162601626014
Buddy Hield,1627741,GSW,-1.433,-0.895,-0.538,-1.217,-0.564,-0.653,51,17.457575757575757
Ben Saraf,1642879,BKN,-3.316,-3.893,0.576,-3.329,-3.232,-0.097,48,20.825378787878787
Jaylin Williams,1631119,OKC,2.086,-1.431,3.517,5.546,0.274,5.272,69,19.652051282051282
Quinten Post,1642366,GSW,1.212,0.824,0.388,2.041,0.879,1.162,76,17.301990049751243
Gary Payton II,1627780,GSW,-4.118,-4.38,0.262,2.977,1.429,1.548,81,15.647716894977169
Cameron Payne,1626166,PHI,-1.126,-1.448,0.322,-1.591,-1.512,-0.079,24,17.015151515151516
Patrick Williams,1630172,CHI,-5.649,-4.821,-0.828,-4.668,-4.114,-0.554,74,20.469444444444445
Tristan Vukcevic,1641774,WAS,-4.411,-2.79,-1.621,-4.333,-2.178,-2.155,66,13.693877551020408
Sharife Cooper,1630536,WAS,-2.931,-2.815,-0.116,-2.304,-0.352,-1.952,50,17.073170731707318
Jevon Carter,1628975,ORL,-5.194,-2.91,-2.284,-2.561,-1.639,-0.922,32,20.44
Kevin Huerter,1628989,DET,2.006,0.705,1.301,2.445,0.632,1.813,32,20.484666666666666
Ben Sheppard,1641767,IND,-2.478,-3.685,1.207,-1.832,-1.349,-0.483,70,21.39179487179487
Jamal Shead,1642347,TOR,3.593,-0.756,4.349,4.159,0.968,3.191,82,22.58882113821138
Anfernee Simons,1629014,CHI,1.936,1.398,0.538,1.79,0.99,0.8,14,28.355555555555554
Vince Williams Jr.,1631246,MEM,3.963,-0.306,4.27,3.564,-0.299,3.863,42,21.644607843137255
Luke Kornet,1628436,SAS,-2.94,-0.976,-1.965,3.566,2.031,1.535,68,21.030637254901958
Oso Ighodaro,1642345,PHX,4.444,2.73,1.715,2.954,0.459,2.495,82,22.053658536585367
Kobe Sanders,1642920,LAC,1.219,-2.166,3.385,0.681,-0.126,0.807,76,19.873774509803923
Terance Mann,1629611,BKN,2.355,0.833,1.523,-1.411,-0.765,-0.646,71,24.27037037037037
Isaiah Jackson,1630543,IND,-1.089,0.439,-1.528,0.353,0.191,0.162,38,16.792105263157893
Bryce McGowens,1631121,NOP,-0.392,0.213,-0.605,-0.208,0.683,-0.891,53,20.95079365079365
Jamir Watkins,1642364,WAS,-4.493,-3.707,-0.786,-0.837,-0.77,-0.067,58,20.643666666666665
D'Angelo Russell,1626156,DAL,-0.566,-2.252,1.685,-0.062,-1.435,1.373,42,19.030128205128207
Jose Alvarado,1630631,NYK,2.171,0.946,1.226,1.452,-0.797,2.249,30,16.92142857142857
Paul Reed,1630194,DET,9.141,3.651,5.49,5.931,1.137,4.794,81,13.856153846153846
PJ Hall,1641790,CHA,-0.445,-0.129,-0.316,,,,12,15.558333333333334
Zach Collins,1628380,CHI,4.326,2.919,1.408,4.307,2.831,1.476,16,18.373333333333335
Walter Clayton Jr.,1642383,UTA,-6.247,-1.91,-4.337,-4.83,-2.006,-2.824,50,18.026666666666664
KJ Simpson,1642354,CHA,-0.008,-0.095,0.087,,,,14,15.938095238095238
Pat Spencer,1630311,GSW,-1.263,0.942,-2.204,-0.503,-0.452,-0.051,80,18.62070707070707
Drake Powell,1642962,BKN,-6.623,-7.073,0.45,-5.952,-5.121,-0.831,69,20.944444444444446
Ryan Nembhard,1642948,DAL,0.525,1.598,-1.073,0.584,-0.156,0.74,67,19.514722222222225
Julian Strawther,1631124,DEN,-0.874,-1.115,0.242,0.161,0.211,-0.05,70,15.099415204678364
Jared McCain,1642272,PHI,1.398,-0.498,1.896,2.96,0.489,2.471,42,16.75990990990991
Isaiah Jackson,1630543,LAC,-1.089,0.439,-1.528,0.353,0.191,0.162,22,15.89607843137255
Moritz Wagner,1629021,ORL,-4.418,-2.823,-1.596,-3.595,-2.44,-1.155,43,11.85
Svi Mykhailiuk,1629004,UTA,-0.297,1.238,-1.535,-0.446,0.787,-1.233,82,23.112333333333332
Mitchell Robinson,1629011,NYK,4.077,0.588,3.489,3.802,1.713,2.089,60,19.575277777777778
Ethan Thompson,1630679,IND,4.868,1.375,3.493,2.192,0.118,2.074,39,20.413020833333334
Kenrich Williams,1629026,OKC,0.01,-3.082,3.092,0.513,-1.009,1.522,64,15.271130952380952
Jonathan Kuminga,1630228,GSW,3.473,-2.242,5.715,3.31,-0.279,3.589,43,23.8075
Trendon Watford,1630570,PHI,-2.962,-2.311,-0.652,-2.572,-2.362,-0.21,62,16.296226415094342
Tyrese Martin,1631213,BKN,-1.259,-1.338,0.079,-1.983,-1.51,-0.473,48,18.810810810810814
Dean Wade,1629731,CLE,6.34,4.167,2.173,5.679,3.113,2.566,61,22.333050847457628
Alex Caruso,1627936,OKC,5.33,-1.423,6.754,6.996,0.597,6.399,63,18.220535714285713
Yves Missi,1642274,NOP,0.538,-0.05,0.587,0.886,-0.198,1.084,69,19.651767676767676
Ryan Dunn,1642346,PHX,6.67,1.08,5.589,1.842,-0.976,2.818,74,19.36095238095238
Gradey Dick,1641711,TOR,4.685,0.035,4.65,2.491,-0.735,3.226,82,14.036622807017544
Will Richard,1642954,GSW,3.439,1.153,2.286,-0.885,-1.625,0.74,82,19.953623188405796
Sion James,1642883,CHA,-4.961,-0.724,-4.237,0.459,-0.752,1.211,82,22.47987804878049
Scotty Pippen Jr.,1630590,MEM,-0.363,-1.24,0.878,-1.713,-1.947,0.234,21,21.186666666666667
Kyle Anderson,203937,MEM,1.473,1.433,0.04,0.512,-1.415,1.927,7,22.3125
Killian Hayes,1630165,SAC,-0.585,-2.038,1.453,-1.004,-2.327,1.323,24,17.631884057971014
John Konchar,1629723,UTA,1.5,-1.375,2.875,1.14,-1.369,2.509,29,26.157692307692308
Karlo Matković,1631255,NOP,0.488,-0.618,1.106,0.576,-1.505,2.081,66,14.705645161290324
Andersson Garcia,1643158,UTA,1.251,0.404,0.846,,,,5,33.75
Baylor Scheierman,1631248,BOS,1.507,-1.012,2.519,3.923,1.018,2.905,82,18.562987012987016
Garrison Mathews,1629726,IND,1.683,-0.832,2.515,1.919,-0.63,2.549,15,13.074444444444445
Tyson Etienne,1630623,BKN,-2.67,-1.16,-1.51,-2.318,-1.203,-1.115,37,15.834027777777777
Johnny Furphy,1642277,IND,1.365,0.919,0.447,-0.25,-0.419,0.169,35,18.373333333333335
Steven Adams,203500,HOU,5.524,1.271,4.253,5.004,0.545,4.459,37,22.823958333333334
Andre Drummond,203083,PHI,2.33,0.519,1.811,0.629,-0.196,0.825,81,19.535978835978835
Nick Smith Jr.,1641733,LAL,0.243,-0.005,0.248,0.592,0.168,0.424,37,12.495555555555557
Grant Williams,1629684,CHA,3.363,1.269,2.094,4.35,1.438,2.912,50,19.7625
Robert Williams III,1629057,POR,1.116,-1.382,2.499,3.413,0.026,3.387,80,17.088700564971752
Sidy Cissoko,1631321,POR,-2.622,-3.066,0.445,-0.561,-2.069,1.508,76,19.134444444444444
Dru Smith,1630696,MIA,-0.521,-2.628,2.107,0.952,-1.78,2.732,79,16.304761904761907
Keon Ellis,1631165,SAC,-1.15,-0.342,-0.807,-1.056,-1.058,0.002,48,17.631782945736436
Spencer Jones,1642461,DEN,-1.68,-3.385,1.705,0.163,0.242,-0.079,70,22.137760416666666
Branden Carlson,1642382,OKC,-0.265,0.538,-0.803,0.73,1.111,-0.381,49,11.624603174603175
Nae'Qwan Tomlin,1641772,CLE,4.863,0.48,4.383,3.094,0.779,2.315,77,15.68203125
Cole Anthony,1630175,MIL,-1.893,-2.373,0.48,-1.901,-2.118,0.217,48,15.046190476190477
Tidjane Salaün,1642275,CHA,0.466,-0.585,1.051,0.712,-0.358,1.07,45,15.55135135135135
Terrence Shannon Jr.,1630545,MIN,-1.643,0.087,-1.73,-2.343,-0.422,-1.921,49,12.504651162790699
Nikola Jović,1631107,MIA,4.623,-1.281,5.904,0.083,-2.217,2.3,70,17.191843971631208
Kasparas Jakučionis,1642857,MIA,2.058,0.412,1.646,0.827,-0.095,0.922,67,17.823584905660375
Jahmai Mashack,1642942,MEM,-4.605,-2.248,-2.357,-4.108,-2.788,-1.32,40,21.713978494623653
