
============================================================
BACKFILLING HISTORICAL AP POLLS
============================================================

  #14 Connecticut (matched from 'UConn')
  #15 Gonzaga (matched from 'Gonzaga')
  #16 Texas Tech (matched from 'Texas Tech')
  #17 Kansas St. (matched from 'Kansas St.')
  #18 Ohio St. (matched from 'Ohio St.')
  #19 New Mexico (matched from 'New Mexico')
  #20 Mississippi (matched from 'Ole Miss')
  #21 Butler (matched from 'Butler')
  #22 Georgia Tech (matched from 'Georgia Tech')
  #23 Texas A&M (matched from 'Texas A&M')
  #24 Washington (matched from 'Washington')
  #25 Cincinnati (matched from 'Cincinnati')
✓ Updated 25 teams for 2010

Fetching 2011 AP Polls: https://www.sports-reference.com/cbb/seasons/2011-polls.html
  # 1 Duke (matched from 'Duke')
  # 2 Ohio St. (matched from 'Ohio St.')
  # 3 Kansas (matched from 'Kansas')
  # 4 Connecticut (matched from 'UConn')
  # 5 Syracuse (matched from 'Syracuse')
  # 6 Kansas St. (matched from 'Kansas St.')
  # 7 Tennessee (matched from 'Tennessee')
  # 9 Baylor (matched from 'Baylor')
  #10 Villanova (matched from 'Villanova')
  #11 San Diego St. (matched from 'San Diego St.')
  #12 Illinois (matched from 'Illinois')
  #13 Missouri (matched from 'Missouri')
  #14 Michigan St. (matched from 'Michigan St.')
  #15 Georgetown (matched from 'Georgetown')
  #16 BYU (matched from 'BYU')
  #17 Kentucky (matched from 'Kentucky')
  #18 Memphis (matched from 'Memphis')
  #19 Purdue (matched from 'Purdue')
  #20 Louisville (matched from 'Louisville')
  #21 Minnesota (matched from 'Minnesota')
  #22 UNLV (matched from 'UNLV')
  #22 Texas (matched from 'Texas')
  #24 Notre Dame (matched from 'Notre Dame')
  #25 Texas A&M (matched from 'Texas A&M')
✓ Updated 24 teams for 2011

Fetching 2012 AP Polls: https://www.sports-reference.com/cbb/seasons/2012-polls.html
  # 1 Syracuse (matched from 'Syracuse')
  # 2 Ohio St. (matched from 'Ohio St.')
  # 3 Kentucky (matched from 'Kentucky')
  # 4 Louisville (matched from 'Louisville')
  # 5 North Carolina (matched from 'North Carolina')
  # 6 Baylor (matched from 'Baylor')
  # 7 Duke (matched from 'Duke')
  # 8 Xavier (matched from 'Xavier')
  # 9 Connecticut (matched from 'UConn')
  #10 Missouri (matched from 'Missouri')
  #11 Marquette (matched from 'Marquette')
  #12 Kansas (matched from 'Kansas')
  #13 Florida (matched from 'Florida')
  #14 Wisconsin (matched from 'Wisconsin')
  #16 Georgetown (matched from 'Georgetown')
  #17 Mississippi St. (matched from 'Mississippi St.')
  #18 Indiana (matched from 'Indiana')
  #19 Illinois (matched from 'Illinois')
  #20 Michigan (matched from 'Michigan')
  #21 Michigan St. (matched from 'Michigan St.')
  #22 Texas A&M (matched from 'Texas A&M')
  #23 Alabama (matched from 'Alabama')
  #24 Murray St. (matched from 'Murray St.')
  #25 Vanderbilt (matched from 'Vanderbilt')
  #25 Creighton (matched from 'Creighton')
✓ Updated 25 teams for 2012

Fetching 2013 AP Polls: https://www.sports-reference.com/cbb/seasons/2013-polls.html
  # 1 Indiana (matched from 'Indiana')
  # 2 Duke (matched from 'Duke')
  # 3 Michigan (matched from 'Michigan')
  # 4 Syracuse (matched from 'Syracuse')
  # 5 Florida (matched from 'Florida')
  # 6 Louisville (matched from 'Louisville')
  # 7 Ohio St. (matched from 'Ohio St.')
  # 8 Arizona (matched from 'Arizona')
  # 9 Kansas (matched from 'Kansas')
  #10 Illinois (matched from 'Illinois')
  #11 Cincinnati (matched from 'Cincinnati')
  #12 Missouri (matched from 'Missouri')
  #13 Minnesota (matched from 'Minnesota')
  #14 Gonzaga (matched from 'Gonzaga')
  #15 Georgetown (matched from 'Georgetown')
  #16 Creighton (matched from 'Creighton')
  #17 New Mexico (matched from 'New Mexico')
  #18 San Diego St. (matched from 'San Diego St.')
  #19 Michigan St. (matched from 'Michigan St.')
  #20 UNLV (matched from 'UNLV')
  #21 North Carolina (matched from 'North Carolina')
  #22 Notre Dame (matched from 'Notre Dame')
  #23 Wichita St. (matched from 'Wichita St.')
  #24 Oklahoma St. (matched from 'Oklahoma St.')
✓ Updated 24 teams for 2013

Fetching 2014 AP Polls: https://www.sports-reference.com/cbb/seasons/2014-polls.html
  # 1 Arizona (matched from 'Arizona')
  # 2 Syracuse (matched from 'Syracuse')
  # 3 Ohio St. (matched from 'Ohio St.')
  # 4 Wisconsin (matched from 'Wisconsin')
  # 5 Michigan St. (matched from 'Michigan St.')
  # 6 Louisville (matched from 'Louisville')
  # 7 Oklahoma St. (matched from 'Oklahoma St.')
  # 8 Duke (matched from 'Duke')
  # 9 Connecticut (matched from 'UConn')
  #10 Villanova (matched from 'Villanova')
  #11 Kentucky (matched from 'Kentucky')
  #12 Wichita St. (matched from 'Wichita St.')
  #13 Kansas (matched from 'Kansas')
  #14 Baylor (matched from 'Baylor')
  #15 Oregon (matched from 'Oregon')
  #16 Memphis (matched from 'Memphis')
  #17 Iowa St. (matched from 'Iowa St.')
  #18 North Carolina (matched from 'North Carolina')
  #19 Florida (matched from 'Florida')
  #20 Gonzaga (matched from 'Gonzaga')
  #21 Colorado (matched from 'Colorado')
  #23 Iowa (matched from 'Iowa')
  #24 Missouri (matched from 'Missouri')
  #25 San Diego St. (matched from 'San Diego St.')
✓ Updated 24 teams for 2014

Fetching 2015 AP Polls: https://www.sports-reference.com/cbb/seasons/2015-polls.html
  # 1 Kentucky (matched from 'Kentucky')
  # 2 Duke (matched from 'Duke')
  # 3 Arizona (matched from 'Arizona')
  # 4 Louisville (matched from 'Louisville')
  # 5 Wisconsin (matched from 'Wisconsin')
  # 6 Virginia (matched from 'Virginia')
  # 7 Villanova (matched from 'Villanova')
  # 8 Gonzaga (matched from 'Gonzaga')
  # 9 Texas (matched from 'Texas')
  #10 Kansas (matched from 'Kansas')
  #11 Wichita St. (matched from 'Wichita St.')
  #12 Ohio St. (matched from 'Ohio St.')
  #13 Iowa St. (matched from 'Iowa St.')
  #14 Utah (matched from 'Utah')
  #15 Oklahoma (matched from 'Oklahoma')
  #16 Washington (matched from 'Washington')
  #17 Maryland (matched from 'Maryland')
  #18 Miami (FL) (matched from 'Miami (FL)')
  #19 San Diego St. (matched from 'San Diego St.')
  #20 St. John's (matched from 'St. John's (NY)')
  #21 Notre Dame (matched from 'Notre Dame')
  #22 West Virginia (matched from 'West Virginia')
  #23 Butler (matched from 'Butler')
  #24 North Carolina (matched from 'North Carolina')
  #25 Michigan St. (matched from 'Michigan St.')
✓ Updated 25 teams for 2015

Fetching 2016 AP Polls: https://www.sports-reference.com/cbb/seasons/2016-polls.html
  # 1 Michigan St. (matched from 'Michigan St.')
  # 2 Kansas (matched from 'Kansas')
  # 3 Oklahoma (matched from 'Oklahoma')
  # 4 Kentucky (matched from 'Kentucky')
  # 5 Iowa St. (matched from 'Iowa St.')
  # 6 Maryland (matched from 'Maryland')
  # 7 Duke (matched from 'Duke')
  # 8 Virginia (matched from 'Virginia')
  # 9 Purdue (matched from 'Purdue')
  #10 Xavier (matched from 'Xavier')
  #11 North Carolina (matched from 'North Carolina')
  #12 Villanova (matched from 'Villanova')
  #13 Arizona (matched from 'Arizona')
  #14 Providence (matched from 'Providence')
  #15 Miami (FL) (matched from 'Miami (FL)')
  #16 Baylor (matched from 'Baylor')
  #17 Butler (matched from 'Butler')
  #18 SMU (matched from 'SMU')
  #19 Louisville (matched from 'Louisville')
  #20 West Virginia (matched from 'West Virginia')
  #21 George Washington (matched from 'George Washington')
  #22 UCLA (matched from 'UCLA')
  #23 Cincinnati (matched from 'Cincinnati')
  #24 Texas A&M (matched from 'Texas A&M')
  #25 Connecticut (matched from 'UConn')
✓ Updated 25 teams for 2016

Fetching 2017 AP Polls: https://www.sports-reference.com/cbb/seasons/2017-polls.html
  # 1 Villanova (matched from 'Villanova')
