team_slug,player_name,move_type,salary,contract_years,notes,impact_rating,source,transaction_date,season,round_number,overall_pick,mps_score
atlanta-hawks,Henri Veesaar,drafted,,,MPS=61.8,medium,manual,,2027,2,52,61.8
atlanta-hawks,Kingston Flemings,drafted,,,MPS=82.8,medium,manual,,2027,1,8,82.8
atlanta-hawks,Zuby Ejiofor,drafted,,,MPS=61.5,medium,manual,,2027,1,23,61.5
atlanta-hawks,Luke Kennard,lost,,,Left via offseason — now on los-angeles-lakers,medium,manual,,2027,,,
atlanta-hawks,Trae Young,lost,,,Left via offseason — now on washington-wizards,medium,manual,,2027,,,
atlanta-hawks,Jonathan Kuminga,signed,,,Acquired from golden-state-warriors,medium,manual,,2027,,,
atlanta-hawks,Keshon Gilbert,signed,,,Acquired from outside NBA,medium,manual,,2027,,,
atlanta-hawks,RayJ Dennis,signed,,,Acquired from indiana-pacers,medium,manual,,2027,,,
atlanta-hawks,Tony Bradley,signed,,,Acquired from indiana-pacers,medium,manual,,2027,,,
boston-celtics,Chris Cenac Jr.,drafted,,,MPS=61.0,medium,manual,,2027,1,27,61.0
boston-celtics,Dillon Mitchell,drafted,,,Round 2 Pick 40,low,manual,,2027,2,40,
boston-celtics,Chris Boucher,lost,,,Left via offseason — now on no NBA roster,medium,manual,,2027,,,
boston-celtics,Josh Minott,lost,,,Left via offseason — now on brooklyn-nets,medium,manual,,2027,,,
boston-celtics,Xavier Tillman,lost,,,Left via offseason — now on charlotte-hornets,medium,manual,,2027,,,
boston-celtics,Dalano Banton,signed,,,Acquired from outside NBA,medium,manual,,2027,,,
boston-celtics,Max Shulga,signed,,,Acquired from outside NBA,medium,manual,,2027,,,
brooklyn-nets,Joshua Jefferson,drafted,,,MPS=62.9,medium,manual,,2027,1,28,62.9
brooklyn-nets,Mikel Brown Jr.,drafted,,,MPS=75.5,medium,manual,,2027,1,6,75.5
brooklyn-nets,Tyler Bilodeau,drafted,,,MPS=45.6,medium,manual,,2027,2,43,45.6
brooklyn-nets,Josh Minott,signed,,,Acquired from boston-celtics,medium,manual,,2027,,,
brooklyn-nets,Ochai Agbaji,signed,,,Acquired from toronto-raptors,medium,manual,,2027,,,
charlotte-hornets,Christian Anderson,drafted,,,MPS=63.1,medium,manual,,2027,1,18,63.1
charlotte-hornets,Hannes Steinbach,drafted,,,MPS=67.2,medium,manual,,2027,1,14,67.2
charlotte-hornets,Collin Sexton,lost,,,Left via offseason — now on chicago-bulls,medium,manual,,2027,,,
charlotte-hornets,Tosan Evbuomwan,signed,,,Acquired from outside NBA,medium,manual,,2027,,,
charlotte-hornets,Xavier Tillman,signed,,,Acquired from boston-celtics,medium,manual,,2027,,,
chicago-bulls,Caleb Wilson,drafted,,,MPS=90.0,medium,manual,,2027,1,4,90.0
chicago-bulls,Dailyn Swain,drafted,,,MPS=63.7,medium,manual,,2027,1,15,63.7
chicago-bulls,Dalen Terry,lost,,,Left via offseason — now on philadelphia-76ers,medium,manual,,2027,,,
