player_name,team,season,games_played,minutes,PER,USG_pct,WS,WS48,BPM,OBPM,DBPM,VORP
Mikal Bridges,PHO,2022,82.0,2854.0,14.4,15.0,8.9,0.15,1.6,0.5,1.1,2.6
Miles Bridges,CHO,2022,80.0,2837.0,17.9,22.6,7.2,0.123,1.5,1.8,-0.3,2.5
DeMar DeRozan,CHI,2022,76.0,2743.0,23.1,31.8,8.8,0.154,2.5,3.4,-0.9,3.1
Jayson Tatum,BOS,2022,76.0,2731.0,21.8,32.1,9.6,0.169,5.0,4.3,0.6,4.8
Saddiq Bey,DET,2022,82.0,2704.0,14.0,21.3,4.0,0.071,-0.3,0.9,-1.2,1.2
Tyrese Haliburton,2TM,2022,77.0,2695.0,18.2,19.0,7.0,0.125,2.6,2.7,-0.1,3.1
Russell Westbrook,LAL,2022,78.0,2678.0,15.0,27.3,1.7,0.03,-1.6,-0.7,-0.9,0.2
Trae Young,ATL,2022,76.0,2652.0,25.4,34.4,10.0,0.181,5.2,7.1,-2.0,4.8
Tyrese Maxey,PHI,2022,75.0,2650.0,16.2,20.2,7.3,0.132,0.6,1.3,-0.7,1.8
Dorian Finney-Smith,DAL,2022,80.0,2644.0,12.5,13.8,6.6,0.121,0.8,0.1,0.7,1.9
Scottie Barnes,TOR,2022,74.0,2617.0,16.3,19.0,6.6,0.122,0.9,0.5,0.4,1.9
Harrison Barnes,SAC,2022,77.0,2580.0,15.7,18.8,6.0,0.112,0.2,1.5,-1.3,1.4
Pascal Siakam,TOR,2022,68.0,2578.0,20.3,25.8,8.1,0.151,3.5,2.7,0.8,3.6
Julius Randle,NYK,2022,72.0,2544.0,15.7,28.7,3.1,0.059,0.5,0.4,0.2,1.6
Tobias Harris,PHI,2022,73.0,2543.0,15.9,21.7,5.6,0.105,0.0,0.6,-0.6,1.3
Jalen Brunson,DAL,2022,79.0,2524.0,17.1,21.9,7.5,0.143,0.9,0.9,0.0,1.9
Buddy Hield,2TM,2022,81.0,2499.0,12.9,22.4,1.9,0.036,-1.2,0.5,-1.7,0.5
Nikola Jokić,DEN,2022,74.0,2476.0,32.8,31.9,15.2,0.296,13.7,9.2,4.5,9.8
Karl-Anthony Towns,MIN,2022,74.0,2476.0,24.1,27.8,10.3,0.199,5.0,4.5,0.5,4.4
Anthony Edwards,MIN,2022,72.0,2466.0,16.5,26.4,4.3,0.084,1.2,1.6,-0.4,2.0
