player_name,team,season,games_played,minutes,PER,USG_pct,WS,WS48,BPM,OBPM,DBPM,VORP
Ja Morant,MEM,2023,61.0,1948.0,23.3,34.9,6.0,0.148,5.7,5.2,0.5,3.8
Kelly Olynyk,UTA,2023,68.0,1942.0,14.4,17.8,4.3,0.106,0.4,-0.4,0.9,1.2
Stephen Curry,GSW,2023,56.0,1941.0,24.1,31.0,7.8,0.192,7.5,7.5,0.1,4.7
Tyus Jones,MEM,2023,80.0,1940.0,16.0,17.7,5.7,0.141,1.6,1.2,0.3,1.7
Paul George,LAC,2023,56.0,1939.0,19.6,29.5,4.6,0.114,2.8,2.4,0.3,2.3
Al Horford,BOS,2023,63.0,1922.0,13.8,11.9,6.3,0.157,3.3,1.6,1.7,2.5
P.J. Tucker,PHI,2023,75.0,1920.0,5.7,6.5,2.5,0.064,-3.0,-3.2,0.2,-0.5
Jalen McDaniels,2TM,2023,80.0,1913.0,11.8,17.2,2.7,0.068,-2.1,-2.7,0.6,-0.1
Jakob Poeltl,2TM,2023,72.0,1906.0,21.0,18.2,6.0,0.15,1.9,1.1,0.8,1.9
Anthony Davis,LAL,2023,56.0,1904.0,27.8,28.4,9.0,0.226,6.3,4.6,1.7,4.0
Donte DiVincenzo,GSW,2023,72.0,1894.0,12.8,15.1,4.2,0.106,0.7,-0.6,1.3,1.3
Bojan Bogdanović,DET,2023,59.0,1893.0,17.4,25.9,3.5,0.09,0.8,2.6,-1.8,1.4
Chris Paul,PHO,2023,59.0,1889.0,17.7,19.2,6.2,0.156,3.2,2.0,1.2,2.5
Tyrese Haliburton,IND,2023,56.0,1883.0,23.6,23.8,7.6,0.195,7.2,7.0,0.2,4.4
Jarred Vanderbilt,2TM,2023,78.0,1879.0,15.1,13.6,5.2,0.132,1.1,-0.6,1.6,1.5
Terance Mann,LAC,2023,81.0,1872.0,13.4,15.3,4.3,0.111,-0.2,-0.3,0.1,0.8
Troy Brown Jr.,LAL,2023,76.0,1860.0,9.6,12.1,2.9,0.075,-1.0,-1.8,0.8,0.5
Onyeka Okongwu,ATL,2023,80.0,1849.0,19.4,15.1,7.1,0.185,0.8,0.0,0.8,1.3
Austin Reaves,LAL,2023,64.0,1843.0,14.9,16.2,5.4,0.142,0.7,0.6,0.1,1.2
Desmond Bane,MEM,2023,58.0,1841.0,19.1,26.1,5.8,0.151,3.5,3.3,0.1,2.5
Devin Booker,PHO,2023,53.0,1835.0,22.0,31.8,6.0,0.157,4.2,4.5,-0.3,2.9
Marcus Morris,LAC,2023,65.0,1825.0,10.5,17.6,2.0,0.053,-1.9,-1.8,-0.2,0.0
Myles Turner,IND,2023,62.0,1825.0,20.0,22.0,5.4,0.142,2.1,1.4,0.7,1.9
Bobby Portis,MIL,2023,70.0,1818.0,17.8,21.7,5.3,0.139,0.7,1.2,-0.6,1.2
Aaron Nesmith,IND,2023,73.0,1816.0,10.5,16.8,2.0,0.052,-3.0,-2.3,-0.7,-0.4
Patrick Beverley,2TM,2023,67.0,1816.0,8.9,10.6,3.0,0.079,-1.2,-2.9,1.7,0.3
Jevon Carter,MIL,2023,81.0,1810.0,10.9,15.3,3.5,0.092,-0.6,-1.9,1.2,0.6
Michael Porter Jr.,DEN,2023,62.0,1798.0,16.8,22.7,4.3,0.116,0.2,2.0,-1.8,1.0
Naji Marshall,NOP,2023,77.0,1792.0,11.4,17.8,2.5,0.068,-1.9,-1.9,0.0,0.1
Jaren Jackson Jr.,MEM,2023,63.0,1787.0,21.6,24.7,6.6,0.177,2.8,0.7,2.0,2.2
Shaedon Sharpe,POR,2023,80.0,1779.0,11.5,19.0,1.2,0.032,-3.3,-1.3,-2.0,-0.6
Markelle Fultz,ORL,2023,60.0,1778.0,16.6,21.3,3.7,0.1,0.5,-0.1,0.7,1.2
Tari Eason,HOU,2023,82.0,1767.0,15.2,19.3,2.6,0.07,-1.7,-1.3,-0.4,0.1
Gabe Vincent,MIA,2023,68.0,1759.0,9.0,17.5,1.4,0.038,-3.4,-3.1,-0.3,-0.6
Kawhi Leonard,LAC,2023,52.0,1748.0,23.9,27.0,7.1,0.194,6.1,5.1,0.9,3.5
Malcolm Brogdon,BOS,2023,67.0,1744.0,18.2,22.8,5.8,0.161,2.8,2.3,0.6,2.1
Christian Wood,DAL,2023,67.0,1738.0,20.6,26.4,4.8,0.132,1.7,1.9,-0.3,1.6
Coby White,CHI,2023,74.0,1730.0,12.5,17.9,3.1,0.087,-0.8,-1.0,0.2,0.5
Clint Capela,ATL,2023,65.0,1730.0,22.1,15.7,7.2,0.201,2.2,2.3,-0.1,1.8
Malik Monk,SAC,2023,77.0,1719.0,16.6,25.8,3.2,0.091,0.3,1.6,-1.4,1.0
Kyle Lowry,MIA,2023,55.0,1718.0,12.6,16.7,3.4,0.096,0.2,-0.7,0.8,0.9
Nicolas Batum,LAC,2023,78.0,1709.0,11.0,11.5,3.6,0.101,0.5,-0.8,1.2,1.0
Walker Kessler,UTA,2023,74.0,1703.0,21.5,13.3,7.1,0.2,2.9,1.4,1.5,2.1
Monte Morris,WAS,2023,62.0,1695.0,15.0,15.6,4.2,0.12,0.5,0.8,-0.4,1.1
Wendell Carter Jr.,ORL,2023,57.0,1690.0,17.3,20.5,4.6,0.13,1.0,0.9,0.1,1.3
Santi Aldama,MEM,2023,77.0,1682.0,13.9,16.0,4.6,0.13,0.5,-0.3,0.8,1.1
Bradley Beal,WAS,2023,50.0,1673.0,19.7,29.2,3.4,0.099,1.8,2.9,-1.2,1.6
Kevin Durant,2TM,2023,47.0,1672.0,25.9,30.7,6.8,0.194,7.1,6.0,1.2,3.9
Jalen Duren,DET,2023,67.0,1670.0,17.3,14.3,4.5,0.129,-0.8,-0.4,-0.4,0.5
Reggie Jackson,2TM,2023,68.0,1657.0,10.0,20.8,0.6,0.018,-3.9,-2.9,-1.1,-0.8
Isaac Okoro,CLE,2023,76.0,1652.0,10.7,11.9,4.2,0.122,-0.3,-1.9,1.6,0.7
Isaiah Hartenstein,NYK,2023,82.0,1626.0,14.2,11.2,4.6,0.136,-0.3,-1.5,1.2,0.7
Daniel Gafford,WAS,2023,78.0,1604.0,19.7,15.2,6.1,0.184,1.0,0.4,0.6,1.2
Mitchell Robinson,NYK,2023,59.0,1591.0,18.9,10.1,6.5,0.197,2.4,1.0,1.4,1.7
Drew Eubanks,POR,2023,78.0,1584.0,16.2,12.5,4.4,0.134,0.1,-0.9,0.9,0.8
Gordon Hayward,CHO,2023,50.0,1577.0,13.5,20.0,2.0,0.059,-1.4,-1.1,-0.3,0.2
Alex Caruso,CHI,2023,67.0,1575.0,11.5,11.1,3.6,0.109,1.1,-2.2,3.3,1.2
Shake Milton,PHI,2023,76.0,1567.0,12.7,18.5,2.9,0.087,-2.0,-1.0,-0.9,0.0
Norman Powell,LAC,2023,60.0,1567.0,17.1,26.0,3.5,0.107,0.3,0.9,-0.7,0.9
Cole Anthony,ORL,2023,60.0,1552.0,16.0,21.5,3.7,0.116,1.3,0.7,0.5,1.3
Malaki Branham,SAS,2023,66.0,1550.0,9.5,19.1,-0.1,-0.004,-5.2,-3.0,-2.1,-1.3
Cedi Osman,CLE,2023,77.0,1548.0,12.0,18.2,3.3,0.103,-0.7,-0.8,0.2,0.5
Kelly Oubre Jr.,CHO,2023,48.0,1548.0,14.8,26.5,1.7,0.051,-1.1,-0.4,-0.7,0.3
Josh Green,DAL,2023,60.0,1539.0,11.2,14.6,2.6,0.082,-2.4,-1.9,-0.6,-0.2
Brandon Ingram,NOP,2023,45.0,1538.0,19.2,30.8,3.5,0.108,1.7,2.2,-0.4,1.5
Josh Richardson,2TM,2023,65.0,1530.0,12.3,18.4,1.8,0.055,-1.2,-1.0,-0.1,0.3
Joe Harris,BRK,2023,74.0,1527.0,10.6,14.3,2.6,0.083,-1.1,-0.6,-0.6,0.3
T.J. McConnell,IND,2023,75.0,1526.0,16.8,19.1,3.1,0.098,0.5,0.4,0.1,1.0
Chris Boucher,TOR,2023,76.0,1523.0,18.0,18.0,5.0,0.156,-0.1,0.7,-0.8,0.7
Georges Niang,PHI,2023,78.0,1512.0,10.9,17.0,2.5,0.078,-1.4,-0.4,-1.0,0.2
Bogdan Bogdanović,ATL,2023,54.0,1508.0,14.2,19.8,2.8,0.088,0.5,1.1,-0.7,0.9
Damion Lee,PHO,2023,74.0,1506.0,10.7,16.3,2.6,0.081,-1.7,-1.3,-0.4,0.1
Bol Bol,ORL,2023,70.0,1505.0,14.4,18.2,2.3,0.072,-0.9,-1.8,0.9,0.4
John Konchar,MEM,2023,72.0,1494.0,10.8,10.4,3.5,0.111,0.5,-1.9,2.4,0.9
Rui Hachimura,2TM,2023,63.0,1466.0,13.2,20.2,1.8,0.06,-2.2,-1.3,-1.0,-0.1
Dwight Powell,DAL,2023,76.0,1458.0,15.5,12.6,5.1,0.168,-1.2,-1.2,0.0,0.3
Jeremy Sochan,SAS,2023,56.0,1458.0,11.4,19.8,0.2,0.005,-4.0,-2.8,-1.2,-0.7
Keita Bates-Diop,SAS,2023,67.0,1452.0,14.9,16.7,2.7,0.089,-0.6,0.3,-0.9,0.5
Davion Mitchell,SAC,2023,80.0,1447.0,9.4,14.1,1.5,0.05,-2.8,-2.4,-0.4,-0.3
Pat Connaughton,MIL,2023,61.0,1443.0,10.0,13.8,2.5,0.085,-1.0,-1.3,0.3,0.3
Zach Collins,SAS,2023,63.0,1441.0,16.4,21.2,2.2,0.074,-0.2,-0.5,0.3,0.6
Isaiah Stewart,DET,2023,50.0,1414.0,13.1,17.3,2.0,0.068,-2.1,-1.0,-1.1,0.0
AJ Griffin,ATL,2023,72.0,1401.0,12.6,17.9,2.2,0.075,-0.8,-0.3,-0.5,0.4
Isaiah Joe,OKC,2023,73.0,1395.0,14.5,17.7,3.8,0.131,0.9,1.3,-0.4,1.0
Jonathan Kuminga,GSW,2023,67.0,1394.0,13.3,19.6,2.4,0.084,-1.7,-1.7,-0.1,0.1
Jusuf Nurkić,POR,2023,52.0,1391.0,17.3,22.1,2.7,0.092,0.1,-0.6,0.7,0.7
Dennis Smith Jr.,CHO,2023,54.0,1390.0,11.6,17.6,1.1,0.039,-2.2,-3.5,1.2,-0.1
Larry Nance Jr.,NOP,2023,65.0,1381.0,16.0,11.9,4.9,0.171,2.0,0.0,2.0,1.4
