season,team,bpr_mean,bpr_top8,bpr_star,star_count,obpr_top8,dbpr_top8,n_players,actual_wins,adj_net
2024,SAC,1.9193,1.762,8.229,1,1.7006,0.0615,15,46,-0.4997258188398632
2024,BOS,3.583,4.6136,8.291,4,3.5962,1.0178,16,64,8.05151723252618
2024,GSW,1.4745,1.2209,5.088,1,2.0987,-0.8775,15,46,0.6131038832909042
2024,DEN,2.1634,3.716,7.7932,2,3.273,0.4429,14,57,2.6288572631833063
2024,CLE,1.8343,3.3148,8.4605,2,1.9986,1.3162,15,48,0.5020348544260713
2024,MIN,2.3581,3.0789,5.6949,4,1.3694,1.7096,14,56,4.420627353070898
2024,LAL,1.1606,1.4363,6.9725,2,1.7212,-0.285,14,47,-0.7318938458085853
2024,LAC,1.1281,2.6152,6.6541,3,1.6351,0.9806,15,51,1.9229882388026311
2024,CHI,0.5078,-0.1454,7.876,1,0.661,-0.8065,15,39,-2.9280020448833
2024,UTA,0.1055,-0.1238,5.7623,2,1.9852,-2.109,18,31,-6.740491254635316
2024,MEM,-0.7106,0.3693,5.521,1,0.0744,0.2947,22,27,-8.645246545324326
2024,CHO,-1.5309,-0.8648,0.0,0,-0.2645,-0.6001,23,21,-11.117793570301032
2024,ORL,0.9157,0.9449,8.344,2,-1.5504,2.4955,15,47,-0.44198691501904364
2024,ATL,0.052,-0.5556,10.6849,2,2.1317,-2.6871,16,36,-4.4782873555290905
2024,WAS,-1.8734,-1.6157,0.0,0,-0.5701,-1.0456,20,15,-9.843387436698293
2024,TOR,-0.0948,-0.0096,4.86,1,1.5082,-1.5179,22,25,-7.6404301155534
2024,IND,1.4864,1.993,9.7382,2,2.1776,-0.1847,17,47,0.1833835061290472
2024,SAS,0.5302,0.2653,12.202,1,-0.2534,0.5191,16,22,-7.177506933479023
2024,HOU,1.0756,0.7972,4.901,1,-0.0022,0.8,15,41,-0.9733067558499329
2024,NOP,1.6301,1.2377,5.706,1,1.6572,-0.4198,15,49,2.7947439068235127
2024,POR,-0.7356,-1.6441,7.832,1,-0.675,-0.969,18,21,-10.319869749960773
2024,BRK,0.6125,-0.558,0.0,0,0.131,-0.6893,16,32,-4.593937457366266
2024,MIA,1.5611,2.3791,6.9858,2,0.4424,1.9367,19,46,-0.5130080632721103
2024,DET,-0.5937,0.4147,6.3583,2,1.0072,-0.5925,23,14,-9.936963477231572
2025,OKC,3.661,3.4312,5.555,4,0.6608,2.77,17,68,10.365718450399172
2025,DEN,2.562,3.6559,18.573,1,4.1521,-0.4959,16,50,2.7500495729113794
2025,MIL,2.1604,3.84,8.2075,3,2.4937,1.3466,18,48,1.0173028478823625
2025,LAL,1.922,3.4308,6.2051,3,2.0354,1.3955,20,50,0.7925814189727447
2025,DAL,1.8849,2.5277,9.0399,3,2.0252,0.5024,21,39,-1.6968045918207366
2025,MIN,2.8304,3.9808,6.9755,3,2.0557,1.9248,14,49,3.603520689296616
2025,PHO,1.0417,1.2784,7.008,1,1.7363,-0.4579,18,36,-3.1658456572469333
2025,ORL,2.2665,4.6955,7.9547,3,1.0501,3.6452,16,41,-2.0592436237974425
2025,CHO,-0.356,-1.0695,4.851,1,-0.7313,-0.338,23,19,-10.457942641265234
2025,NYK,2.2742,2.4916,4.9817,4,2.5862,-0.0944,16,51,1.3635388129353885
2025,SAC,2.254,2.9761,5.0309,3,2.6575,0.3185,19,40,-0.7649314399566833
2025,BOS,3.5204,3.3459,8.8529,3,2.4584,0.888,16,61,6.969011814228608
2025,DET,2.1739,2.9812,6.9847,3,1.6266,1.3548,15,44,0.4291703980786963
2025,SAS,0.8826,1.0915,8.8662,2,0.5726,0.5191,17,34,-3.1820497504577077
2025,CHI,0.9521,-0.2605,8.796,1,0.9174,-1.178,17,39,-2.1630026227055623
2025,CLE,4.129,5.0199,8.762,1,3.6765,1.3436,16,64,7.625890153166381
2025,GSW,2.3921,2.0647,6.5763,2,1.305,0.7595,17,48,1.7992119452520683
2025,ATL,1.4927,2.8866,8.0248,3,2.3291,0.5577,19,40,-2.0098874811005345
2025,LAC,3.5279,5.2839,9.6691,3,2.5692,2.7147,18,50,3.2997498919706914
2025,MEM,2.9213,2.9791,7.9176,2,2.175,0.8042,18,48,2.8969287121132368
2025,MIA,1.5087,0.0518,6.1966,2,0.6136,-0.5617,19,37,-1.3028436659663214
2025,NOP,-0.4264,-1.2602,0.0,0,0.6433,-1.9036,21,21,-8.994807264393543
2025,HOU,3.5423,3.8964,11.3069,3,1.7942,2.1019,15,52,2.4608046497923226
2025,WAS,-1.5453,-1.4278,0.0,0,-0.7984,-0.6296,22,18,-12.536531704458866
2025,PHI,-0.5848,-0.598,6.079,1,0.8425,-1.4404,23,24,-7.114897853676894
2025,IND,2.0157,3.7341,7.3971,4,2.1188,1.6154,15,50,0.948339380644029
2025,TOR,1.296,0.821,8.383,1,0.1657,0.6553,20,30,-5.279396734353185
2025,UTA,0.2061,-0.3648,8.112,1,1.2689,-1.6336,19,17,-9.882835494357366
2025,BRK,-0.3141,-0.7345,0.0,0,-0.9714,0.2367,21,26,-7.714878977294745
2025,POR,0.7061,1.4985,5.643,1,0.8794,0.619,15,36,-4.627602637815457
2026,LAL,1.9855,2.1394,6.5902,3,1.0934,1.0458,18,53,0.7575164585246341
2026,OKC,3.8662,4.6633,8.3084,4,0.9082,3.7552,18,64,9.219945174904439
2026,MIN,2.722,3.2024,7.7156,3,1.0068,2.196,16,49,2.061260221558328
2026,PHI,2.1509,2.5783,5.1914,3,0.5182,2.0603,18,45,-1.0392240238150094
2026,LAC,1.9723,3.6508,9.076,1,0.8704,2.7801,18,42,0.12681807662453082
2026,DEN,2.5156,3.0258,5.814,2,2.5725,0.4535,15,54,3.1615715176786523
2026,MIL,-0.336,-0.1003,5.57,1,-0.7995,0.6988,19,32,-7.0420425160149165
2026,CLE,3.1564,6.0461,7.8765,4,3.0519,2.9941,18,52,2.413663410658046
2026,BOS,4.4275,5.1653,10.1762,2,2.6624,2.503,16,56,4.967065952204834
2026,GSW,1.3932,1.2571,5.2237,2,-0.3871,1.6445,20,37,-1.6467257626471792
2026,PHO,2.1166,2.104,6.8979,2,1.4187,0.6855,17,45,0.2174210503981726
2026,HOU,2.0837,2.4778,8.2683,3,0.7084,1.7693,15,52,2.6195043415018944
2026,NYK,2.2077,2.2854,6.1749,3,0.7859,1.4998,16,53,4.617889598021705
2026,UTA,-0.8278,-2.7659,7.4871,2,-1.1669,-1.599,20,22,-8.550462274201479
2026,SAS,4.4671,6.557,8.0768,6,2.7519,3.8053,15,62,6.3520891716598555
2026,DET,3.4907,3.4026,6.2561,3,1.1027,2.2999,16,60,5.264532727058253
2026,BRK,-0.8582,-1.4842,5.9061,2,-2.2272,0.743,20,20,-10.754083499916604
2026,ORL,1.6281,2.9831,9.681,1,0.0628,2.9203,16,45,-1.1768882941849483
2026,ATL,1.8632,3.1561,6.7941,2,1.3281,1.8281,19,46,0.6380995568994337
2026,NOP,0.2619,0.0743,5.228,2,-0.5839,0.658,16,26,-5.151860811583234
2026,IND,1.1693,2.948,12.929,1,0.6038,2.3442,21,19,-7.960591398060316
2026,DAL,0.8579,1.1547,8.1865,2,0.1501,1.0043,19,26,-6.356799952028268
2026,TOR,3.8814,4.7806,5.8649,5,0.8539,3.9267,14,46,1.232104838827027
2026,CHO,2.2292,4.2151,8.0618,4,3.5519,0.6634,17,44,1.1173984739001526
2026,POR,0.6154,1.9412,7.3632,3,0.7579,1.1832,17,42,-2.4161526692717814
2026,MIA,3.877,4.6763,10.2773,2,2.6443,2.0325,14,43,1.0062254772462893
2026,MEM,-0.3775,2.3734,8.1198,2,1.1984,1.1752,25,25,-7.079579731810867
2026,WAS,-2.0777,-3.4333,6.1658,3,-1.8419,-1.5913,21,17,-11.847174583061218
2026,SAC,0.2634,1.8947,7.8342,2,0.3896,1.5049,18,22,-9.551485902588695
2026,CHI,-0.2505,0.2715,6.436,1,-0.9618,1.2333,22,31,-5.676977318862228
