season,label,note,is_baseline,n,brier,logloss,win_acc,margin_mae,retro_r2,retro_rmse_wins,retro_n,team_rmse,team_r2,elapsed_s
2022,baseline,,True,613,0.22651417249242423,0.6440352852957625,0.6264274061990212,11.816136340992095,0.9027101161777936,3.547227787207736,30,1.8685858617233877,0.8473718587994987,0.16
2022,b2b_075,B2B games → 0.75x,False,613,0.22646091060022677,0.6439161189413741,0.6264274061990212,11.815975177674582,0.9073993066866806,3.4606872634188304,30,2.8654901946634252,0.6410728161336261,0.02
2022,close8_15,|margin| ≤ 8 → 1.5x,False,613,0.2262568338729391,0.6433783919806614,0.6215334420880914,11.763531231181435,0.9235869262294182,3.143685343827408,30,2.022376914546694,0.8212143340930255,0.02
2022,late20_15,Last 20 games → 1.5x  [retrodiction only],False,613,0.22651417249242423,0.6440352852957625,0.6264274061990212,11.816136340992095,0.8820829746345699,3.9052019086421517,30,1.8609615649730187,0.8486148396094773,0.02
2022,late30_15,Last 30 games → 1.5x  [retrodiction only],False,613,0.22651417249242423,0.6440352852957625,0.6264274061990212,11.816136340992095,0.886397595386854,3.833089832406776,30,1.8856615088018478,0.8445695979871773,0.02
2022,po_15,Prior playoff games at 1.5x,False,613,0.22899594888987745,0.6495734427294101,0.6296900489396411,11.91396786495135,0.8910648817119295,3.753523939614227,30,3.3120892644916946,0.5204735534817932,0.02
2022,po_20,Prior playoff games at 2.0x,False,613,0.22991757767435683,0.6516109981938822,0.6231647634584013,11.951344864999413,0.87987238297874,3.9416373672307325,30,3.6190592489689903,0.42746784296348495,0.02
2022,combined,B2B 0.75x + last-20 1.5x + close 1.5x,False,613,0.2263816711802425,0.6436249241641961,0.6280587275693311,11.7685247856514,0.9033206954303721,3.536079287054879,30,2.763967547128999,0.6660554369520884,0.02
2022,lorentzian,"NCAA-style iterative (IMP_C=6, freeze iter 6)",False,613,0.2270074864411631,0.6451538097485033,0.6215334420880914,11.821893857205662,0.8919572997595624,3.7381175161342814,30,1.8743867666910539,0.8464227392910432,0.03
2023,baseline,,True,613,0.23304770502178482,0.6573327990509946,0.5921696574225123,10.582401536929883,0.8897763064469159,3.2720627694350406,30,2.3900229971058904,0.6332420301420094,0.02
2023,b2b_075,B2B games → 0.75x,False,613,0.23228566936585002,0.655689054527718,0.5921696574225123,10.557270399554337,0.8912202718307318,3.2505595820065993,30,3.370300030702834,0.2706893943205574,0.02
2023,close8_15,|margin| ≤ 8 → 1.5x,False,613,0.23336216634709783,0.6581841769288421,0.598694942903752,10.624515672847803,0.8958268544253516,3.1809880341623704,30,2.4890183735109948,0.6022303845315609,0.02
2023,late20_15,Last 20 games → 1.5x  [retrodiction only],False,613,0.23304770502178482,0.6573327990509946,0.5921696574225123,10.582401536929883,0.8940705753478039,3.207690464267085,30,2.3610500050539707,0.6420801614855796,0.02
2023,late30_15,Last 30 games → 1.5x  [retrodiction only],False,613,0.23304770502178482,0.6573327990509946,0.5921696574225123,10.582401536929883,0.8962837204467027,3.1740050336985317,30,2.4226048654239953,0.6231742513283487,0.02
2023,po_15,Prior playoff games at 1.5x,False,613,0.23140302958352002,0.6538077188351693,0.5889070146818923,10.52669648463394,0.8889619954794721,3.284127206086971,30,3.727754212448728,0.10778413839755441,0.02
2023,po_20,Prior playoff games at 2.0x,False,613,0.23138782573172112,0.6537137665457449,0.5872756933115824,10.525740721040478,0.8859945980170976,3.3277206482224315,30,3.993134773509364,-0.02377221186292844,0.02
2023,combined,B2B 0.75x + last-20 1.5x + close 1.5x,False,613,0.23260185187560825,0.6565568731466548,0.5970636215334421,10.599587382517797,0.8979892666000713,3.1477996395757275,30,3.284113515778975,0.30751284704076864,0.02
2023,lorentzian,"NCAA-style iterative (IMP_C=6, freeze iter 6)",False,613,0.2334383739012452,0.6581591530607187,0.5954323001631321,10.616658008379625,0.9004356973287382,3.1098251718494665,30,2.3031271005224503,0.6594262183057076,0.03
2024,baseline,,True,611,0.218327943443779,0.6250318678780996,0.6366612111292962,11.54484281801257,0.9547513485457695,2.8048586772792805,30,2.0272004593351434,0.8623559425389302,0.02
2024,b2b_075,B2B games → 0.75x,False,611,0.2182116176725695,0.6247683250405227,0.6399345335515548,11.536171767781978,0.9540992881461671,2.824996242059993,30,3.0169402797551714,0.6951420666643293,0.02
2024,close8_15,|margin| ≤ 8 → 1.5x,False,611,0.21894043338705615,0.6268574126299052,0.6432078559738135,11.55912151567946,0.9584059525031691,2.689204044219963,30,2.263849910109194,0.8283438628729622,0.02
2024,late20_15,Last 20 games → 1.5x  [retrodiction only],False,611,0.218327943443779,0.6250318678780996,0.6366612111292962,11.54484281801257,0.9519172107041913,2.891365473076333,30,2.001611509359199,0.8658089183678097,0.02
2024,late30_15,Last 30 games → 1.5x  [retrodiction only],False,611,0.218327943443779,0.6250318678780996,0.6366612111292962,11.54484281801257,0.946937051278302,3.0374130469440423,30,2.0013362063570663,0.8658458292936944,0.02
2024,po_15,Prior playoff games at 1.5x,False,611,0.21669286557810138,0.6214027791215325,0.6513911620294599,11.468021160887542,0.9585660478027564,2.6840236875558188,30,3.3551955764791783,0.6229492964949193,0.02
2024,po_20,Prior playoff games at 2.0x,False,611,0.21646034780632156,0.6208851871183327,0.6563011456628478,11.45932313888209,0.9569491315320017,2.735893089584456,30,3.6274345463210547,0.5592795083668386,0.02
2024,combined,B2B 0.75x + last-20 1.5x + close 1.5x,False,611,0.21929387741230566,0.6276402604928287,0.6415711947626841,11.569795854451794,0.9544946375316302,2.8128038836424216,30,2.9543062968939897,0.7076688368152576,0.02
2024,lorentzian,"NCAA-style iterative (IMP_C=6, freeze iter 6)",False,611,0.21973426377024655,0.6284102363062422,0.6333878887070377,11.549250786670065,0.941260895040831,3.1957428529583214,30,2.184953062349049,0.8401000610473782,0.04
2025,baseline,,True,613,0.2161157276219692,0.6196131516742537,0.6508972267536705,11.729184474546647,0.9685504800816184,2.328496775589136,30,1.4259228394188932,0.9414586217923899,0.02
2025,b2b_075,B2B games → 0.75x,False,613,0.2167712544400369,0.6210086460912985,0.6574225122349103,11.767484424237116,0.9697025190442283,2.2854508782240384,30,2.450864966831666,0.8270543432326869,0.02
2025,close8_15,|margin| ≤ 8 → 1.5x,False,613,0.2169916191926071,0.6221001988783458,0.6557911908646004,11.742086334703638,0.969663997286164,2.2869033359250936,30,1.7705741571259381,0.9097392092078017,0.02
