player_name,player_id,team_id,minutes,usg_pct,box_bpr_old,box_bpr_new,box_obpr_new,box_dbpr_new,BPM,divergence_old,divergence_new
Jarrett Allen,95,7,217.61666666666667,0.196,3.92,4.375,2.988,1.387,2.6,1.32,1.775
Anthony Black,197,14,195.56666666666666,0.219,1.018,1.229,-0.026,1.255,-0.6,1.618,1.829
Andrew Nembhard,406,9,2036.248538011696,0.233,-1.415,-1.737,-0.264,-1.473,-0.8,-0.615,-0.937
Jaden McDaniels,289,17,2316.4333333333334,0.182,2.115,2.414,1.045,1.369,-0.3,2.415,2.714
Aaron Gordon,388,16,89.33333333333334,0.213,3.415,5.425,4.349,1.076,1.7,1.715,3.725
Paul George,486,4,1349.7495495495496,0.229,3.87,3.483,1.203,2.28,1.7,2.17,1.783
Onyeka Okongwu,312,11,198.76666666666668,0.189,2.76,2.237,0.57,1.667,0.7,2.06,1.537
Ayo Dosunmu,138,17,722.7604166666666,0.197,-1.256,-1.556,-1.083,-0.473,1.5,-2.756,-3.056
Mikal Bridges,83,3,227.03333333333333,0.17,4.237,4.442,2.87,1.572,2.7,1.537,1.742
Ivica Zubac,177,9,118.26666666666667,0.186,-1.466,-0.466,0.494,-0.96,0.1,-1.566,-0.566
Naji Marshall,364,26,2331.3362612612614,0.2,0.719,0.14,-0.22,0.36,-0.6,1.319,0.74
Jeremiah Fears,127,29,2111.983333333333,0.245,-2.566,-2.872,-2.183,-0.689,-2.7,0.134,-0.172
Brice Sensabaugh,165,20,1832.3413333333335,0.244,-2.671,-2.546,-0.648,-1.898,-2.6,-0.071,0.054
Kelly Oubre Jr.,67,4,302.21666666666664,0.179,0.216,0.176,-0.096,0.272,-1.4,1.616,1.576
Jaime Jaquez Jr.,208,13,2319.2515555555556,0.216,1.831,1.747,0.337,1.41,0.1,1.731,1.647
Anfernee Simons,60,6,396.97777777777776,0.227,2.384,1.942,1.113,0.829,0.6,1.784,1.342
Cam Thomas,233,10,331.8333333333333,0.295,-6.112,-4.983,-1.207,-3.776,-5.3,-0.812,0.317
Shaedon Sharpe,277,19,67.08333333333333,0.293,0.454,0.173,-0.638,0.811,-1.4,1.854,1.573
Brandin Podziemski,16,21,2332.7166666666667,0.196,1.202,0.853,-0.802,1.655,0.2,1.002,0.653
Andrew Wiggins,203,13,2305.2960784313723,0.194,0.213,-0.067,-0.4,0.333,1.2,-0.987,-1.267
Peyton Watson,394,16,1686.5138888888891,0.204,0.491,2.275,3.043,-0.768,-1.2,1.691,3.475
Jalen Suggs,194,14,248.08333333333331,0.22,4.604,3.939,0.814,3.125,2.5,2.104,1.439
Domantas Sabonis,431,25,652.5701754385965,0.223,-3.643,-4.357,-1.325,-3.032,0.6,-4.243,-4.957
Devin Vassell,376,30,227.35,0.176,5.883,7.208,4.223,2.985,0.5,5.383,6.708
Alex Sarr,346,15,1549.271875,0.252,-1.328,-1.623,-0.82,-0.803,0.7,-2.028,-2.323
Jerami Grant,279,19,111.7,0.228,0.808,1.41,1.066,0.344,0.0,0.808,1.41
Ace Bailey,166,20,2015.2393518518518,0.21,-3.273,-3.342,-1.227,-2.115,-4.4,1.127,1.058
Tim Hardaway Jr.,392,16,139.83333333333331,0.177,2.121,2.64,2.581,0.059,-0.7,2.821,3.34
Reed Sheppard,44,27,192.40000000000003,0.21,3.373,2.229,0.458,1.771,2.7,0.673,-0.471
Naz Reid,294,17,198.7,0.212,2.771,3.045,0.73,2.315,0.9,1.871,2.145
Toumani Camara,275,19,165.08333333333331,0.16,2.728,2.716,1.255,1.461,-1.0,3.728,3.716
De'Andre Hunter,433,25,152.95,0.218,-1.575,-1.697,-1.551,-0.146,-3.4,1.825,1.703
Keldon Johnson,379,30,136.66666666666666,0.201,4.745,4.727,1.849,2.878,0.9,3.845,3.827
Jaylon Tyson,94,7,127.25,0.189,1.813,1.857,0.595,1.262,0.1,1.713,1.757
Quentin Grimes,72,4,204.66666666666666,0.183,1.432,0.299,-1.205,1.504,-1.6,3.032,1.899
John Collins,180,22,1925.694927536232,0.188,0.225,0.346,-0.012,0.358,-0.5,0.725,0.846
Kyshawn George,345,15,1564.85625,0.222,-1.83,-2.266,-0.726,-1.54,-1.2,-0.63,-1.066
Tobias Harris,146,8,1773.2063492063492,0.181,4.788,4.502,1.749,2.753,1.4,3.388,3.102
Tyler Herro,499,13,1627.232323232323,0.248,0.123,0.005,0.358,-0.353,2.0,-1.877,-1.995
Bobby Portis,335,10,1716.0099502487565,0.225,-0.28,0.605,1.192,-0.587,0.0,-0.28,0.605
Santi Aldama,112,28,1309.5511627906978,0.191,1.202,1.066,0.877,0.189,1.7,-0.498,-0.634
Ajay Mitchell,35,18,1576.1722222222222,0.21,6.387,6.858,1.73,5.128,1.9,4.487,4.958
Kyle Kuzma,334,10,1858.1248792270533,0.212,-1.282,-0.688,0.351,-1.039,-2.3,1.018,1.612
Collin Gillespie,249,24,113.75,0.181,2.869,2.765,0.63,2.135,2.5,0.369,0.265
Tre Jones,135,6,1968.0799999999997,0.186,2.027,1.56,1.047,0.513,1.3,0.727,0.26
Sam Merrill,96,7,148.33333333333334,0.167,5.403,5.41,3.798,1.612,0.1,5.303,5.31
P.J. Washington,359,26,1983.5619047619048,0.194,-0.453,-1.097,-1.45,0.353,-1.6,1.147,0.503
Max Christie,365,26,2244.5333333333333,0.162,-0.933,-1.91,-1.674,-0.236,-1.5,0.567,-0.41
Brandon Williams,369,26,1551.3131313131314,0.242,-0.54,-0.743,-0.337,-0.406,0.4,-0.94,-1.143
Donte DiVincenzo,293,17,96.18333333333334,0.164,5.62,6.088,3.074,3.014,0.8,4.82,5.288
Jrue Holiday,278,19,2090.347169811321,0.227,4.792,4.846,2.097,2.749,1.9,2.892,2.946
Noah Clowney,238,2,1807.0035353535354,0.202,-1.645,-2.017,-0.987,-1.03,-3.4,1.755,1.383
Deandre Ayton,3,23,213.63333333333333,0.164,0.711,1.961,1.78,0.181,-0.9,1.611,2.861
Cameron Johnson,387,16,1677.5339506172838,0.144,1.746,3.258,3.12,0.138,-0.6,2.346,3.858
Josh Hart,427,3,270.25,0.163,2.768,2.829,1.133,1.696,3.0,-0.232,-0.171
Duncan Robinson,148,8,240.01666666666668,0.152,6.387,6.446,3.618,2.828,0.8,5.587,5.646
