player_name,player_id,team_id,minutes,usg_pct,box_bpr_old,box_bpr_new,box_obpr_new,box_dbpr_new,BPM,divergence_old,divergence_new
Justin Champagnie,353,15,1636.9893719806762,0.161,-1.069,-1.218,0.169,-1.387,-0.4,-0.669,-0.818
Kris Dunn,181,22,2230.0333333333333,0.122,0.805,1.485,0.302,1.183,-0.8,1.605,2.285
Josh Minott,59,1,716.8181818181818,0.162,1.027,-0.65,-1.385,0.735,3.0,-1.973,-3.65
Gary Trent Jr.,329,10,1568.116923076923,0.167,-4.178,-3.232,-1.152,-2.08,-5.4,1.222,2.168
Caris LeVert,151,8,97.21904761904761,0.178,2.813,1.069,-2.361,3.43,-0.4,3.213,1.469
Jaxson Hayes,8,23,111.85,0.124,2.092,2.677,2.084,0.593,1.2,0.892,1.477
Chaney Johnson,526,2,408.92156862745094,0.16,-0.396,-1.216,-0.994,-0.222,0.1,-0.496,-1.316
Luka Garza,62,1,59.18333333333333,0.168,2.992,3.029,2.506,0.523,2.4,0.592,0.629
Ben Saraf,234,2,999.6181818181817,0.202,-2.957,-3.846,-3.786,-0.06,-7.3,4.343,3.454
Buddy Hield,18,11,212.0452380952381,0.192,-1.561,-1.107,-1.041,-0.066,-1.0,-0.561,-0.107
Javonte Green,154,8,110.66666666666667,0.143,7.24,5.725,0.133,5.592,2.1,5.14,3.625
Quinten Post,23,21,1314.9512437810945,0.183,1.261,1.849,0.822,1.027,-1.1,2.361,2.949
Patrick Williams,139,6,1514.7388888888888,0.159,-3.168,-3.659,-3.654,-0.005,-4.5,1.332,0.841
Jaylin Williams,31,18,71.73333333333333,0.153,6.357,5.522,0.545,4.977,2.7,3.657,2.822
Gary Payton II,19,21,1267.4650684931507,0.177,2.142,3.107,1.468,1.639,1.9,0.242,1.207
Cameron Payne,545,4,408.3636363636364,0.183,0.698,-1.244,-1.638,0.394,0.3,0.398,-1.544
Tristan Vukcevic,356,15,903.795918367347,0.259,-2.979,-3.701,-2.066,-1.635,0.0,-2.979,-3.701
Sharife Cooper,358,15,853.6585365853659,0.197,-2.782,-2.541,-0.693,-1.848,-3.9,1.118,1.359
Jevon Carter,142,14,38.5,0.166,-3.272,-3.309,-1.787,-1.522,-1.1,-2.172,-2.209
Ben Sheppard,409,9,1497.4256410256407,0.131,-1.215,-1.369,-1.151,-0.218,-3.0,1.785,1.631
Jamal Shead,325,5,1852.283333333333,0.149,4.089,4.699,1.46,3.239,-2.3,6.389,6.999
Luke Kornet,378,30,1430.083333333333,0.1,3.388,2.267,1.055,1.212,3.6,-0.212,-1.333
Vince Williams Jr.,452,20,83.5,0.19,2.258,1.617,-1.006,2.623,-0.9,3.158,2.517
Oso Ighodaro,246,24,1808.4,0.12,2.764,3.304,1.093,2.211,0.1,2.664,3.204
Kobe Sanders,186,22,1510.4068627450981,0.155,0.08,0.541,-0.332,0.873,-2.9,2.98,3.441
Terance Mann,230,2,1723.1962962962962,0.133,-0.854,-1.3,-0.934,-0.366,-3.4,2.546,2.1
Bryce McGowens,423,29,1110.3920634920635,0.136,-0.517,-0.12,0.77,-0.89,-2.8,2.283,2.68
Isaiah Jackson,404,22,349.7137254901961,0.152,-2.649,-2.237,-0.427,-1.81,2.6,-5.249,-4.837
D'Angelo Russell,366,26,799.2653846153847,0.261,1.337,0.746,-0.88,1.626,-2.3,3.637,3.046
Jamir Watkins,449,15,1197.3326666666665,0.148,-0.325,-0.445,-0.489,0.044,-3.3,2.975,2.855
Paul Reed,153,8,41.3,0.2,7.713,6.952,1.356,5.596,5.3,2.413,1.652
Pat Spencer,25,21,1489.6565656565656,0.185,-1.398,-0.317,-0.614,0.297,-2.3,0.902,1.983
Julian Strawther,400,16,54.64999999999999,0.187,0.633,0.603,0.527,0.076,-2.3,2.933,2.903
Drake Powell,241,2,1445.1666666666667,0.149,-3.713,-5.386,-4.786,-0.6,-6.0,2.287,0.614
Ryan Nembhard,367,26,1307.486388888889,0.173,0.435,0.849,0.089,0.76,-4.1,4.535,4.949
Svi Mykhailiuk,163,20,1895.2113333333332,0.143,-0.32,-0.673,0.431,-1.104,-1.7,1.38,1.027
Ethan Thompson,509,9,796.1078125,0.154,2.285,3.045,0.985,2.06,-4.9,7.185,7.945
Kenrich Williams,505,18,13.541666666666668,0.178,1.246,1.653,-0.371,2.024,0.2,1.046,1.453
Mitchell Robinson,456,3,108.45714285714286,0.102,3.876,4.777,2.44,2.337,3.5,0.376,1.277
Tyrese Martin,239,4,134.36111111111111,0.178,-1.71,-1.961,-1.456,-0.505,-3.1,1.39,1.139
Jonathan Kuminga,14,21,1023.7225000000001,0.226,1.757,2.077,-0.832,2.909,0.1,1.657,1.977
Trendon Watford,450,4,51.150000000000006,0.17,-1.771,-2.617,-2.672,0.055,-1.9,0.129,-0.717
Dean Wade,98,7,1362.3161016949152,0.097,5.422,5.221,2.861,2.36,0.2,5.222,5.021
Ryan Dunn,245,24,33.78333333333333,0.136,2.015,2.034,-0.887,2.921,-0.9,2.915,2.934
Gradey Dick,324,5,9.333333333333332,0.176,2.882,3.003,-0.48,3.483,-3.6,6.482,6.603
Alex Caruso,33,18,1147.89375,0.152,6.607,7.557,1.077,6.48,1.9,4.707,5.657
Yves Missi,121,29,1355.9719696969696,0.122,0.89,1.765,0.245,1.52,-1.7,2.59,3.465
Will Richard,22,21,1636.1971014492754,0.123,-0.621,-0.712,-1.693,0.981,-1.7,1.079,0.988
Sion James,223,12,1843.3500000000001,0.109,0.285,0.49,-0.691,1.181,-2.0,2.285,2.49
Karlo Matković,446,29,970.5725806451613,0.128,2.366,0.338,-1.906,2.244,0.7,1.666,-0.362
John Konchar,116,28,593.9305555555555,0.09,-0.31,-2.105,-2.05,-0.055,0.0,-0.31,-2.105
Killian Hayes,552,25,423.16521739130434,0.179,-0.254,-0.464,-2.329,1.865,-6.0,5.746,5.536
Baylor Scheierman,64,1,99.26666666666668,0.117,4.524,3.792,0.982,2.81,0.6,3.924,3.192
Tyson Etienne,419,2,585.8590277777778,0.198,-0.856,-1.508,-0.704,-0.804,-2.8,1.944,1.292
Steven Adams,40,27,844.4864583333333,0.116,4.615,5.092,0.683,4.409,-0.5,5.115,5.592
Johnny Furphy,413,9,643.0666666666667,0.125,-1.031,0.358,0.086,0.272,-3.7,2.669,4.058
Grant Williams,464,12,988.125,0.132,3.637,4.334,1.328,3.006,1.6,2.037,2.734
Robert Williams III,288,19,1367.0960451977403,0.129,4.89,3.889,0.213,3.676,,,
Sidy Cissoko,444,19,32.6875,0.123,-0.2,-0.187,-1.8,1.613,-4.0,3.8,3.813
Andre Drummond,76,4,130.91666666666669,0.143,0.312,0.214,-0.885,1.099,-0.6,0.912,0.814
Dru Smith,211,13,1288.0761904761907,0.142,1.684,1.082,-1.789,2.871,2.2,-0.516,-1.118
Spencer Jones,396,16,1549.6432291666665,0.097,0.944,0.298,0.188,0.11,-2.4,3.344,2.698
Nick Smith Jr.,438,23,21.525000000000002,0.212,-0.311,1.213,0.505,0.708,-4.7,4.389,5.913
Tidjane Salaün,225,12,699.8108108108107,0.147,0.481,0.913,-0.079,0.992,-0.8,1.281,1.713
Nikola Jović,204,13,1203.4290780141846,0.203,0.555,0.173,-2.058,2.231,-3.5,4.055,3.673
Kasparas Jakučionis,473,13,1194.1801886792452,0.129,0.813,0.651,-0.376,1.027,-0.4,1.213,1.051
Nae'Qwan Tomlin,104,7,18.6,0.151,2.666,3.228,0.918,2.31,-2.1,4.766,5.328
Cole Anthony,337,10,722.2171428571429,0.244,-1.561,-1.944,-1.98,0.036,-4.7,3.139,2.756
Terrence Shannon Jr.,295,17,612.7279069767443,0.171,-3.244,-2.745,-0.896,-1.849,-3.6,0.356,0.855
Justin Edwards,75,4,116.82857142857142,0.154,-0.529,-0.65,-0.62,-0.03,-1.3,0.771,0.65
Jahmai Mashack,491,28,868.5591397849462,0.156,-3.854,-3.553,-2.34,-1.213,-7.0,3.146,3.447
Goga Bitadze,198,14,97.14444444444443,0.128,2.619,2.377,0.429,1.948,2.8,-0.181,-0.423
Thomas Bryant,103,7,37.074999999999996,0.182,1.874,1.726,0.497,1.229,0.1,1.774,1.626
Devin Carter,270,25,1326.0631578947368,0.226,-1.167,-0.837,-0.159,-0.678,-2.6,1.433,1.763
Oscar Tshiebwe,174,20,763.9691358024692,0.162,-1.142,-0.725,0.709,-1.434,-1.8,0.658,1.075
Adem Bona,73,4,94.5,0.108,1.001,0.73,-1.165,1.895,-2.9,3.901,3.63
Jordan Walsh,66,1,88.7,0.114,2.713,3.013,1.493,1.52,0.2,2.513,2.813
Jamaree Bouyea,490,24,9.5,0.184,3.554,2.749,-1.763,4.512,-0.4,3.954,3.149
Josh Okogie,46,27,1423.2256410256412,0.112,2.876,2.903,-0.021,2.924,-1.2,4.076,4.103
Kris Murray,282,19,25.150000000000002,0.103,2.224,2.264,-0.259,2.523,-1.5,3.724,3.764
Dylan Cardwell,269,25,1174.3295454545457,0.108,1.578,1.278,-0.539,1.817,-1.9,3.478,3.178
Jalen Wilson,240,2,1288.85,0.177,-1.296,-1.27,-1.106,-0.164,-5.6,4.304,4.33
Mouhamed Gueye,313,11,50.46666666666667,0.12,2.801,3.649,1.191,2.458,-1.3,4.101,4.949
Josh Green,476,12,939.2758620689655,0.104,3.912,4.002,0.426,3.576,-0.7,4.612,4.702
Gabe Vincent,4,11,373.7416666666667,0.119,-1.145,0.598,0.974,-0.376,-3.4,2.255,3.998
Ochai Agbaji,322,5,711.9595238095237,0.142,-0.671,-0.787,-2.137,1.35,-2.7,2.029,1.913
Pete Nance,434,10,940.9787234042553,0.132,-1.645,-0.883,0.837,-1.72,-2.3,0.655,1.417
Jericho Sims,340,10,1593.2216417910447,0.095,-2.646,-3.036,-0.974,-2.062,-3.1,0.454,0.064
Elijah Harkless,172,20,942.951923076923,0.162,-0.727,0.244,-0.009,0.253,-5.6,4.873,5.844
Tre Mann,226,12,920.7182389937108,0.231,-3.605,-4.244,-2.991,-1.253,-5.3,1.695,1.056
Craig Porter Jr.,100,7,18.6,0.119,2.456,3.515,1.512,2.003,2.0,0.456,1.515
Jett Howard,200,14,20.650000000000002,0.166,-2.274,-1.276,0.762,-2.038,-1.8,-0.474,0.524
Anthony Gill,357,15,1417.7800000000002,0.116,-2.64,-3.533,-1.633,-1.9,-2.6,-0.04,-0.933
Aaron Holiday,51,27,66.71666666666667,0.159,3.791,3.203,-0.303,3.506,-2.4,6.191,5.603
Nicolas Batum,184,22,1364.595945945946,0.092,-0.302,-0.29,-0.879,0.589,-1.0,0.698,0.71
Jamal Cain,432,14,680.3766666666667,0.159,0.397,2.098,1.801,0.297,-1.4,1.797,3.498
E.J. Liddell,420,2,523.775,0.168,-0.215,-0.031,-0.069,0.038,-3.3,3.085,3.269
Kevin Love,173,20,1159.382882882883,0.161,-2.257,-1.35,1.042,-2.392,0.2,-2.457,-1.55
Mike Conley,296,17,1285.061728395062,0.113,0.454,0.777,-0.256,1.033,-1.3,1.754,2.077
Hugo González,63,1,32.8125,0.114,3.865,5.451,1.596,3.855,-1.5,5.365,6.951
Marcus Sasser,513,8,7.933333333333334,0.197,5.644,6.444,1.451,4.993,-1.7,7.344,8.144
Jarred Vanderbilt,9,23,84.5638888888889,0.119,-0.358,1.95,1.158,0.792,-1.5,1.142,3.45
Clint Capela,45,27,32.675000000000004,0.133,5.043,5.274,0.008,5.266,0.4,4.643,4.874
Taelon Peter,408,9,647.6754385964912,0.159,-1.135,-1.89,-2.772,0.882,-4.6,3.465,2.71
Micah Peavy,130,29,1167.42131147541,0.135,-0.319,0.924,0.036,0.888,-5.2,4.881,6.124
Moussa Cisse,372,26,696.8201754385965,0.136,1.727,3.673,0.802,2.871,-2.9,4.627,6.573
Lonzo Ball,99,7,977.2419047619047,0.13,1.508,1.571,-1.151,2.722,-1.1,2.608,2.671
Jaylen Clark,297,17,80.29583333333333,0.126,2.785,4.515,1.558,2.957,-2.4,5.185,6.915
Caleb Martin,371,26,1018.6224137931033,0.122,-1.611,-1.995,-2.477,0.482,-2.2,0.589,0.205
Amir Coffey,339,24,6.2,0.117,0.515,-0.221,-2.048,1.827,-0.5,1.015,0.279
Jalen Pickett,399,16,12.55,0.148,2.048,1.955,0.431,1.524,-2.3,4.348,4.255
Kyle Anderson,171,17,58.02222222222221,0.131,0.295,-0.453,-0.886,0.433,1.6,-1.305,-2.053
Jordan Hawkins,126,29,1112.6006535947713,0.175,-2.711,-2.478,-2.003,-0.475,-6.2,3.489,3.722
Kam Jones,516,9,899.5378378378377,0.141,-2.778,-1.953,-1.389,-0.564,-6.2,3.422,4.247
Drew Eubanks,261,25,946.7428571428571,0.161,-2.032,-2.464,-2.027,-0.437,-3.7,1.668,1.236
Rasheer Fleming,255,24,18.3,0.159,3.466,5.142,0.792,4.35,-3.8,7.266,8.942
Bogdan Bogdanović,189,22,1139.9942028985508,0.185,0.222,0.728,-0.526,1.254,-3.1,3.322,3.828
Tyus Jones,195,16,166.63636363636363,0.103,-1.43,-0.519,-0.656,0.137,-1.7,0.27,1.181
Noah Penda,201,14,20.650000000000002,0.14,-1.987,-1.014,-0.909,-0.105,-1.5,-0.487,0.486
Jeremy Sochan,469,3,180.04999999999998,0.141,-0.598,-1.485,-2.021,0.536,-3.0,2.402,1.515
Dwight Powell,368,26,1162.8214285714287,0.084,0.325,-0.908,-2.125,1.217,-1.4,1.725,0.492
Dorian Finney-Smith,48,27,74.05,0.104,1.27,0.447,-2.258,2.705,-4.3,5.57,4.747
Zeke Nnaji,398,16,57.2,0.136,-1.33,-2.699,-2.886,0.187,-3.5,2.17,0.801
Rayan Rupert,287,19,673.4972222222223,0.148,-5.219,-6.055,-4.415,-1.64,-5.1,-0.119,-0.955
Matisse Thybulle,283,19,66.3125,0.144,7.384,6.863,-0.722,7.585,4.4,2.984,2.463
Larry Nance Jr.,101,7,18.6,0.137,0.594,-0.075,-1.802,1.727,-3.4,3.994,3.325
Doug McDermott,271,25,1241.8758620689655,0.146,-0.948,-2.154,-1.896,-0.258,-4.4,3.452,2.246
Gary Harris,341,10,936.0861111111111,0.082,-2.072,-2.665,-1.788,-0.877,-2.5,0.428,-0.165
Kevon Looney,458,29,1127.5,0.096,1.012,0.681,-0.239,0.92,-1.8,2.812,2.481
