metric,n_teams,RMSE,MAE,R2,SRS_r
WS48,30,3.243,2.592,0.943,0.997
WS,30,3.432,2.639,0.936,0.993
BPM,30,3.559,2.94,0.932,0.997
VORP,30,3.617,2.93,0.929,0.996
LEBRON,30,5.173,4.195,0.856,0.958
PER,30,5.368,4.217,0.844,0.921
OBPM,30,6.097,5.079,0.799,0.912
DBPM,30,6.518,4.777,0.771,0.918
BPR,30,6.694,5.351,0.758,0.905
RAPTOR_total,30,12.46,10.426,0.162,0.359
