quartile,n,mean_bpr,mean_bpm,mean_lebron,mean_ws48,r_bpr_bpm,r_bpr_leb,avg_divergence
Q1 (<18%),265,0.209,-1.536,-0.894,0.092,0.416,0.574,0.103
Q2 (18-22%),152,0.515,-1.414,-0.642,0.076,0.472,0.557,0.133
Q3 (22-28%),108,0.73,-0.187,-0.015,0.081,0.48,0.466,-0.155
Q4 (>28%),38,2.476,3.332,2.139,0.134,0.671,0.644,-0.742
