within_season_half_life,cross_season_decay,is_baseline,lambda,mid_n,mid_mae,mid_acc,hold_n,hold_mae,hold_acc,retro_n,retro_r2,retro_rmse,retro_mae,elapsed_s
,0.25,False,1000.0,607,13.784927380187128,0.6194398682042833,1223,12.806796204042277,0.5903515944399019,30,0.714968920577715,7.266825853216015,5.742405898848293,1.8
,0.33,False,1000.0,607,13.784927380187128,0.6194398682042833,1223,12.805683882365912,0.5870809484873263,30,0.7148758614216415,7.268012021221292,5.7438310364825265,1.4
,0.5,True,1000.0,607,13.784927380187128,0.6194398682042833,1223,12.803909895602581,0.5862632869991823,30,0.7147505354977521,7.26960916809034,5.745616038358874,1.5
,0.67,False,1000.0,607,13.784927380187128,0.6194398682042833,1223,12.802830658309269,0.5878986099754702,30,0.7146463877571754,7.270936154410974,5.746828040169138,1.5
,0.75,False,1000.0,607,13.784927380187128,0.6194398682042833,1223,12.802512036605673,0.5878986099754702,30,0.714622520147403,7.271240226675533,5.747034746087408,1.5
,1.0,False,1000.0,607,13.784927380187128,0.6194398682042833,1223,12.80204340748865,0.5862632869991823,30,0.7146212812504672,7.271256009819082,5.747156082932226,1.5
30.0,0.25,False,1000.0,607,13.951451925371714,0.5551894563426688,1223,12.895012066430512,0.5838103025347506,30,0.7214218159415614,7.184097129532705,5.8462318902034855,1.5
30.0,0.33,False,1000.0,607,13.951451925371714,0.5551894563426688,1223,12.895011537582747,0.5838103025347506,30,0.7214219010830258,7.184096031699795,5.846233259492397,1.5
30.0,0.5,False,1000.0,607,13.951451925371714,0.5551894563426688,1223,12.895010415781769,0.5838103025347506,30,0.7214220816143966,7.184093703887739,5.846236171410023,1.6
30.0,0.67,False,1000.0,607,13.951451925371714,0.5551894563426688,1223,12.895009286579068,0.5838103025347506,30,0.7214222617647723,7.184091380987567,5.846239085279583,1.5
30.0,0.75,False,1000.0,607,13.951451925371714,0.5551894563426688,1223,12.895008756106012,0.5838103025347506,30,0.7214223464338806,7.184090289244449,5.846240457059846,1.5
30.0,1.0,False,1000.0,607,13.951451925371714,0.5551894563426688,1223,12.89500712279211,0.5838103025347506,30,0.7214226103005361,7.184086886885533,5.846244747582637,1.5
45.0,0.25,False,1000.0,607,13.905806355130172,0.5634266886326195,1223,12.860000465249232,0.5944399018806215,30,0.7340141494285531,7.019851274483673,5.687019545939363,1.5
45.0,0.33,False,1000.0,607,13.905806355130172,0.5634266886326195,1223,12.85999127330685,0.5944399018806215,30,0.7340157620455499,7.019829994500897,5.687009853086196,1.5
45.0,0.5,False,1000.0,607,13.905806355130172,0.5634266886326195,1223,12.859971801757851,0.5944399018806215,30,0.734019127095551,7.01978558932519,5.686989624985717,1.5
45.0,0.67,False,1000.0,607,13.905806355130172,0.5634266886326195,1223,12.859952386425846,0.5944399018806215,30,0.7340223302838169,7.0197433198148245,5.686972016464119,1.5
45.0,0.75,False,1000.0,607,13.905806355130172,0.5634266886326195,1223,12.859943262540172,0.5944399018806215,30,0.7340238128283592,7.019723755960723,5.686963899998821,1.5
45.0,1.0,False,1000.0,607,13.905806355130172,0.5634266886326195,1223,12.859914779862612,0.5944399018806215,30,0.7340283163846639,7.019664326100971,5.686939996974158,1.5
60.0,0.25,False,1000.0,607,13.879130312046843,0.57166392092257,1223,12.84260200983021,0.5928045789043336,30,0.7385657389710166,6.959529732194768,5.602613318365063,1.5
60.0,0.33,False,1000.0,607,13.879130312046843,0.57166392092257,1223,12.842561437620725,0.5928045789043336,30,0.7385709009139559,6.959461024917166,5.602614396971642,1.5
60.0,0.5,False,1000.0,607,13.879130312046843,0.57166392092257,1223,12.842475715411839,0.5936222403924775,30,0.7385804779495198,6.9593335494058355,5.602633201390118,1.5
60.0,0.67,False,1000.0,607,13.879130312046843,0.57166392092257,1223,12.842390865877697,0.5936222403924775,30,0.7385884356496419,6.959227626346884,5.602670596704443,1.6
60.0,0.75,False,1000.0,607,13.879130312046843,0.57166392092257,1223,12.84235128846625,0.5936222403924775,30,0.738591757856615,6.959183404760776,5.6026922177994765,1.6
60.0,1.0,False,1000.0,607,13.879130312046843,0.57166392092257,1223,12.842229142994078,0.5936222403924775,30,0.7386008219968005,6.959062751409807,5.602770630367782,1.6
90.0,0.25,False,1000.0,607,13.850044296527308,0.5897858319604613,1223,12.827221666363192,0.5944399018806215,30,0.7389690957147961,6.954158866024377,5.50181314581499,1.6
90.0,0.33,False,1000.0,607,13.850044296527308,0.5897858319604613,1223,12.827044741614483,0.5944399018806215,30,0.7389748697875949,6.954081951680244,5.501924646869846,1.6
90.0,0.5,False,1000.0,607,13.850044296527308,0.5897858319604613,1223,12.826689156784774,0.5944399018806215,30,0.7389786161896654,6.95403204675254,5.502195003400859,1.6
90.0,0.67,False,1000.0,607,13.850044296527308,0.5897858319604613,1223,12.82635100614915,0.5928045789043336,30,0.7389764656375097,6.954060693788247,5.502479746943605,1.6
90.0,0.75,False,1000.0,607,13.850044296527308,0.5897858319604613,1223,12.826197017063496,0.5928045789043336,30,0.7389745206703615,6.954086602169333,5.502611439415135,1.6
90.0,1.0,False,1000.0,607,13.850044296527308,0.5897858319604613,1223,12.825735510532883,0.5911692559280458,30,0.7389661022938537,6.9541987399718,5.50301228117036,1.6
120.0,0.25,False,1000.0,607,13.834704871813846,0.5897858319604613,1223,12.820694266564137,0.5936222403924775,30,0.7365948111775495,6.985714087753615,5.489088433224912,1.6
120.0,0.33,False,1000.0,607,13.834704871813846,0.5897858319604613,1223,12.820358282588128,0.5936222403924775,30,0.7365893546150465,6.9857864435570685,5.489407017777603,1.6
120.0,0.5,False,1000.0,607,13.834704871813846,0.5897858319604613,1223,12.819672026685673,0.5936222403924775,30,0.7365729278202076,6.986004263705365,5.490043905740064,1.6
120.0,0.67,False,1000.0,607,13.834704871813846,0.5897858319604613,1223,12.819039789600108,0.5928045789043336,30,0.73654780211237,6.986337418751562,5.490724238408194,1.6
120.0,0.75,False,1000.0,607,13.834704871813846,0.5897858319604613,1223,12.818757050852648,0.5928045789043336,30,0.7365360689552265,6.986492989444827,5.49099587927267,1.6
120.0,1.0,False,1000.0,607,13.834704871813846,0.5897858319604613,1223,12.817937236433249,0.5936222403924775,30,0.7364926366575375,6.987068830960536,5.491876098372407,1.6
180.0,0.25,False,1000.0,607,13.818830905976686,0.6079077429983526,1223,12.815162429538768,0.5936222403924775,30,0.7319565147852717,7.046951328585197,5.5427164937594755,1.6
180.0,0.33,False,1000.0,607,13.818830905976686,0.6079077429983526,1223,12.814567017583057,0.5919869174161897,30,0.7319309174523219,7.047287801700725,5.543521911195983,1.6
180.0,0.5,False,1000.0,607,13.818830905976686,0.6079077429983526,1223,12.813434729734173,0.5928045789043336,30,0.7318827068867326,7.047921478761286,5.545007287240036,1.6
180.0,0.67,False,1000.0,607,13.818830905976686,0.6079077429983526,1223,12.812431705814033,0.5928045789043336,30,0.7318294710430753,7.048621141619561,5.546345631948281,1.6
180.0,0.75,False,1000.0,607,13.818830905976686,0.6079077429983526,1223,12.811997297583439,0.5911692559280458,30,0.7318014507956464,7.048989375501042,5.546961461881988,1.5
180.0,1.0,False,1000.0,607,13.818830905976686,0.6079077429983526,1223,12.810753725543421,0.5903515944399019,30,0.7317394219924761,7.049804471439422,5.548536588422436,1.5
