player_name,team,minutes,USG_pct,bpr,z_bpr,z_consensus,divergence,abs_div,BPM,LEBRON,WS48,PER
Jakob Poeltl,TOR,1149.0,15.3,-1.099,-0.482,0.861,-1.343,1.343,1.6,-0.18,0.18,18.1
Nikola Vučević,2TM,1818.0,21.4,-1.69,-0.656,0.674,-1.329,1.329,1.5,0.593,0.116,17.7
James Harden,CLE,879.0,24.0,0.59,0.013,1.335,-1.322,1.322,4.0,2.107,0.158,18.9
Goga Bitadze,ORL,972.0,13.5,1.401,0.251,1.572,-1.32,1.32,2.8,2.229,0.218,20.1
Bub Carrington,WAS,2271.0,18.0,-9.608,-2.978,-1.67,-1.308,1.308,-4.7,-5.555,-0.009,9.9
Zach LaVine,SAC,1224.0,23.7,-5.054,-1.642,-0.341,-1.301,1.301,-1.5,-1.721,0.051,14.7
Karl-Anthony Towns,NYK,2322.0,25.9,2.13,0.465,1.751,-1.286,1.286,3.3,3.044,0.197,22.0
Will Riley,WAS,1633.0,20.2,-7.993,-2.504,-1.224,-1.28,1.28,-4.5,-4.031,0.012,12.1
Mitchell Robinson,NYK,1175.0,10.7,2.224,0.493,1.763,-1.27,1.27,3.5,2.234,0.236,21.1
Zion Williamson,NOP,1841.0,25.7,0.416,-0.038,1.231,-1.269,1.269,2.9,0.439,0.159,22.6
Ja'Kobe Walter,TOR,1474.0,14.0,-3.676,-1.238,0.012,-1.25,1.25,-0.3,-0.758,0.121,11.8
Taylor Hendricks,MEM,626.0,18.2,-5.053,-1.642,-0.397,-1.245,1.245,-1.5,-2.0,0.061,13.7
Joan Beringer,MIN,314.0,16.8,1.36,0.239,1.451,-1.212,1.212,0.4,,0.222,21.3
Craig Porter Jr.,CLE,1148.0,12.3,-1.333,-0.551,0.651,-1.202,1.202,2.0,1.802,0.116,13.7
Dejounte Murray,NOP,389.0,26.6,-1.341,-0.553,0.643,-1.196,1.196,1.4,1.561,0.072,18.1
Branden Carlson,OKC,488.0,18.9,-1.075,-0.475,0.715,-1.19,1.19,0.8,-0.321,0.171,17.7
Trayce Jackson-Davis,2TM,496.0,15.3,-1.667,-0.649,0.535,-1.184,1.184,-0.4,,0.138,16.6
Nikola Vučević,BOS,338.0,21.0,-1.69,-0.656,0.489,-1.145,1.145,0.2,0.593,0.124,15.8
Trayce Jackson-Davis,GSW,411.0,14.8,-1.667,-0.649,0.477,-1.126,1.126,-0.4,,0.136,16.0
Ryan Kalkbrenner,CHO,1479.0,11.6,-0.388,-0.274,0.841,-1.115,1.115,1.8,-0.503,0.185,17.9
Tre Jones,CHI,1752.0,19.2,0.19,-0.104,0.974,-1.078,1.078,1.3,1.229,0.157,18.7
Stephen Curry,GSW,1329.0,32.5,2.934,0.701,1.766,-1.065,1.065,5.4,3.143,0.147,22.6
Obi Toppin,IND,424.0,24.8,0.267,-0.081,0.979,-1.06,1.06,3.0,0.821,0.124,19.7
Bennedict Mathurin,LAC,729.0,27.8,-2.494,-0.891,0.162,-1.054,1.054,-2.1,-0.031,0.092,17.2
Taylor Hendricks,2TM,1118.0,16.2,-5.053,-1.642,-0.608,-1.034,1.034,-2.4,-2.0,0.049,12.2
Walter Clayton,UTA,811.0,17.2,-6.382,-2.032,-0.999,-1.033,1.033,-3.2,-2.68,0.019,10.4
Anthony Davis,DAL,626.0,27.5,0.628,0.024,1.058,-1.033,1.033,2.4,1.602,0.103,21.5
Shaedon Sharpe,POR,1471.0,30.5,-3.874,-1.296,-0.267,-1.03,1.03,-1.4,-1.205,0.041,15.3
Noah Clowney,BRK,1780.0,20.4,-6.173,-1.971,-0.949,-1.022,1.022,-3.4,-2.836,0.029,11.2
Kobe Brown,IND,668.0,15.2,-5.22,-1.691,-0.674,-1.017,1.017,-2.8,-2.938,0.07,12.4
