player_name,team,minutes,USG_pct,bpr,z_bpr,z_consensus,divergence,abs_div,BPM,LEBRON,WS48,PER
Guerschon Yabusele,CHI,641.0,16.7,-1.216,-0.516,-0.287,-0.23,0.23,-1.3,-1.214,0.074,12.5
Keon Ellis,CLE,720.0,12.4,0.662,0.034,0.25,-0.215,0.215,1.1,-0.177,0.121,12.5
Tyus Jones,ORL,754.0,9.8,-2.048,-0.761,-0.55,-0.211,0.211,-1.7,-0.85,0.064,8.4
Harrison Barnes,SAS,1986.0,14.6,0.279,-0.078,0.132,-0.209,0.209,-0.1,0.092,0.117,11.8
John Konchar,2TM,1115.0,9.4,0.657,0.033,0.239,-0.206,0.206,0.9,-0.096,0.104,13.6
Kam Jones,IND,616.0,14.4,-5.514,-1.777,-1.572,-0.205,0.205,-6.2,-3.597,0.002,8.2
Jayson Tatum,BOS,522.0,30.0,5.615,1.487,1.691,-0.204,0.204,4.8,3.887,0.148,20.3
Drew Timme,LAL,235.0,15.4,-0.886,-0.42,-0.227,-0.193,0.193,-2.2,,0.092,12.6
Russell Westbrook,SAC,1853.0,25.9,-0.992,-0.451,-0.27,-0.181,0.181,-0.4,-0.791,0.009,15.1
Kevin Huerter,DET,512.0,18.0,0.736,0.056,0.23,-0.174,0.174,0.3,-0.019,0.114,13.4
Nick Richards,PHO,254.0,18.1,-3.503,-1.187,-1.015,-0.173,0.173,-6.8,-1.693,0.039,11.4
Dru Smith,MIA,1141.0,15.2,1.92,0.403,0.574,-0.171,0.171,2.2,0.483,0.127,14.5
Jake LaRavia,LAL,2061.0,14.4,-0.852,-0.41,-0.247,-0.163,0.163,-1.2,-1.177,0.089,11.9
Josh Minott,2TM,834.0,16.8,2.118,0.462,0.619,-0.158,0.158,2.5,-0.349,0.139,16.0
Kenrich Williams,OKC,855.0,18.3,0.811,0.078,0.225,-0.147,0.147,0.2,-0.801,0.13,14.2
Keshad Johnson,MIA,280.0,18.9,0.637,0.027,0.173,-0.146,0.146,-1.3,,0.11,15.2
Jalen Slawson,IND,311.0,13.9,-0.227,-0.226,-0.08,-0.146,0.146,-0.4,-0.192,0.07,12.6
Andre Drummond,PHI,1231.0,14.9,1.379,0.245,0.384,-0.14,0.14,-0.6,-0.2,0.133,16.4
John Konchar,UTA,680.0,9.8,0.657,0.033,0.172,-0.139,0.139,0.0,-0.096,0.1,14.0
Ryan Rollins,MIL,2376.0,24.2,0.474,-0.021,0.108,-0.129,0.129,0.2,-0.668,0.069,16.2
Julian Reese,WAS,402.0,17.7,-2.361,-0.852,-0.727,-0.125,0.125,-5.1,-1.946,0.041,14.4
Devin Carter,SAC,700.0,23.5,-1.276,-0.534,-0.41,-0.124,0.124,-2.6,-0.046,0.012,13.8
Anthony Black,ORL,1910.0,22.2,0.287,-0.076,0.046,-0.122,0.122,-0.6,0.459,0.067,13.7
Bobby Portis,MIL,1619.0,23.1,0.072,-0.139,-0.027,-0.111,0.111,0.0,-2.306,0.083,17.1
Jordan Clarkson,NYK,1279.0,21.1,-1.848,-0.702,-0.593,-0.108,0.108,-3.3,-1.794,0.072,11.6
Malachi Smith,BRK,359.0,14.2,-0.371,-0.269,-0.167,-0.101,0.101,-0.8,-1.741,0.094,13.7
OG Anunoby,NYK,2224.0,19.7,3.113,0.753,0.855,-0.101,0.101,2.0,1.821,0.135,15.8
Matas Buzelis,CHI,2248.0,22.8,-0.297,-0.247,-0.147,-0.1,0.1,-1.0,-0.789,0.055,14.8
Tyus Jones,3TM,979.0,10.7,-2.048,-0.761,-0.667,-0.094,0.094,-2.4,-0.85,0.051,8.3
Carter Bryant,SAS,818.0,16.3,-1.726,-0.666,-0.573,-0.093,0.093,-3.0,-1.235,0.076,9.9
Jimmy Butler,GSW,1182.0,23.3,7.672,2.091,2.178,-0.088,0.088,5.5,3.115,0.233,23.5
Brooks Barnhizer,OKC,348.0,10.6,-2.293,-0.832,-0.747,-0.086,0.086,-3.1,,0.082,7.9
Olivier-Maxence Prosper,MEM,984.0,18.9,0.695,0.044,0.128,-0.084,0.084,-0.1,-2.116,0.119,16.9
VJ Edgecombe,PHI,2623.0,20.1,0.489,-0.016,0.066,-0.082,0.082,-0.5,0.001,0.081,14.0
Maxime Raynaud,SAC,1964.0,18.2,-0.642,-0.348,-0.272,-0.076,0.076,-2.4,-2.333,0.088,16.0
Clint Capela,HOU,926.0,13.7,2.453,0.56,0.635,-0.075,0.075,0.4,-0.302,0.156,17.9
Bryce McGowens,NOP,880.0,14.0,-1.003,-0.454,-0.381,-0.073,0.073,-2.8,-1.288,0.095,11.7
Trendon Watford,PHI,864.0,17.9,-1.363,-0.56,-0.491,-0.068,0.068,-1.9,-2.687,0.078,13.1
Coby White,CHI,843.0,27.1,-0.858,-0.411,-0.353,-0.058,0.058,-3.3,-0.163,0.038,14.2
Tidjane Salaün,CHO,575.0,14.9,0.197,-0.102,-0.047,-0.055,0.055,-0.8,-1.226,0.117,12.9
Guerschon Yabusele,2TM,1007.0,16.1,-1.216,-0.516,-0.472,-0.045,0.045,-2.2,-1.214,0.067,11.1
Andrew Wiggins,MIA,2063.0,19.7,1.863,0.387,0.43,-0.043,0.043,1.2,0.409,0.106,15.1
Caleb Love,POR,1013.0,23.0,-2.594,-0.921,-0.887,-0.034,0.034,-3.1,-2.419,0.031,10.7
Darius Garland,2TM,1344.0,27.4,1.728,0.347,0.373,-0.026,0.026,-0.2,0.399,0.092,17.1
Mouhamed Gueye,ATL,1179.0,12.4,0.657,0.033,0.052,-0.019,0.019,-1.3,0.353,0.11,12.0
Jaylin Williams,OKC,1277.0,15.6,3.078,0.743,0.762,-0.019,0.019,2.7,0.998,0.155,13.8
Pat Spencer,GSW,1229.0,18.9,-1.402,-0.571,-0.555,-0.016,0.016,-2.3,-1.843,0.056,12.1
Cameron Payne,PHI,374.0,19.2,1.374,0.243,0.256,-0.013,0.013,0.3,-0.015,0.106,14.4
Amen Thompson,HOU,2953.0,20.0,4.757,1.236,1.247,-0.012,0.012,2.6,2.036,0.167,18.9
A.J. Lawson,TOR,226.0,17.5,0.946,0.118,0.126,-0.009,0.009,-1.0,,0.121,13.4
Tony Bradley,IND,416.0,14.5,-1.086,-0.478,-0.471,-0.008,0.008,-4.1,-1.917,0.102,13.0
Josh Minott,BRK,308.0,21.9,2.118,0.462,0.464,-0.002,0.002,3.0,-0.349,0.08,16.8
Andrew Nembhard,IND,1786.0,23.6,1.088,0.159,0.156,0.003,0.003,-0.8,0.232,0.077,15.7
Julian Strawther,DEN,861.0,19.4,-1.156,-0.499,-0.502,0.004,0.004,-2.3,-2.076,0.071,12.5
Patrick Williams,CHI,1474.0,16.6,-4.003,-1.334,-1.338,0.004,0.004,-4.5,-2.714,-0.005,8.2
Mikal Bridges,NYK,2692.0,17.3,3.891,0.982,0.974,0.008,0.008,2.7,2.232,0.143,15.3
Cam Thomas,MIL,299.0,30.4,-2.991,-1.037,-1.059,0.022,0.022,-5.3,-1.622,-0.028,13.1
Tony Bradley,2TM,450.0,14.5,-1.086,-0.478,-0.503,0.025,0.025,-4.2,-1.917,0.099,12.8
Cam Thomas,2TM,881.0,30.3,-2.991,-1.037,-1.063,0.026,0.026,-5.2,-1.622,-0.024,12.6
Cam Thomas,BRK,582.0,30.3,-2.991,-1.037,-1.064,0.027,0.027,-5.1,-1.622,-0.022,12.3
Cameron Johnson,DEN,1647.0,15.1,1.274,0.214,0.179,0.035,0.035,-0.6,0.574,0.108,12.8
Dylan Harper,SAS,1558.0,21.8,3.021,0.726,0.685,0.041,0.041,1.4,0.947,0.13,16.2
Jarace Walker,IND,1953.0,20.7,-2.308,-0.837,-0.893,0.057,0.057,-2.4,-2.681,0.013,11.5
Drake Powell,BRK,1320.0,14.9,-5.389,-1.741,-1.798,0.057,0.057,-6.0,-4.799,-0.003,7.3
Kevin Huerter,2TM,1549.0,18.8,0.736,0.056,-0.004,0.061,0.061,-0.6,-0.019,0.078,13.2
Moses Moody,GSW,1540.0,18.3,1.356,0.238,0.177,0.061,0.061,-0.1,0.325,0.096,13.5
Kyle Anderson,MIN,363.0,11.5,1.512,0.284,0.22,0.063,0.063,1.6,-0.909,0.126,12.7
Josh Okogie,HOU,1354.0,11.3,0.004,-0.159,-0.223,0.065,0.065,-1.2,-0.354,0.095,9.9
Onyeka Okongwu,ATL,2297.0,19.5,2.731,0.641,0.577,0.065,0.065,0.7,0.853,0.125,15.9
Tyson Etienne,BRK,380.0,20.3,-1.411,-0.574,-0.639,0.065,0.065,-2.8,-2.449,0.069,11.9
Jordan Miller,LAC,1325.0,18.0,1.826,0.376,0.308,0.068,0.068,0.2,-0.766,0.125,15.9
Larry Nance Jr.,CLE,449.0,14.0,-1.672,-0.65,-0.719,0.069,0.069,-3.4,-1.402,0.06,9.5
Peyton Watson,DEN,1598.0,20.6,0.24,-0.089,-0.166,0.077,0.077,-1.2,-1.281,0.078,14.3
Dylan Cardwell,SAC,907.0,11.3,2.193,0.484,0.405,0.078,0.078,-1.9,1.285,0.122,15.8
Keegan Murray,SAC,793.0,18.7,-1.312,-0.545,-0.624,0.08,0.08,-3.1,-0.378,0.011,11.7
JD Davison,HOU,218.0,15.3,0.326,-0.064,-0.145,0.081,0.081,-1.1,,0.102,11.4
Deandre Ayton,LAL,1958.0,16.7,2.619,0.609,0.526,0.083,0.083,-0.9,-0.325,0.152,18.2
Dyson Daniels,ATL,2520.0,16.0,3.629,0.905,0.808,0.097,0.097,1.3,2.287,0.126,15.5
Corey Kispert,WAS,370.0,16.7,0.471,-0.022,-0.129,0.107,0.107,-1.1,-1.005,0.08,14.0
Jericho Sims,MIL,1318.0,9.8,-0.993,-0.451,-0.562,0.111,0.111,-3.1,-3.55,0.117,12.9
Keaton Wallace,ATL,536.0,16.1,-0.993,-0.451,-0.562,0.111,0.111,-2.7,-1.246,0.066,10.4
Dennis Schröder,SAC,1056.0,22.5,-0.463,-0.296,-0.413,0.117,0.117,-1.9,-0.924,0.03,13.6
Jordan McLaughlin,SAS,282.0,14.5,1.214,0.196,0.077,0.119,0.119,0.6,,0.1,12.0
Yuki Kawamura,CHI,209.0,14.8,-0.601,-0.336,-0.457,0.121,0.121,-3.7,-0.414,0.069,11.4
Sandro Mamukelashvili,TOR,1751.0,18.8,4.915,1.282,1.159,0.123,0.123,2.8,1.566,0.169,18.1
Tobias Harris,DET,1746.0,18.8,3.575,0.889,0.762,0.127,0.127,1.4,1.552,0.145,15.0
GG Jackson II,MEM,1178.0,23.5,0.513,-0.009,-0.137,0.128,0.128,-1.2,-0.846,0.052,15.6
Dennis Schröder,2TM,1697.0,21.0,-0.463,-0.296,-0.425,0.129,0.129,-2.2,-0.924,0.043,12.9
Jase Richardson,ORL,587.0,16.8,-0.858,-0.411,-0.544,0.133,0.133,-2.5,-2.163,0.082,11.5
Liam McNeeley,CHO,368.0,14.4,0.57,0.007,-0.127,0.134,0.134,-1.3,-0.398,0.112,10.6
Ziaire Williams,BRK,1281.0,18.9,-0.303,-0.249,-0.384,0.136,0.136,-1.7,-1.191,0.059,12.4
Svi Mykhailiuk,UTA,1156.0,14.8,-0.925,-0.431,-0.567,0.136,0.136,-1.7,-1.752,0.048,11.4
Ben Sheppard,IND,1390.0,13.8,-1.706,-0.66,-0.801,0.14,0.14,-3.0,-2.008,0.05,9.7
Malaki Branham,WAS,275.0,18.4,0.102,-0.13,-0.272,0.142,0.142,-2.2,,0.064,14.0
Dennis Schröder,CLE,641.0,18.6,-0.463,-0.296,-0.443,0.148,0.148,-2.8,-0.924,0.066,11.8
Zaccharie Risacher,ATL,1503.0,17.6,-0.002,-0.16,-0.311,0.15,0.15,-2.5,-0.39,0.074,11.8
Kevin Huerter,CHI,1037.0,19.2,0.736,0.056,-0.112,0.168,0.168,-1.0,-0.019,0.06,13.2
Jalen Suggs,ORL,1574.0,22.9,3.586,0.892,0.719,0.173,0.173,2.5,2.175,0.083,15.6
Khaman Maluach,PHO,411.0,14.8,0.307,-0.07,-0.244,0.174,0.174,-3.7,,0.099,14.0
Caleb Martin,DAL,856.0,12.5,-1.166,-0.502,-0.688,0.186,0.186,-2.2,-1.446,0.048,9.3
Naji Marshall,DAL,2184.0,20.5,1.335,0.232,0.044,0.187,0.187,-0.6,-1.088,0.095,15.4
Kyle Anderson,3TM,853.0,13.2,1.512,0.284,0.094,0.19,0.19,0.4,-0.909,0.105,13.7
Yves Missi,NOP,1297.0,12.6,1.309,0.224,0.029,0.195,0.195,-1.7,-0.477,0.098,15.0
Egor Dёmin,BRK,1308.0,18.8,-0.51,-0.309,-0.51,0.201,0.201,-1.6,-0.892,0.032,11.3
John Poulakidas,DAL,253.0,16.2,0.19,-0.104,-0.31,0.206,0.206,-2.2,-1.258,0.095,12.0
Darius Garland,CLE,792.0,25.8,1.728,0.347,0.137,0.21,0.21,-1.6,0.399,0.084,15.6
Scoot Henderson,POR,748.0,25.0,0.095,-0.132,-0.345,0.213,0.213,-2.2,-0.971,0.064,12.9
Kyle Filipowski,UTA,1801.0,20.0,1.6,0.31,0.095,0.215,0.215,-1.1,-0.303,0.082,16.0
Corey Kispert,2TM,1080.0,18.6,0.471,-0.022,-0.239,0.217,0.217,-1.9,-1.005,0.082,13.1
Keon Ellis,2TM,1478.0,13.0,0.662,0.034,-0.183,0.218,0.218,-0.5,-0.177,0.072,10.8
Josh Green,CHO,908.0,10.6,0.377,-0.049,-0.275,0.226,0.226,-0.7,-1.049,0.099,9.7
Jalen Johnson,ATL,2532.0,27.0,5.572,1.475,1.248,0.227,0.227,4.2,1.244,0.141,20.4
Michael Porter Jr.,BRK,1689.0,30.5,4.05,1.028,0.799,0.229,0.229,3.0,0.665,0.083,19.9
Tyrese Proctor,CLE,545.0,22.0,0.037,-0.149,-0.384,0.235,0.235,-2.8,-0.665,0.066,12.2
Immanuel Quickley,TOR,2231.0,21.1,4.841,1.26,1.019,0.242,0.242,2.4,2.276,0.14,16.6
Myles Turner,MIL,1912.0,18.6,1.488,0.277,0.034,0.243,0.243,-0.9,0.072,0.076,14.2
Alex Caruso,OKC,1020.0,15.7,3.716,0.93,0.676,0.254,0.254,1.9,2.297,0.12,12.8
Blake Wesley,POR,361.0,19.8,-1.161,-0.5,-0.759,0.258,0.258,-3.6,-1.462,0.038,10.8
Tre Mann,CHO,669.0,23.3,-2.789,-0.978,-1.246,0.268,0.268,-5.3,-1.69,-0.003,8.3
Draymond Green,GSW,1869.0,16.1,-0.163,-0.208,-0.477,0.269,0.269,-1.4,-0.75,0.044,10.4
Guerschon Yabusele,NYK,366.0,14.9,-1.216,-0.516,-0.786,0.27,0.27,-3.7,-1.214,0.056,8.6
Jaden Ivey,2TM,670.0,19.7,1.121,0.169,-0.101,0.27,0.27,0.0,-1.508,0.096,13.0
John Collins,LAC,1872.0,19.5,2.62,0.609,0.338,0.271,0.271,-0.5,-0.078,0.117,16.3
Julian Phillips,CHI,334.0,12.5,-1.152,-0.498,-0.77,0.272,0.272,-2.9,,0.054,9.3
Corey Kispert,ATL,710.0,19.6,0.471,-0.022,-0.301,0.279,0.279,-2.3,-1.005,0.082,12.6
Kyle Anderson,UTA,401.0,14.6,1.512,0.284,-0.009,0.293,0.293,-0.3,-0.909,0.087,14.2
Wendell Carter Jr.,ORL,2288.0,15.6,2.613,0.607,0.314,0.293,0.293,-0.6,0.313,0.131,14.1
Jaden Ivey,DET,555.0,20.4,1.121,0.169,-0.129,0.298,0.298,0.1,-1.508,0.093,12.6
Isaiah Livers,PHO,347.0,9.9,-1.288,-0.538,-0.842,0.304,0.304,-2.5,,0.057,7.6
Nickeil Alexander-Walker,ATL,2603.0,23.9,3.379,0.831,0.527,0.305,0.305,1.2,0.219,0.116,16.5
LaMelo Ball,CHO,2017.0,32.0,6.672,1.797,1.488,0.31,0.31,4.7,2.775,0.147,19.7
Kon Knueppel,CHO,2551.0,22.3,4.708,1.221,0.895,0.326,0.326,2.8,0.631,0.151,17.1
Josh Hart,NYK,1994.0,16.7,4.759,1.236,0.91,0.326,0.326,3.0,1.317,0.147,15.7
Moussa Diabaté,CHO,1899.0,11.4,5.516,1.458,1.13,0.328,0.328,1.7,1.816,0.188,17.2
Franz Wagner,ORL,1019.0,27.0,5.62,1.489,1.157,0.332,0.332,2.5,2.297,0.134,19.2
Justin Edwards,PHI,977.0,16.1,0.541,-0.001,-0.337,0.336,0.336,-1.3,-1.759,0.086,12.1
Amir Coffey,PHO,225.0,13.0,1.202,0.193,-0.147,0.34,0.34,-0.5,-2.146,0.125,12.4
Stephon Castle,SAS,2038.0,24.9,4.769,1.239,0.894,0.345,0.345,1.9,1.464,0.136,17.4
Cason Wallace,OKC,2046.0,14.5,3.659,0.914,0.568,0.345,0.345,1.2,2.172,0.122,12.1
Kasparas Jakučionis,MIA,945.0,13.7,1.696,0.338,-0.019,0.357,0.357,-0.4,-0.759,0.114,11.9
Jeremy Sochan,2TM,469.0,14.6,0.829,0.083,-0.276,0.359,0.359,-1.2,-2.423,0.12,12.2
Julian Phillips,2TM,428.0,13.9,-1.152,-0.498,-0.863,0.365,0.365,-3.6,,0.051,9.3
Anfernee Simons,BOS,1202.0,23.7,3.071,0.741,0.367,0.374,0.374,0.6,0.027,0.117,15.0
Dorian Finney-Smith,HOU,620.0,10.7,-2.739,-0.963,-1.342,0.379,0.379,-4.3,-3.248,0.042,5.8
Taelon Peter,IND,492.0,16.6,-2.425,-0.871,-1.253,0.382,0.382,-4.6,-2.336,-0.001,8.6
Jose Alvarado,NYK,474.0,18.9,2.327,0.523,0.134,0.389,0.389,0.9,-1.452,0.119,14.0
Baylor Scheierman,BOS,1429.0,11.9,2.472,0.565,0.173,0.392,0.392,0.6,-0.292,0.129,11.6
Jae'Sean Tate,HOU,405.0,13.5,0.032,-0.15,-0.545,0.394,0.394,-3.9,,0.095,10.7
Quinten Post,GSW,1159.0,18.8,1.428,0.259,-0.138,0.397,0.397,-1.1,-0.592,0.078,13.0
Gary Trent Jr.,MIL,1377.0,17.2,-3.34,-1.14,-1.539,0.399,0.399,-5.4,-3.626,-0.002,8.0
De'Aaron Fox,SAS,2231.0,24.9,5.225,1.373,0.972,0.401,0.401,2.2,1.7,0.138,17.6
E.J. Liddell,BRK,349.0,17.2,0.305,-0.07,-0.473,0.403,0.403,-3.3,-1.411,0.074,12.6
Jonathan Kuminga,ATL,354.0,22.5,3.1,0.75,0.327,0.422,0.422,0.1,-0.38,0.11,16.5
Landry Shamet,NYK,1171.0,15.7,2.398,0.544,0.119,0.425,0.425,-0.3,0.692,0.106,11.2
RJ Barrett,TOR,1726.0,25.8,4.006,1.015,0.59,0.425,0.425,0.2,1.195,0.111,17.0
Oso Ighodaro,PHO,1808.0,12.2,3.072,0.741,0.313,0.428,0.428,0.1,0.201,0.125,13.8
Micah Potter,IND,908.0,18.0,3.87,0.976,0.541,0.434,0.434,0.7,-0.151,0.135,17.0
Mike Conley,MIN,991.0,11.5,0.906,0.106,-0.329,0.435,0.435,-1.3,-0.753,0.092,9.4
Sidy Cissoko,POR,1435.0,12.5,-1.402,-0.571,-1.009,0.438,0.438,-4.0,-1.68,0.045,7.1
Derrick White,BOS,2625.0,22.0,6.575,1.769,1.329,0.44,0.44,3.2,4.594,0.129,16.0
Grant Williams,CHO,711.0,14.1,3.296,0.807,0.364,0.443,0.443,1.6,-0.117,0.131,12.9
Jabari Smith Jr.,HOU,2705.0,18.2,3.048,0.734,0.288,0.446,0.446,-0.7,0.822,0.118,13.5
Collin Gillespie,PHO,2282.0,18.7,5.007,1.309,0.859,0.45,0.45,2.5,1.913,0.13,15.3
Christian Koloko,3TM,357.0,11.3,-1.179,-0.506,-0.961,0.455,0.455,-4.7,-1.424,0.038,8.8
Ochai Agbaji,BRK,323.0,17.3,-0.273,-0.24,-0.695,0.455,0.455,-2.7,-2.028,0.042,11.7
Austin Reaves,LAL,1762.0,26.7,6.647,1.79,1.332,0.458,0.458,2.8,2.39,0.153,20.2
Bones Hyland,MIN,1177.0,20.6,4.442,1.143,0.682,0.461,0.461,1.7,1.322,0.126,15.1
Malevy Leons,GSW,276.0,14.4,0.816,0.08,-0.382,0.462,0.462,-2.8,-1.273,0.087,12.2
De'Anthony Melton,GSW,1125.0,25.4,1.245,0.205,-0.259,0.465,0.465,-2.5,0.576,0.031,13.4
Spencer Jones,DEN,1417.0,9.7,-0.093,-0.187,-0.655,0.468,0.468,-2.4,-2.302,0.089,9.3
Bruce Brown,DEN,1998.0,14.5,0.043,-0.147,-0.63,0.483,0.483,-2.4,-2.217,0.071,10.8
Jabari Walker,PHI,762.0,15.0,1.182,0.187,-0.296,0.483,0.483,-2.7,-1.404,0.106,12.5
Nate Williams,GSW,239.0,19.5,-0.972,-0.445,-0.929,0.484,0.484,-5.0,-2.478,0.052,11.3
Tyler Burton,MEM,307.0,18.3,-1.875,-0.71,-1.198,0.488,0.488,-5.3,-2.616,0.023,9.5
Brice Sensabaugh,UTA,1762.0,24.9,0.309,-0.069,-0.563,0.494,0.494,-2.6,-1.886,0.029,14.4
Kris Murray,POR,1333.0,10.6,0.446,-0.029,-0.527,0.498,0.498,-1.5,-1.745,0.079,9.6
Jahmai Mashack,MEM,673.0,16.0,-4.153,-1.378,-1.879,0.501,0.501,-7.0,-3.693,-0.036,7.0
LJ Cryer,GSW,292.0,20.3,-0.599,-0.335,-0.843,0.507,0.507,-4.7,-1.247,0.045,9.9
Day'Ron Sharpe,BRK,1160.0,19.9,5.449,1.439,0.93,0.508,0.508,1.4,0.489,0.144,20.5
Pelle Larsson,MIA,1849.0,16.8,2.521,0.58,0.069,0.511,0.511,-1.2,0.073,0.106,13.1
Precious Achiuwa,SAC,1745.0,17.6,2.616,0.608,0.088,0.52,0.52,-1.6,-0.112,0.081,16.2
Anfernee Simons,2TM,1372.0,23.6,3.071,0.741,0.208,0.533,0.533,-0.1,0.027,0.101,14.4
Jordan Goodwin,PHO,1572.0,17.5,4.812,1.252,0.717,0.535,0.535,1.8,1.917,0.118,14.7
Joel Embiid,PHI,1201.0,33.5,8.225,2.253,1.717,0.536,0.536,4.9,1.736,0.163,24.7
Jordan Poole,NOP,933.0,25.1,-0.549,-0.321,-0.857,0.537,0.537,-3.5,-1.692,0.01,11.5
Desmond Bane,ORL,2756.0,23.3,5.244,1.379,0.826,0.552,0.552,1.4,1.688,0.129,16.9
Leaky Black,WAS,433.0,11.6,-2.302,-0.835,-1.396,0.561,0.561,-5.3,-2.759,0.004,7.8
Jordan Hawkins,NOP,692.0,18.2,-3.618,-1.221,-1.79,0.569,0.569,-6.2,-3.985,-0.029,7.6
Sam Merrill,CLE,1377.0,17.0,4.109,1.046,0.462,0.583,0.583,0.1,1.289,0.127,13.6
Naz Reid,MIN,2007.0,22.1,4.2,1.072,0.481,0.591,0.591,0.9,1.086,0.097,15.4
Tim Hardaway Jr.,DEN,2127.0,18.5,2.383,0.539,-0.058,0.597,0.597,-0.7,-1.112,0.1,13.5
Al Horford,GSW,969.0,16.5,4.353,1.117,0.512,0.605,0.605,1.6,0.952,0.105,14.7
Tyrese Martin,BRK,696.0,18.8,0.022,-0.153,-0.762,0.609,0.609,-3.1,-1.045,0.013,10.8
Lauri Markkanen,UTA,1443.0,28.1,6.739,1.817,1.201,0.616,0.616,2.6,2.234,0.118,21.1
Jared McCain,OKC,540.0,23.2,1.798,0.368,-0.257,0.625,0.625,-0.9,-2.656,0.101,14.0
Keon Ellis,SAC,758.0,13.7,0.662,0.034,-0.592,0.626,0.626,-1.9,-0.177,0.025,9.1
Luke Kennard,ATL,944.0,12.7,2.517,0.579,-0.05,0.629,0.629,0.5,-2.908,0.139,13.5
Nick Smith Jr.,LAL,375.0,22.0,-1.218,-0.517,-1.155,0.638,0.638,-4.7,-2.657,0.013,10.2
Cole Anthony,MIL,527.0,25.8,-1.643,-0.642,-1.283,0.641,0.641,-4.7,-2.157,-0.042,10.7
Gui Santos,GSW,1395.0,18.7,3.203,0.78,0.137,0.643,0.643,-0.6,0.102,0.094,14.2
Jrue Holiday,POR,1560.0,23.5,5.22,1.372,0.728,0.644,0.644,1.9,1.49,0.109,16.4
Doug McDermott,SAC,439.0,15.1,-1.094,-0.481,-1.129,0.648,0.648,-4.4,-2.126,0.018,8.6
Justin Champagnie,WAS,1377.0,16.7,3.633,0.906,0.257,0.649,0.649,-0.4,-0.896,0.109,17.3
Keldon Johnson,SAS,1911.0,21.0,5.389,1.421,0.77,0.651,0.651,0.9,0.471,0.161,17.3
Brook Lopez,LAC,1635.0,17.2,2.354,0.531,-0.135,0.666,0.666,-0.9,-0.105,0.068,12.3
Toumani Camara,POR,2731.0,16.3,2.427,0.552,-0.124,0.676,0.676,-1.0,-0.023,0.084,11.3
Tyrese Martin,2TM,777.0,18.4,0.022,-0.153,-0.845,0.692,0.692,-3.4,-1.045,0.006,10.3
Gabe Vincent,ATL,320.0,13.8,-0.683,-0.36,-1.052,0.692,0.692,-3.4,-2.914,0.049,8.2
Luke Kennard,2TM,1681.0,13.5,2.517,0.579,-0.12,0.699,0.699,0.1,-2.908,0.13,13.5
Tre Johnson,WAS,1443.0,22.5,-2.366,-0.854,-1.554,0.7,0.7,-5.0,-4.404,-0.024,10.6
Duncan Robinson,DET,2113.0,15.8,4.569,1.181,0.472,0.708,0.708,0.8,1.096,0.139,12.4
Ochai Agbaji,2TM,973.0,14.6,-0.273,-0.24,-0.949,0.709,0.709,-4.0,-2.028,0.046,8.9
Kevon Looney,NOP,308.0,9.9,2.943,0.704,-0.012,0.715,0.715,-1.8,-0.448,0.109,13.6
Taurean Prince,MIL,611.0,16.2,0.055,-0.144,-0.866,0.723,0.723,-3.1,-2.427,0.039,10.5
Elijah Harkless,UTA,545.0,16.2,-0.594,-0.334,-1.057,0.723,0.723,-5.6,-0.737,0.005,9.1
Nolan Traoré,BRK,1243.0,22.8,-3.383,-1.152,-1.879,0.727,0.727,-6.8,-3.395,-0.063,7.9
Rob Dillingham,CHI,644.0,22.7,-2.879,-1.004,-1.732,0.728,0.728,-6.8,-3.154,-0.044,8.5
Kyshawn George,WAS,1391.0,22.8,1.646,0.323,-0.408,0.731,0.731,-1.2,-1.147,0.022,13.8
Cam Christie,LAC,480.0,16.9,-0.954,-0.44,-1.173,0.734,0.734,-4.6,,0.016,9.2
Jaime Jaquez Jr.,MIA,2121.0,22.3,3.276,0.801,0.054,0.747,0.747,0.1,-1.522,0.094,15.7
CJ McCollum,ATL,1182.0,26.9,4.128,1.051,0.288,0.763,0.763,0.9,-0.306,0.082,16.5
A.J. Green,MIL,2270.0,14.0,0.723,0.052,-0.712,0.764,0.764,-3.3,-1.072,0.05,9.4
Chaz Lanier,DET,262.0,15.0,-1.132,-0.492,-1.265,0.773,0.773,-5.1,,0.046,6.6
D'Angelo Russell,DAL,495.0,26.0,0.756,0.062,-0.712,0.774,0.774,-2.3,-1.277,-0.004,12.3
Tristan Da Silva,ORL,1899.0,16.2,2.691,0.63,-0.148,0.777,0.777,-0.6,-0.717,0.084,12.0
Jarrett Allen,CLE,1519.0,19.9,8.656,2.379,1.593,0.787,0.787,2.6,2.134,0.202,22.1
Luke Kennard,LAL,737.0,14.6,2.517,0.579,-0.216,0.795,0.795,-0.4,-2.908,0.118,13.4
Jeremy Sochan,SAS,358.0,14.6,0.829,0.083,-0.719,0.802,0.802,-3.0,-2.423,0.084,9.7
Bez Mbeng,UTA,492.0,11.1,-0.129,-0.198,-1.012,0.814,0.814,-4.9,-2.646,0.047,10.5
Derrick Jones Jr.,LAC,1350.0,15.1,3.647,0.91,0.088,0.822,0.822,-0.7,0.007,0.1,13.3
Jose Alvarado,2TM,1370.0,16.8,2.327,0.523,-0.307,0.83,0.83,-1.0,-1.452,0.077,12.1
Kelly Oubre Jr.,PHI,1574.0,18.2,2.024,0.434,-0.396,0.83,0.83,-1.4,-2.405,0.083,13.0
