player_name,player_id,bpr_new,bpr_old,box_bpr,bpm
Zaccharie Risacher,1642258,-2.616,-3.326,0.468,-2.5
Jaylen Brown,1627759,-2.638,-3.716,3.622,3.3
id=1631351,1631351,-2.64,-3.101,,
GG Jackson,1641713,-2.645,-3.297,-0.391,
Max Strus,1629622,-2.66,-2.571,-2.995,-1.2
id=1642873,1642873,-2.669,-3.454,,
Cole Anthony,1630175,-2.711,-2.954,-2.447,-4.7
Draymond Green,203110,-2.711,-3.151,-0.698,-1.4
id=1642260,1642260,-2.755,-3.583,,
Bruce Brown,1628971,-2.783,-3.545,0.58,-2.4
id=203482,203482,-2.796,-3.638,,
Taelon Peter,1643007,-2.916,-3.134,-2.485,-4.6
Dalton Knecht,1642261,-2.976,-3.337,-1.348,-3.6
Nate Williams,1631466,-3.088,-2.943,-4.018,-5.0
Oscar Tshiebwe,1631131,-3.191,-3.537,-2.127,-1.8
Malik Monk,1628370,-3.282,-3.546,-3.119,-1.3
Domantas Sabonis,1627734,-3.316,-2.909,-5.288,0.6
id=1642380,1642380,-3.383,-3.915,,
id=1642964,1642964,-3.427,-4.356,,
Isaiah Collier,1642268,-3.441,-3.272,-6.586,-2.4
Tyler Herro,1629639,-3.528,-4.486,-0.519,2.0
Alperen Sengun,1630578,-3.597,-4.548,1.779,
Leaky Black,1641778,-3.602,-3.57,-3.167,-5.3
Devin Carter,1642269,-3.629,-4.26,-2.255,-2.6
Andre Drummond,203083,-3.634,-4.689,0.82,-0.6
Nikola Jović,1631107,-3.642,-4.731,-0.252,-3.5
Kam Jones,1642880,-3.657,-3.586,-3.37,-6.2
Kobe Brown,1641738,-3.666,-3.841,-2.298,-2.8
Keegan Murray,1631099,-3.703,-4.311,-2.318,-3.1
Harrison Barnes,203084,-3.757,-5.238,3.806,-0.1
De'Andre Hunter,1629631,-3.839,-3.862,-2.506,-3.4
Caleb Love,1631126,-3.926,-4.165,-2.577,-3.1
RayJ Dennis,1642484,-3.932,-3.784,-4.54,-6.0
Russell Westbrook,201566,-3.941,-4.249,-3.878,-0.4
id=1641723,1641723,-3.951,-5.359,,
Nic Claxton,1629651,-3.974,-4.592,-2.119,0.9
Ben Saraf,1642879,-4.072,-3.978,-3.484,-7.3
Mikal Bridges,1628969,-4.132,-5.949,5.246,2.7
Collin Sexton,1629012,-4.231,-4.28,-3.114,-0.2
Patrick Williams,1630172,-4.378,-4.42,-3.944,-4.5
Jevon Carter,1628975,-4.444,-4.388,-2.932,-1.1
Moritz Wagner,1629021,-4.445,-4.547,-3.595,-2.2
Trae Young,1629027,-4.456,-4.641,-3.029,1.8
Tony Bradley,1628396,-4.516,-4.482,-4.814,-4.1
Gary Harris,203914,-4.611,-5.612,-1.246,-2.5
Elijah Harkless,1641989,-4.641,-5.69,-0.006,-5.6
Tristan Vukcevic,1641774,-4.666,-4.785,-4.515,0.0
Malachi Smith,1641869,-4.676,-4.984,-1.791,-0.8
Rayan Rupert,1641712,-4.737,-4.147,-6.256,-5.1
Jett Howard,1641724,-4.748,-5.193,-1.434,-1.8
Will Riley,1642860,-4.784,-5.057,-4.972,-4.5
Sharife Cooper,1630536,-4.785,-4.975,-3.308,-3.9
Vít Krejčí,1630249,-4.903,-5.354,0.635,-2.4
Andrew Nembhard,1629614,-4.961,-5.862,-2.903,-0.8
Bub Carrington,1642267,-4.972,-4.939,-6.299,-4.7
id=1631174,1631174,-4.975,-6.376,,
Tyson Etienne,1630623,-4.998,-5.215,-2.637,-2.8
Kelly Oubre Jr.,1626162,-5.107,-6.696,-0.189,-1.4
Larry Nance Jr.,1626204,-5.113,-6.135,-1.458,-3.4
Ace Bailey,1642846,-5.257,-5.812,-3.914,-4.4
Jordan Hawkins,1641722,-5.337,-5.779,-4.339,-6.2
Corey Kispert,1630557,-5.564,-6.013,-3.717,-2.3
Cam Thomas,1630560,-5.644,-5.928,-5.399,-5.3
Drew Eubanks,1629234,-5.841,-6.124,-4.834,-3.7
Trendon Watford,1630570,-5.889,-6.481,-3.464,-1.9
Terrence Shannon Jr.,1630545,-5.926,-6.521,-2.26,-3.6
Noah Penda,1642869,-6.207,-7.174,-1.336,-1.5
Chris Paul,101108,-6.223,-6.467,-4.46,-4.2
Khris Middleton,203114,-6.387,-7.132,-3.215,-4.9
Daeqwon Plowden,1631342,-6.693,-7.286,-3.914,-4.4
Cam Whitmore,1641715,-6.817,-6.91,-6.485,-3.3
Anthony Gill,1630264,-7.313,-7.855,-4.433,-2.6
Tre Mann,1630544,-7.385,-7.72,-6.316,-5.3
Drake Powell,1642962,-7.443,-7.981,-5.494,-6.0
Ousmane Dieng,1631172,-7.543,-7.947,-2.767,-4.6
Jahmai Mashack,1642942,-8.613,-8.859,-4.976,-7.0
Jarace Walker,1641716,-8.709,-9.589,-3.943,-2.4
