player_name,player_id,bpr_new,bpr_old,box_bpr,bpm
Quinten Post,1642366,3.85,3.967,2.756,-1.1
Jusuf Nurkić,203994,3.813,5.531,-1.803,1.1
Josh Okogie,1629006,3.812,3.979,3.245,-1.2
Zach Collins,1628380,3.802,3.719,4.307,
Rasheer Fleming,1642853,3.799,3.181,5.457,-3.8
VJ Edgecombe,1642845,3.775,4.435,2.0,-0.5
Tyrese Maxey,1630178,3.774,4.901,2.187,5.4
Cade Cunningham,1630595,3.73,3.543,6.204,6.3
Hugo González,1642864,3.671,3.601,5.946,-1.5
Sam Merrill,1630241,3.57,2.962,5.631,0.1
Aaron Nesmith,1630174,3.531,4.851,-1.39,-3.4
Shaedon Sharpe,1631101,3.505,4.377,-0.533,-1.4
Karlo Matković,1631255,3.485,3.987,0.786,0.7
Ryan Rollins,1631157,3.474,3.586,2.096,0.2
Nikola Vučević,202696,3.456,3.578,3.268,0.2
Yves Missi,1642274,3.424,4.016,1.397,-1.7
Johnny Furphy,1642277,3.403,4.148,0.515,-3.7
Miles Bridges,1628970,3.389,3.622,2.044,1.1
LaMelo Ball,1630163,3.371,3.075,5.092,4.7
Nicolas Batum,201587,3.276,4.188,0.791,-1.0
Kon Knueppel,1642851,3.253,3.539,3.259,2.8
Precious Achiuwa,1630173,3.229,3.674,0.17,-1.6
Simone Fontecchio,1631323,3.222,3.124,3.405,0.5
Landry Shamet,1629013,3.207,2.842,4.389,-0.3
Karl-Anthony Towns,1626157,3.201,3.379,3.966,3.3
Jamaree Bouyea,1631123,3.17,3.596,1.54,-0.4
Terance Mann,1629611,3.127,4.137,-0.717,-3.4
P.J. Washington,1629023,3.118,4.222,-1.373,-1.6
Ryan Dunn,1642346,3.056,3.355,2.594,-0.9
Dennis Schröder,203471,3.032,4.35,-4.31,-2.8
Vince Williams Jr.,1631246,3.022,3.037,3.471,-0.9
Cody Williams,1642262,2.87,4.317,-4.209,-5.5
Tyus Jones,1626145,2.805,3.181,-0.39,-1.7
Spencer Jones,1642461,2.798,3.564,1.449,-2.4
Moussa Cisse,1630619,2.78,2.827,2.757,-2.9
Luguentz Dort,1629652,2.746,2.274,5.322,-2.0
Jaylon Tyson,1642281,2.741,3.039,1.918,0.1
Pelle Larsson,1641796,2.738,3.188,1.306,-1.2
id=203552,203552,2.709,3.597,,
Jakob Poeltl,1627751,2.708,2.64,2.812,1.6
Daniel Gafford,1629655,2.668,3.658,-1.04,0.7
Keldon Johnson,1629640,2.61,2.613,3.914,0.9
Al Horford,201143,2.61,3.025,0.725,1.6
Sion James,1642883,2.605,2.719,1.663,-2.0
De'Anthony Melton,1629001,2.577,2.733,2.303,-2.5
CJ McCollum,203468,2.525,2.439,1.451,0.9
Ryan Nembhard,1642948,2.519,3.179,0.207,-4.1
id=1642352,1642352,2.471,3.244,,
Ron Harper Jr.,1631199,2.464,2.498,2.584,1.1
Obi Toppin,1630167,2.463,2.63,0.519,3.0
Gradey Dick,1641711,2.45,2.522,2.945,-3.6
Austin Reaves,1630559,2.424,2.361,3.189,2.8
Nolan Traore,1642849,2.41,3.823,-3.09,
