player_id,espn_athlete_id,player_name,position,jersey,team_id,team_name,conference,gp,mpg,pts,reb,ast,stl,blk,tov,pf,fg_pct,fg3_pct,ft_pct,fga_pg,fg3a_pg,ftm_pg,fta_pg,oreb_pg,dreb_pg,efg_pct,ts_pct,ast_to,usg_pct,tov_pct,orb_pct,drb_pct,fta_rate,fg3_rate,blk_pct,stl_pct,ast_usg,on_court_secs_pg,on_court_pts_pg,on_court_def_pg,on_court_net_pg,on_court_ortg,on_court_drtg,on_court_net,on_court_efg_pct,on_court_tov_pct,on_court_orb_pct,on_court_ftr,on_court_opp_efg_pct,on_court_opp_tov_pct,on_court_drb_pct,on_court_opp_ftr,on_court_efg_margin,on_court_tov_edge,on_court_reb_edge,on_court_ftr_margin,on_court_ffi,o_mpir,d_mpir,mpir,bpr,obpr,dbpr,box_bpr,box_obpr,box_dbpr,preseason_obpr,preseason_dbpr,prior_mean_obpr,prior_mean_dbpr,prior_sd_obpr,prior_sd_dbpr,off_poss,def_poss,adj_team_off_eff_on,adj_team_def_eff_on,on_court_off_poss,on_court_def_poss,on_court_raw_oe,on_court_raw_de,on_court_adj_o,on_court_adj_d,on_court_adj_em,off_efg_impact,def_efg_impact,off_tov_impact,def_tov_impact,off_orb_impact,def_reb_impact,off_ftr_impact,def_ftr_impact,efg_impact_margin,tov_impact_margin,reb_impact_margin,ftr_impact_margin,four_factor_impact_index,baseline_obpr,baseline_dbpr,obpr_source,dbpr_source,bpr_source,bpr_model_version,bpr_last_updated,updated_at,mv_bpr,mv_minutes_share,mv_marginal_em,mv_marginal_wins,mv_value_low,mv_value_high,mv_pipeline_version,mv_constants_hash,mv_computed_at,proj_recruitment_type,projected_obpr,projected_dbpr,projected_bpr,projected_minutes_share,projection_uncertainty,proj_n_prior_seasons,proj_prior_rapm_used,proj_recruiting_prior_used,proj_classification_reason,projection_version,proj_computed_at,proj_role_bucket,proj_minutes_share_p2,proj_mpg_p2,proj_rotation_rank,proj_minutes_overridden
985,5247250,Drew Robinson,ATH,2,731,Newberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.540721+00:00,Wing,0.311232,12.4493,11,False
980,5247259,Gyterson Louissaint,ATH,21,731,Newberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.540553+00:00,Wing,0.350779,14.0311,6,False
973,5247251,James Lovorn,ATH,4,731,Newberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.498064+00:00,Wing,0.303606,12.1443,12,False
979,5247260,Janyle Pittman,ATH,23,731,Newberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.540520+00:00,Wing,0.358972,14.3589,5,False
975,5247255,Makhi Rivers,ATH,13,731,Newberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.498097+00:00,Wing,0.296075,11.843,13,False
977,4708350,Malakhi Stremlow,C,,731,Newberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,1,False,False,no_prior_season,1.1,2026-04-16 21:45:50.498163+00:00,Big,0.378175,15.127,1,False
987,4708352,Malik Joseph,G,22,731,Newberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.540787+00:00,G,0.374589,14.9836,3,False
984,5247252,Olyn Knox,ATH,10,731,Newberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.540688+00:00,Wing,0.318952,12.7581,10,False
981,5247258,Reggie Abram,ATH,20,731,Newberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.540585+00:00,Wing,0.34268,13.7072,7,False
982,5247257,Tre Lawerence,ATH,15,731,Newberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newcomer,0.6,0.6,1.2,0.2596,1.0,0,False,False,no_prior_season,1.1,2026-04-16 21:45:50.540618+00:00,Wing,0.334676,13.3871,8,False
