season,half_life,label,is_baseline,n,brier,logloss,win_acc,margin_mae,retro_r2,retro_rmse_wins,retro_n,team_rmse,team_r2,elapsed_s
2022,,hl=None,True,613,0.22651417249242423,0.6440352852957625,0.6264274061990212,11.816136340992095,0.9027101161777936,3.547227787207736,30,1.8685858617233877,0.8473718587994987,0.11
2022,30.0,hl=30d,False,613,0.23016710589134695,0.6525114055276457,0.6166394779771615,11.87847295276613,0.7205995356453683,6.011305464694479,30,2.2457569256997822,0.7795378728357159,0.02
2022,60.0,hl=60d,False,613,0.22457078591053925,0.6400377064114593,0.6296900489396411,11.684629021785785,0.818534656636719,4.84453483232921,30,1.92630034857353,0.837797888082195,0.02
2022,90.0,hl=90d,False,613,0.2246888880306524,0.6401368630020874,0.6296900489396411,11.705836087569985,0.8538530827684798,4.3476048534731495,30,1.8602516322765164,0.848730320527857,0.02
2023,,hl=None,True,613,0.23304770502178482,0.6573327990509946,0.5921696574225123,10.582401536929883,0.8897763064469159,3.2720627694350406,30,2.3900229971058904,0.6332420301420094,0.02
2023,30.0,hl=30d,False,613,0.2370335613752554,0.6666014156447888,0.6084828711256117,10.88487400763591,0.8034535250438526,4.369349410084655,30,2.2034163523904664,0.6882772227875327,0.02
2023,60.0,hl=60d,False,613,0.23334894659681069,0.6583558588900954,0.5938009787928222,10.665446790371162,0.8762470730414536,3.4670642199474964,30,2.2171405415827397,0.6843819391980097,0.02
2023,90.0,hl=90d,False,613,0.23305484471041257,0.6575541329554885,0.5921696574225123,10.62134665206018,0.8905217315339111,3.26097978277584,30,2.2841631411492367,0.665011700039783,0.02
2024,,hl=None,True,611,0.218327943443779,0.6250318678780996,0.6366612111292962,11.54484281801257,0.9547513485457695,2.8048586772792805,30,2.0272004593351434,0.8623559425389302,0.02
2024,30.0,hl=30d,False,611,0.23163942773224525,0.6552498748499748,0.618657937806874,12.103258171164596,0.8460785767338193,5.173181302823241,30,2.1331877030768607,0.8475869277769601,0.02
2024,60.0,hl=60d,False,611,0.22225517065237985,0.6341465343634732,0.618657937806874,11.667191622498967,0.9146720138811645,3.8517129332105657,30,1.8875731669333307,0.8806639484765995,0.02
2024,90.0,hl=90d,False,611,0.220540542279073,0.6301065219657908,0.6202945990180033,11.606416299920784,0.933950539782882,3.388775513822496,30,1.8881034382169435,0.880596889492136,0.02
2025,,hl=None,True,613,0.2161157276219692,0.6196131516742537,0.6508972267536705,11.729184474546647,0.9685504800816184,2.328496775589136,30,1.4259228394188932,0.9414586217923899,0.02
2025,30.0,hl=30d,False,613,0.2268196405263597,0.6454154606991374,0.6443719412724307,12.181826768023571,0.8941903556709534,4.271016586519845,30,2.056157915436805,0.8782738674650802,0.02
2025,60.0,hl=60d,False,613,0.21846876988245145,0.6260261124695512,0.6508972267536705,11.827328600027819,0.9498602162123961,2.940084815950537,30,1.5469274632031982,0.9311013374643048,0.02
2025,90.0,hl=90d,False,613,0.21725576701013447,0.6228116540441118,0.6508972267536705,11.7735109819837,0.9634171972713547,2.5113492768666124,30,1.422687180629297,0.9417240008253714,0.02
2026,,hl=None,True,613,0.20184423281376798,0.5921497748816801,0.7128874388254486,12.324057479928618,0.9505935469834327,3.0254534969492926,30,1.6333381313210515,0.9286215074590561,0.02
2026,30.0,hl=30d,False,613,0.22396919304593213,0.6402005404326486,0.6721044045676998,13.2410711086351,0.8764932065791019,4.783481151606891,30,1.7782560073175888,0.9153934982272176,0.02
2026,60.0,hl=60d,False,613,0.20861958891450733,0.6075873551420139,0.6965742251223491,12.610749603599688,0.9158868106091045,3.9475777663211713,30,1.4594018087148992,0.9430144256352637,0.02
2026,90.0,hl=90d,False,613,0.205300854519439,0.6001904137278277,0.6982055464926591,12.476522970285624,0.9303025186054613,3.5934134263994997,30,1.4320015351536768,0.9451341468547689,0.02
