player_name,RAPTOR_O,RAPTOR_D,RAPTOR_total,RAPTOR_WAR,RAPTOR_season,minutes_raptor
Aaron Gordon,0.5783956018546834,-0.2149534172947878,0.3634421845598956,4.044390443347138,2022.0,2536
Aaron Holiday,-0.2073781878078934,0.0637788589206101,-0.1435993288872832,1.356214928418125,2022.0,1041
Aaron Nesmith,-2.376423867221802,0.8461268145992294,-1.530297052622573,0.3968237115423788,2022.0,626
Aaron Wiggins,-1.846780241807005,-1.70019739653839,-3.546977638345396,-0.4926739599460012,2022.0,1209
Admiral Schofield,-3.046454804984897,-1.127393226342819,-4.173848031327716,-0.3410275397310632,2022.0,469
Al Horford,0.5864860387681804,3.734354409052149,4.320840447820328,10.21464114681412,2022.0,2820
Alec Burks,1.071192010927976,1.441834460335748,2.513026471263724,6.171371348002278,2022.0,2318
Aleksej Pokusevski,-2.860222051789934,-0.0404859539686962,-2.90070800575863,-0.0952975338455296,2022.0,1233
Alex Caruso,0.3558373487414026,4.99196567586589,5.347803024607293,5.224073629250333,2022.0,1260
Alex Len,-4.08148562098982,-1.285341504804893,-5.366827125794714,-0.8309832690232093,2022.0,620
Alfonzo McKinnie,-3.474896722584667,-7.987640543764364,-11.46253726634903,-0.9079194737308088,2022.0,206
Alperen Sengun,-1.041047916349825,-1.267561226168891,-2.308609142518715,0.3380489998426505,2022.0,1489
Amir Coffey,0.2640000984713636,-0.8756104162968903,-0.6116103178255268,1.706179834111542,2022.0,1567
Andre Drummond,-0.4457012380081863,2.351629895373545,1.905928657365359,3.575293785909486,2022.0,1497
Andre Iguodala,-0.4373885564600262,4.42854734703532,3.991158790575294,2.259532103430522,2022.0,664
Andrew Wiggins,0.2174240002378312,1.919715523130979,2.13713952336881,7.84809670593334,2022.0,3096
Anfernee Simons,2.198466348212582,-2.466859059756144,-0.2683927115435614,2.106373426244423,2022.0,1681
Anthony Davis,-0.3353375197857075,2.790039870832506,2.454702351046799,3.734707536481999,2022.0,1404
Anthony Edwards,1.753872340768291,0.0494733976711426,1.803345738439433,6.288867954558095,2022.0,2693
Anthony Gill,0.5066180945583751,-0.565344070724061,-0.0587259761656859,0.6353433941807737,2022.0,463
Armoni Brooks,-0.8364699737982408,-1.967729175897352,-2.804199149695592,-0.003935653797226,2022.0,852
Austin Reaves,0.0019510372331587,1.685455645037753,1.687406682270912,3.200876531075183,2022.0,1418
Austin Rivers,-1.810428976197241,-1.074738879888866,-2.885167856086106,-0.0936271085919497,2022.0,1588
Avery Bradley,-2.816716113867659,-0.9793169704781732,-3.796033084345833,-0.7483551862214856,2022.0,1406
Ayo Dosunmu,-1.608283994090352,-1.943165851000926,-3.551449845091279,-0.8994633315827839,2022.0,2196
Bam Adebayo,0.0070846219723953,3.848342284714114,3.855426906686509,8.275218537607781,2022.0,2439
Ben McLemore,-1.583770647893091,-3.287460931955494,-4.871231579848585,-1.398517874509892,2022.0,1285
Bismack Biyombo,-2.005734161938482,0.0129079103279734,-1.992826251610508,0.2234388003723239,2022.0,592
Blake Griffin,-1.161143826512326,4.033566437949657,2.872422611437332,2.886425763323839,2022.0,983
Bobby Portis,0.4319068947114357,1.609143822630103,2.041050717341538,5.701031002326192,2022.0,2326
Bogdan Bogdanovic,2.849609390852585,-0.6072518708367716,2.242357520015813,4.977680781926486,2022.0,1955
Bojan Bogdanovic,0.2843625675796899,-2.440703746135238,-2.156341178555548,0.7105667930152528,2022.0,2345
Bones Hyland,2.329491667826103,-1.551328859287787,0.7781628085383155,2.508231469464866,2022.0,1397
Brad Wanamaker,-3.249253405780945,-2.082854057467296,-5.33210746324824,-0.4173559568631756,2022.0,320
Bradley Beal,1.065695722855682,0.6023012111534801,1.667996934009162,3.264921882632839,2022.0,1439
Brandon Boston Jr.,-2.541980394815974,-0.7819978578775947,-3.323978252693569,-0.2229289160616695,2022.0,760
Brandon Clarke,1.320345725749703,1.692370387263697,3.012716113013401,4.571634757214357,2022.0,1542
Brandon Goodwin,-1.645950785990533,-0.1300652026569063,-1.776015988647439,0.2469178699556041,2022.0,502
Brandon Ingram,2.012756378353889,-1.204599457209661,0.8081569211442284,3.862957465791458,2022.0,2105
Brandon Williams,-2.843967563565412,-1.79422891685589,-4.638196480421303,-0.6204394096204521,2022.0,640
Brook Lopez,-3.101666366670631,4.076600144170926,0.974933777500294,1.202164793779381,2022.0,630
Bruce Brown,0.3392336266484811,0.3188316669866088,0.6580652936350899,3.301152856179081,2022.0,1913
Bryn Forbes,-0.1328543837875495,-3.487081740064125,-3.619936123851674,-0.6031457076906572,2022.0,1362
Buddy Hield,1.342456691152994,-1.133496220587963,0.2089604705650309,3.786037577976265,2022.0,2499
CJ Elleby,-3.138139691659022,-2.268927308149486,-5.407066999808508,-1.597882438228176,2022.0,1174
CJ McCollum,3.114891569989156,-0.5767310270561044,2.538160542933052,6.426310313672358,2022.0,2379
Cade Cunningham,-1.24442639428296,-0.4321275333573881,-1.676553927640348,1.151160650886816,2022.0,2088
Caleb Martin,-0.4613159212973387,2.548549610957396,2.087233689660057,3.893537712838759,2022.0,1581
Cam Reddish,-2.737139425541852,-0.7147890720273867,-3.451928497569239,-0.3657121787297347,2022.0,1012
Cam Thomas,-1.670792387675795,-2.500382117950751,-4.171174505626545,-0.857038016717802,2022.0,1176
Cameron Johnson,1.0157528318054,1.7331414554126,2.748894287217999,5.785034015444896,2022.0,2050
Cameron Payne,-0.6152984146019456,0.7413935079332581,0.1260950933313124,2.091567098836076,2022.0,1450
Caris LeVert,0.9822381674617152,-1.836573139215651,-0.8543349717539355,1.70618065419993,2022.0,1781
Carmelo Anthony,0.1247096331372579,-1.801803438296084,-1.677093805158826,0.9805771759766458,2022.0,1793
Cedi Osman,-0.6134748967864974,-1.217436279034833,-1.83091117582133,0.6873129184710437,2022.0,1462
Chimezie Metu,-3.347492554220366,0.089664201722492,-3.257828352497874,-0.3315932417823356,2022.0,1279
Chris Boucher,0.0643292428891438,0.9117902246755156,0.9761194675646592,3.476779178116669,2022.0,1820
Chris Chiozza,-4.626813078583341,-1.577669233780356,-6.204482312363698,-0.6533788232405018,2022.0,372
Chris Duarte,-0.7640839204904369,0.9542038684870252,0.1901199479965884,2.3112612030399,2022.0,1541
Chris Paul,4.359841174292205,-0.3399226299264876,4.019918544365717,8.984512344550273,2022.0,2587
Christian Wood,-0.8031819151300832,-1.237441263932793,-2.040623179062877,0.7613970528468598,2022.0,2094
Chuma Okeke,-3.560045586670975,1.078517897667688,-2.481527689003288,0.2406398688739509,2022.0,1749
Clint Capela,0.5914621540388821,2.062167468683699,2.653629622722581,5.70626355086496,2022.0,2082
Coby White,0.2829614827793058,-2.349884001541997,-2.066922518762691,0.6130795202129118,2022.0,1773
Cody Martin,0.3198418259058478,0.9464651494663884,1.266306975372236,3.793804589039835,2022.0,1866
Cody Zeller,-0.2224456828394046,-3.226755981455233,-3.449201664294637,-0.1270352122146332,2022.0,355
Cole Anthony,-0.1238523394274876,-1.959666521370462,-2.08351886079795,0.6991643180040022,2022.0,2059
Collin Sexton,-2.907188611888567,-0.0930821463415502,-3.000270758230117,-0.0405885948578658,2022.0,316
Corey Kispert,0.078097049877326,-2.11489417954881,-2.036797129671484,0.650804965110327,2022.0,1801
Cory Joseph,-0.3972047300095166,-0.1260154983306293,-0.5232202283401459,1.799029928863713,2022.0,1600
D'Angelo Russell,2.345835439237744,-0.7901475050506772,1.555687934187066,5.037722240296788,2022.0,2273
D.J. Augustin,-1.517652038712072,-5.672597528952269,-7.190249567664341,-1.992845831618175,2022.0,883
Daishen Nix,-3.215696139759614,-3.245395066336492,-6.461091206096106,-0.5012472212277012,2022.0,261
Dalano Banton,-2.711765240439261,0.1952549173632254,-2.516510323076036,0.0827199263159973,2022.0,704
Damian Jones,-1.022503345259399,-1.514897226397272,-2.53740057165667,0.1104253235135546,2022.0,1017
Damian Lillard,4.151001963870526,-1.62016179842412,2.530840165446405,2.866409561119356,2022.0,1056
Damion Lee,-2.363627476968881,0.0819070905652529,-2.281720386403629,0.3284589866470955,2022.0,1380
Daniel Gafford,0.3695159135643342,-0.6782600624247334,-0.3087441488603992,1.795111507910193,2022.0,1444
Daniel Theis,-3.420928082306625,0.7390922971908085,-2.681835785115818,0.0621670632936335,2022.0,1177
Danilo Gallinari,1.155456295424759,-2.230664730478419,-1.075208435053659,1.486611788575353,2022.0,1784
Danny Green,-0.2485773813554754,1.334798771057943,1.086221389702468,3.308754824466498,2022.0,1672
Danuel House Jr.,-1.951437908277996,0.6791488265565006,-1.272289081721495,0.6855453336735002,2022.0,839
Darius Bazley,-3.6337691649424,-0.7608462760440569,-4.394615440986457,-1.613204802789284,2022.0,1924
Darius Garland,4.769545938282755,-0.2683262330130634,4.501219705269692,8.991338374807288,2022.0,2430
David Duke Jr.,-1.599431606964084,-1.643254192765416,-3.242685799729499,-0.0857822912508679,2022.0,341
David Nwaba,0.4708237347867936,-0.0431113911728851,0.4277123436139085,0.9908298040523468,2022.0,609
Davion Mitchell,-1.609627040520358,0.3963832401848648,-1.213243800335493,1.616975837734941,2022.0,2076
Davis Bertans,-0.4516233555690274,-0.8510028191087452,-1.302626174677773,0.7655432786681702,2022.0,999
Davon Reed,-0.2654184718011396,0.1045942001746114,-0.1608242716265283,0.8737638878658956,2022.0,668
Day'Ron Sharpe,0.9960908994695478,0.9673538931138264,1.963444792583374,0.940917677691306,2022.0,391
De'Aaron Fox,1.87664114301046,-2.600854933602201,-0.7242137905917412,2.170253132511339,2022.0,2083
De'Andre Hunter,-1.890694509829968,-0.2413190620501584,-2.132013571880127,0.5497708090721678,2022.0,1752
De'Anthony Melton,0.1701831851749716,1.944413926617905,2.114597111792876,4.601709626763538,2022.0,1827
DeAndre Jordan,-3.768812607943702,-2.119151087278924,-5.887963695222626,-1.075287747310423,2022.0,653
DeAndre' Bembry,-0.8406795236275677,0.8958442822871703,0.0551647586596025,1.46802937307128,2022.0,1026
DeMar DeRozan,3.646072399632827,-2.277408933836579,1.368663465796248,6.185912524225429,2022.0,2946
DeMarcus Cousins,0.7331331222487271,2.03706375299583,2.770196875244557,2.237431334481337,2022.0,775
Dean Wade,-1.162963221397727,1.881636534626606,0.7186733132288792,1.719902575925412,2022.0,980
Deandre Ayton,-0.2402889739570676,1.12105891803172,0.8807699440746528,3.961705015981513,2022.0,2110
Dejounte Murray,3.052433200127095,-0.0465579387490156,3.00587526137808,6.978321120374634,2022.0,2366
Delon Wright,-0.2547511620299737,2.544225362262006,2.289474200232032,4.07124251452159,2022.0,1589
Deni Avdija,-0.9145353162525448,2.02555564164735,1.111020325394805,3.914351013351983,2022.0,1984
Dennis Schroder,-2.006738409140725,-0.8705952746184709,-2.877333683759195,-0.1172756960665642,2022.0,1837
Dennis Smith Jr.,-2.464668101939113,0.3495795820562856,-2.115088519882828,0.2064784347629862,2022.0,638
Denzel Valentine,-2.582889828316649,0.898260433284079,-1.68462939503257,0.1177490991493068,2022.0,222
Derrick Favors,-3.663269290556877,1.934022452612076,-1.729246837944802,0.3363670375794705,2022.0,653
Derrick Jones Jr.,-0.5130639853229653,0.2421695552536163,-0.270894430069349,1.203098479407912,2022.0,958
Derrick Rose,2.142145455465315,3.380465548392019,5.522611003857334,2.664794779007524,2022.0,636
Derrick White,0.3584597625405595,3.106443605257851,3.46490336779841,8.849230058107407,2022.0,2784
Desmond Bane,3.093926907260301,0.9340498046747177,4.027976711935018,9.345490071032632,2022.0,2694
Devin Booker,4.125160599972873,-0.0190352632353426,4.10612533673753,9.53197864054792,2022.0,2711
Devin Vassell,-0.2244902312864553,-0.5648496456636237,-0.789339876950079,1.941820379383058,2022.0,1937
Devonte' Graham,0.9312915322545058,-1.577517948841868,-0.6462264165873621,2.378497927276582,2022.0,2222
