team_abbr,source_adj_em,bpr_aggregate_off,bpr_aggregate_def,bpr_combined_signal,proj_adj_em,actual_adj_em,pipeline_error,persistence_error,n_players,outlier
CHA,-10.46,1.292,-0.055,-8.046,-9.74,1.12,-10.85,-11.57,23,
HOU,2.46,3.876,11.348,5.942,2.01,-8.56,10.57,11.02,16,
DEN,-8.76,12.192,-0.504,2.406,-0.96,-10.05,9.09,1.29,15,
MIN,-4.78,4.005,7.809,2.531,-0.85,-9.53,8.68,4.75,14,
DAL,-1.7,8.38,6.502,5.6,1.73,-6.45,8.18,4.75,22,
NYK,1.36,5.707,3.196,-0.38,-3.3,4.62,-7.91,-3.25,16,
IND,0.95,7.116,5.458,3.291,-0.21,-7.96,7.75,8.91,17,
BOS,-3.33,9.808,4.746,5.271,1.45,-6.21,7.67,2.88,17,
SAS,-3.18,4.198,4.542,-0.542,-3.43,3.53,-6.96,-6.71,19,
PHX,-3.17,3.831,1.425,-4.027,-6.36,0.22,-6.58,-3.38,18,
TOR,-5.28,3.457,3.352,-2.474,-5.05,1.23,-6.29,-6.51,20,
SAC,-0.76,6.7,1.906,-0.676,-3.54,-9.55,6.01,8.79,20,
PHI,-7.11,3.207,1.311,-4.765,-6.98,-1.04,-5.94,-6.08,24,
MIL,1.02,7.754,3.741,2.213,-1.12,-7.04,5.92,8.06,20,
MIA,-15.39,3.526,3.942,-1.814,-4.5,1.0,-5.5,-16.39,19,
POR,-4.63,-0.591,4.149,-5.725,-7.79,-2.41,-5.37,-2.21,17,
UTA,-9.88,5.472,3.412,-0.399,-3.31,-8.55,5.24,-1.33,19,
BKN,-7.71,0.998,4.675,-3.61,-6.01,-10.75,4.75,3.04,20,
MEM,-10.67,4.689,5.339,0.745,-2.35,-6.99,4.64,-3.68,18,
DET,0.43,4.214,4.928,-0.141,-3.09,-6.65,3.56,7.08,17,
ATL,-2.01,7.032,2.675,0.425,-2.62,0.64,-3.26,-2.65,20,
LAC,-5.29,7.43,8.965,7.112,3.0,0.13,2.87,-5.42,19,
NOP,-8.99,3.344,0.588,-5.35,-7.47,-5.15,-2.32,-3.84,22,
LAL,0.79,6.997,4.089,1.803,-1.46,0.76,-2.22,0.04,21,
WAS,-12.54,2.206,-1.135,-8.212,-9.87,-11.85,1.97,-0.69,22,
CHI,-2.16,6.609,1.745,-0.929,-3.76,-5.68,1.92,3.51,17,
ORL,-2.06,-0.826,10.473,0.364,-2.67,-1.27,-1.4,-0.79,17,
CLE,7.63,9.54,4.501,4.758,1.02,2.41,-1.39,5.21,19,
OKC,-0.96,4.382,8.527,3.627,0.07,1.11,-1.04,-2.07,17,
GSW,-7.26,5.909,4.374,1.0,-2.14,-1.65,-0.49,-5.62,19,
