date,year,month,day,rank,team_name,team_name_normalized,conference,games,record,adj_oe,adj_de,barthag,adj_tempo,wab,efg_pct,efg_pct_d,tor,tord,orb,drb,ftr,ftrd,two_p_pct,two_p_pct_d,three_p_pct,three_p_pct_d,three_pr,three_prd
2026-02-16,2026,2,16,205,Queens,Queens,ASun,27.0,15-12,114.092,117.3324,0.4179205,69.28,-6.7172,56.423,55.0322,15.269,15.1289,31.615,32.8286,34.221,40.2298,59.314,54.6289,35.586,37.1334,47.132,40.2194
2026-02-16,2026,2,16,206,New Orleans,New Orleans,Slnd,26.0,11-15,109.8151,113.1267,0.4162206,69.859,-8.5227,50.2221,49.694,20.9351,14.7311,34.758,34.6327,45.55,40.1296,50.3233,49.794,33.321,33.0131,33.9295,40.4207
2026-02-16,2026,2,16,207,Indiana St.,Indiana St.,MVC,27.0,10-17,107.1203,110.4212,0.4135207,68.1136,-12.2303,52.9107,50.3126,18.7293,15.0297,25.8329,32.5275,29.4322,28.839,58.026,51.5172,31.1312,31.864,45.068,33.621
2026-02-16,2026,2,16,208,Buffalo,Buffalo,MAC,25.0,15-10,112.0117,115.4302,0.4128208,66.3235,-7.0178,55.635,54.0286,16.3139,17.6132,28.027,31.0187,40.953,30.977,54.383,56.5328,38.213,33.8169,45.746,42.9292
2026-02-16,2026,2,16,209,Weber St.,Weber St.,BSky,27.0,13-14,110.0144,113.5273,0.4096209,68.5116,-9.5245,51.318,54.53,15.8102,16.8178,31.9141,27.96,40.854,37.4243,50.9212,57.234,34.9117,33.5155,33.1314,39.0164
2026-02-16,2026,2,16,210,Drexel,Drexel,CAA,26.0,13-13,102.8276,106.4124,0.403721,64.1331,-10.025,50.8198,47.537,18.7293,16.8178,31.0166,31.2196,30.0313,37.1236,49.4265,48.05,35.396,31.044,40.3164,34.23
2026-02-16,2026,2,16,211,La Salle,La Salle,A10,25.0,7-18,104.4251,108.2165,0.4000211,64.7315,-11.4284,45.4353,54.6306,18.5284,17.1156,33.293,31.8228,36.3161,30.362,46.0341,54.1276,29.3348,36.8327,30.5348,43.1294
2026-02-16,2026,2,16,212,Lipscomb,Lipscomb,ASun,27.0,16-11,106.7212,110.6216,0.3977212,70.051,-6.2159,53.872,53.3266,16.3139,18.21,26.3317,29.9145,27.0347,30.772,53.5109,54.0273,36.163,34.9227,46.735,40.7222
2026-02-16,2026,2,16,213,Stony Brook,Stony Brook,CAA,26.0,15-11,104.7245,108.6174,0.3976213,65.3286,-7.6195,50.4214,49.694,17.0184,16.5199,28.4254,31.9235,28.9329,33.6132,48.3294,48.255,35.396,34.6214,45.65,39.2168
2026-02-16,2026,2,16,214,South Dakota St.,South Dakota St.,Sum,27.0,12-15,107.1201,111.1226,0.3966214,67.3183,-10.526,52.3139,51.318,16.1123,15.5266,29.3227,27.241,30.3306,33.3124,53.5109,52.1205,33.5203,33.616,38.7201,47.2355
