rank,player_name,position,position_group,confidence_tier,college,draft_age,bpm_college,ts_pct,per,dbpm,obpm,ws_40,fg_pct,stl_pg,blk_pg,orb_pct,ast_pct,pts_pg,trb_pg,ast_pg,program_srs,mps_composite,srs_adj,games_played,games_played_pct,avail_modifier,age_penalty,height_floor_pen,combine_penalty,scout_adj,editorial_bump,mps,grade,tankathon_rank,withdrew,note,comp1_name,comp1_year,comp1_pick,comp1_sim,comp2_name,comp2_year,comp2_pick,comp2_sim
11,Labaron Philon,PG,guard,full,Alabama,20.58,11.3,0.626,25.9,2.1,9.2,0.196,0.501,1.2,0.2,1.9,31.9,22.0,3.5,5.0,23.03,57.0,3.3,33.0,1.0,0.0,2.0,0.0,0.0,5.2,8.0,75.5,D,11.0,False,Youth bonus +2.0; Scout tier adj +5.2 (Tank #11),Dejounte Murray,2016.0,29.0,,Jalen Brunson,2018.0,33.0,97.0
12,Nate Ament,SF,wing,full,Tennessee,19.53,8.4,0.534,20.4,3.3,5.1,0.177,0.399,1.0,0.6,6.7,14.8,16.7,6.3,2.3,21.97,46.1,3.1,35.0,1.061,0.0,5.0,0.0,0.0,5.2,15.5,75.0,D,10.0,False,Youth bonus +5.0; Scout tier adj +5.2 (Tank #10); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model,Harrison Barnes,2012.0,7.0,,Jayson Tatum,2017.0,3.0,97.0
13,Mikel Brown Jr.,PG,guard,full,Louisville,20.22,6.6,0.577,20.5,1.7,4.9,0.17,0.41,1.2,0.1,0.2,30.3,18.2,3.3,4.7,22.44,45.4,3.2,21.0,0.636,-1.6,2.0,0.0,0.0,5.2,20.0,74.2,D,9.0,False,Availability: 64% GP (21/33g); Youth bonus +2.0; Scout tier adj +5.2 (Tank #9),D'Angelo Russell,2015.0,2.0,,Tyshawn Taylor,2012.0,41.0,97.0
14,Jayden Quaintance,PF,big,full,Kentucky,18.95,6.5,0.536,18.6,4.9,1.7,0.107,0.525,1.1,2.6,11.8,10.6,9.4,7.9,1.5,29.78,52.3,4.3,24.0,0.727,0.0,7.0,0.0,0.0,3.6,0.0,67.2,D,21.0,False,Stats from 2024-25 ASU (24 GP) — 2025-26 Kentucky = 4 games only (ACL setback); Youth bonus +7.0; Scout tier adj +3.6 (Tank #21); Stats: partial manual override (BPM from BBRef),Chris McCullough,2015.0,29.0,96.0,Nic Claxton,2019.0,31.0,96.0
15,Ebuka Okorie,PG,guard,full,Stanford,19.2,10.6,0.589,26.5,2.2,8.4,0.21,0.465,1.6,0.3,2.4,23.9,23.2,3.6,3.6,11.92,55.5,1.7,31.0,0.939,0.0,7.0,0.0,0.0,3.6,-4.0,63.8,D,27.0,False,Youth bonus +7.0; Scout tier adj +3.6 (Tank #27); Model #15 vs Tankathon #27 (12 spots below consensus),Dennis Schroder,2013.0,17.0,,Erick Green,2013.0,46.0,96.0
16,Dailyn Swain,SF,wing,full,Texas,20.94,10.5,0.636,25.0,3.6,6.9,0.19,0.542,1.6,0.3,6.2,21.0,17.3,7.5,3.6,16.82,57.7,2.4,36.0,1.091,0.0,2.0,0.0,0.0,3.6,-2.0,63.7,D,23.0,False,Youth bonus +2.0; Scout tier adj +3.6 (Tank #23); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model,Herb Jones,2021.0,35.0,,Reggie Bullock,2013.0,25.0,97.0
17,Tarris Reed Jr.,C,big,full,UConn,22.56,12.9,0.614,28.8,6.1,6.7,0.238,0.607,0.9,2.0,14.2,17.8,14.7,9.0,2.3,23.42,67.5,3.3,35.0,1.061,0.0,-3.7,0.0,0.0,1.6,-5.0,63.7,D,33.0,False,Age penalty -3.7 (22.6y); Scout tier adj +1.6 (Tank #33); Model #17 vs Tankathon #33 (16 spots below consensus),Day'Ron Sharpe,2021.0,29.0,,Xavier Tillman Sr.,2020.0,35.0,97.0
18,Koa Peat,PF,big,full,Arizona,19.42,8.8,0.557,20.5,3.9,4.8,0.184,0.528,0.6,0.7,9.1,16.7,14.1,5.6,2.6,29.78,50.8,4.3,36.0,1.091,0.0,7.0,0.0,0.0,3.6,-2.0,63.6,D,19.0,False,Youth bonus +7.0; Scout tier adj +3.6 (Tank #19),Rui Hachimura,2019.0,9.0,,Justise Winslow,2015.0,10.0,97.0
19,Allen Graves,PF,big,full,Santa Clara,19.9,13.4,0.613,29.6,4.7,8.7,0.268,0.512,1.9,0.9,,,11.8,6.5,1.8,21.36,62.6,3.1,35.0,1.061,0.0,5.0,0.0,0.0,3.6,-11.0,63.3,D,25.0,False,Youth bonus +5.0; Scout tier adj +3.6 (Tank #25); Stats: partial manual override (BPM from BBRef),Boris Diaw,2003.0,21.0,,Tari Eason,2022.0,17.0,96.0
20,Joshua Jefferson,PF,big,full,Iowa State,22.81,13.0,0.56,24.4,6.1,7.0,0.225,0.471,1.6,0.8,7.2,27.7,16.4,7.4,4.8,19.2,61.5,2.7,35.0,1.061,0.0,-4.6,0.0,0.0,3.6,0.0,63.3,D,28.0,False,Age penalty -4.6 (22.8y); Scout tier adj +3.6 (Tank #28),Kyle Anderson,2014.0,30.0,,Draymond Green,2012.0,35.0,96.0
21,Hannes Steinbach,PF,big,full,Washington,20.15,10.1,0.636,28.0,2.4,7.7,0.216,0.577,1.1,1.2,14.3,9.1,18.5,11.8,1.6,13.88,61.0,2.0,30.0,0.909,0.0,2.0,0.0,0.0,5.2,-7.0,63.2,D,14.0,False,Youth bonus +2.0; Scout tier adj +5.2 (Tank #14),Zach Collins,2017.0,10.0,,Nikola Vučević,2011.0,16.0,96.0
22,Morez Johnson Jr.,PF,big,full,Michigan,20.41,11.8,0.677,25.2,5.4,6.4,0.243,0.623,0.7,1.1,12.8,8.4,13.1,7.3,1.2,32.92,62.8,4.7,40.0,1.212,0.0,2.0,0.0,0.0,3.6,-10.0,63.1,D,17.0,False,Youth bonus +2.0; Scout tier adj +3.6 (Tank #17),Isaiah Stewart,2020.0,16.0,,Wendell Carter Jr.,2018.0,7.0,96.0
23,Zuby Ejiofor,PF,big,full,St. John's,22.06,14.5,0.609,27.7,6.0,8.5,0.238,0.536,1.2,2.1,12.1,23.0,16.3,7.3,3.5,22.65,67.2,3.2,37.0,1.121,0.0,-2.0,0.0,0.0,1.6,-7.0,63.1,D,36.0,False,Age penalty -2.0 (22.1y); Scout tier adj +1.6 (Tank #36); Model #23 vs Tankathon #36 (13 spots below consensus),Jonathan Mogbo,2024.0,27.0,,Evan Mobley,2021.0,3.0,96.0
24,Karim Lopez,SF,wing,medium,International,19.2,,0.58,17.5,,,,0.494,1.2,1.0,,,11.9,6.1,1.9,,50.9,0.0,30.0,,0.0,7.0,0.0,0.0,,,62.9,D,13.0,False,"INTL PARTIAL — 9 features (medium), no CBB data; treat as directional; International (Real Madrid, Spain) — BPM unavailable; MPS based on available box stats only. Likely underrated.; Model #24 vs Tankathon #13 (11 spots above consensus)",Michael Kidd-Gilchrist,2012.0,2.0,97.0,Keldon Johnson,2019.0,29.0,97.0
25,Ugonna Onyenso,C,big,full,Virginia,21.74,12.2,0.616,25.6,7.6,4.7,0.209,0.568,0.6,2.9,9.8,5.8,6.5,4.9,0.6,20.61,61.2,2.9,36.0,1.091,0.0,-0.8,0.0,0.0,1.6,-2.0,62.9,D,40.0,False,Age penalty -0.8 (21.7y); Scout tier adj +1.6 (Tank #40); Model #25 vs Tankathon #40 (15 spots below consensus),Christian Koloko,2022.0,33.0,,Willie Cauley-Stein,2015.0,6.0,96.0
26,Bruce Thornton,PG,guard,full,Ohio State,22.06,12.7,0.665,25.9,3.2,9.5,0.229,0.554,1.1,0.2,3.3,21.9,19.9,5.1,3.9,-4.96,62.8,-0.7,34.0,1.03,0.0,-2.0,0.0,0.0,1.6,0.0,61.8,D,47.0,False,Age penalty -2.0 (22.1y); Scout tier adj +1.6 (Tank #47); Model #26 vs Tankathon #47 (21 spots below consensus),KJ Simpson,2024.0,33.0,,Frank Mason III,2017.0,34.0,96.0
27,Maliq Brown,SF,wing,full,Duke,22.81,11.6,0.634,19.0,8.9,2.6,0.197,0.629,1.8,0.6,11.8,13.4,4.9,5.2,1.6,30.15,60.2,4.3,38.0,1.152,0.0,-4.6,0.0,0.0,1.6,0.0,61.5,D,56.0,False,Age penalty -4.6 (22.8y); Scout tier adj +1.6 (Tank #56); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model; Model #27 vs Tankathon #56 (29 spots below consensus),Anton Watson,2023.0,38.0,,Franz Wagner,2021.0,8.0,92.0
28,Henri Veesaar,C,big,full,North Carolina,22.24,10.7,0.664,25.4,3.8,7.0,0.209,0.608,0.6,1.2,8.1,13.6,17.0,8.7,2.1,18.55,59.4,2.7,31.0,0.939,0.0,-2.6,0.0,0.0,1.6,0.0,61.0,D,32.0,False,Age penalty -2.6 (22.2y); Scout tier adj +1.6 (Tank #32),Nikola Vucevic,2011.0,16.0,,Mason Plumlee,2013.0,22.0,97.0
29,Christian Anderson,PG,guard,full,Texas Tech,20.06,9.4,0.626,20.9,2.3,7.1,0.177,0.472,1.5,0.2,,,18.5,3.6,7.4,-6.83,52.1,-1.0,33.0,1.0,0.0,2.0,0.0,0.0,3.6,0.0,56.8,D,24.0,False,Youth bonus +2.0; Scout tier adj +3.6 (Tank #24); Stats: partial manual override (BPM from BBRef),Devonte' Graham,2018.0,34.0,97.0,Cassius Winston,2020.0,53.0,96.0
30,Cameron Carr,SF,wing,full,Baylor,21.56,9.2,0.622,22.0,2.3,6.9,0.164,0.494,0.9,1.3,,,18.9,5.8,2.6,14.99,51.1,2.1,34.0,1.03,0.0,-0.2,0.0,0.0,3.6,0.0,56.7,D,16.0,False,Age penalty -0.2 (21.6y); Scout tier adj +3.6 (Tank #16); BPM from Tankathon (CBB unavailable — same scale confirmed); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model; Model #30 vs Tankathon #16 (14 spots above consensus),Saddiq Bey,2020.0,19.0,97.0,Joe Wieskamp,2021.0,41.0,97.0
31,Baba Miller,SF,wing,full,Cincinnati,22.37,9.4,0.576,21.0,5.8,3.7,0.186,0.529,0.7,1.2,8.3,23.3,13.0,10.3,3.7,15.15,55.9,2.2,31.0,0.939,0.0,-3.1,0.0,0.0,1.6,0.0,56.6,D,46.0,False,Age penalty -3.1 (22.4y); Scout tier adj +1.6 (Tank #46); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model; Model #31 vs Tankathon #46 (15 spots below consensus),Jonathan Isaac,2017.0,6.0,,Herbert Jones,2021.0,35.0,95.0
32,Chris Cenac Jr.,PF,big,full,Houston,21.06,7.5,0.546,19.3,3.8,3.7,0.187,0.485,0.8,0.5,10.1,5.5,9.5,7.9,0.7,26.24,48.9,3.7,37.0,1.121,0.0,0.0,0.0,0.0,3.6,0.0,56.3,D,15.0,False,Scout tier adj +3.6 (Tank #15); Model #32 vs Tankathon #15 (17 spots above consensus),Omari Spellman,2018.0,30.0,97.0,Trey Lyles,2015.0,12.0,97.0
33,Bennett Stirtz,PG,guard,full,Iowa,22.56,10.2,0.607,22.3,2.5,7.7,0.192,0.477,1.4,0.2,1.0,24.9,19.8,2.6,4.4,19.2,53.3,2.7,37.0,1.121,0.0,-3.7,0.0,0.0,3.6,0.0,56.0,D,22.0,False,Age penalty -3.7 (22.6y); Scout tier adj +3.6 (Tank #22); Model #33 vs Tankathon #22 (11 spots above consensus),Malcolm Brogdon,2016.0,36.0,,Jalen Brunson,2018.0,33.0,97.0
34,Izaiyah Nelson,PF,big,full,South Florida,22.73,9.2,0.612,28.9,3.3,5.9,0.25,0.561,1.6,1.4,14.5,8.8,15.9,9.6,1.2,-21.97,61.7,-3.1,34.0,1.03,0.0,-4.3,0.0,0.0,1.6,0.0,55.9,D,50.0,False,Low-major (South Florida) — SRS adjustment partially corrects inflated BPM; Age penalty -4.3 (22.7y); Scout tier adj +1.6 (Tank #50); Model #34 vs Tankathon #50 (16 spots below consensus),Mason Plumlee,2013.0,22.0,97.0,Montrezl Harrell,2015.0,32.0,97.0
35,Isaiah Evans,SG,guard,full,Duke,20.06,9.8,0.59,19.2,3.3,6.5,0.198,0.433,0.7,0.7,1.7,8.3,15.0,3.2,1.3,30.15,45.9,4.3,38.0,1.152,0.0,2.0,0.0,0.0,3.6,0.0,55.8,D,26.0,False,Youth bonus +2.0; Scout tier adj +3.6 (Tank #26),Jordan Hawkins,2023.0,38.0,,Jordan Hawkins,2023.0,14.0,97.0
36,Quadir Copeland,SG,guard,full,NC State,21.06,7.8,0.592,22.1,3.2,4.5,0.17125382262996944,0.494,1.8,0.1,2.4,41.8,13.9,3.6,6.5,17.43,52.5,2.5,34.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,54.9,D,,False,,Tre Jones,2020.0,41.0,97.0,Wade Baldwin,2016.0,17.0,97.0
37,Meleek Thomas,SG,guard,full,Arkansas,20.06,7.0,0.559,19.2,2.3,4.8,0.142,0.435,1.5,0.2,3.5,13.2,15.6,3.8,2.5,21.48,44.1,3.1,37.0,1.121,0.0,2.0,0.0,0.0,3.6,0.0,52.7,D,29.0,False,Youth bonus +2.0; Scout tier adj +3.6 (Tank #29),Jahmi'us Ramsey,2020.0,43.0,98.0,Gary Trent Jr.,2018.0,37.0,97.0
38,Tamin Lipsey,PG,guard,full,Iowa State,22.56,11.3,0.54,20.9,5.8,5.5,0.21,0.459,2.3,0.0,5.2,28.0,13.5,3.9,5.1,19.2,54.8,2.7,34.0,1.03,0.0,-3.7,0.0,-3.0,1.6,0.0,52.4,D,60.0,False,G League combine only — not invited to NBA Draft Combine; Age penalty -3.7 (22.6y); Combine penalty -3.0 (G League invite only); Scout tier adj +1.6 (Tank #60); Model #38 vs Tankathon #60 (22 spots below consensus),Kris Dunn,2016.0,5.0,96.0,Donovan Mitchell,2017.0,13.0,96.0
