rank,player_name,position,position_group,confidence_tier,college,draft_age,bpm_college,ts_pct,per,dbpm,obpm,ws_40,fg_pct,stl_pg,blk_pg,orb_pct,ast_pct,pts_pg,trb_pg,ast_pg,program_srs,mps_composite,srs_adj,games_played,games_played_pct,avail_modifier,age_penalty,height_floor_pen,combine_penalty,scout_adj,editorial_bump,mps,grade,tankathon_rank,withdrew,note,comp1_name,comp1_year,comp1_pick,comp1_sim,comp2_name,comp2_year,comp2_pick,comp2_sim
52,Otega Oweh,SG,guard,full,Kentucky,23.01,7.4,0.554,20.4,3.4,4.0,0.146,0.465,1.8,0.3,3.3,16.3,18.6,4.8,2.7,19.13,47.3,2.7,36.0,1.091,0.0,-5.3,0.0,0.0,1.6,0.0,46.4,D,48.0,False,Age penalty -5.3 (23.0y); Scout tier adj +1.6 (Tank #48),Norman Powell,2015.0,46.0,97.0,Michael Gbinije,2016.0,49.0,97.0
53,Emanuel Sharp,SG,guard,full,Houston,22.29,10.7,0.582,20.0,4.8,5.9,0.213,0.413,1.2,0.1,3.0,11.1,15.5,3.0,1.7,26.24,48.3,3.7,37.0,1.121,0.0,-2.8,-5.0,0.0,1.6,0.0,45.9,D,49.0,False,"Age penalty -2.8 (22.3y); Height floor -5.0 (h=74.8"", WHR=1.003); Scout tier adj +1.6 (Tank #49)",Nick Johnson,2014.0,42.0,97.0,Devon Hall,2018.0,53.0,96.0
54,Kylan Boswell,PG,guard,full,Illinois,22.06,7.0,0.559,17.9,3.1,3.9,0.173,0.444,0.7,0.0,5.5,17.7,12.3,4.0,3.0,26.69,43.7,3.8,30.0,0.909,0.0,-2.0,0.0,0.0,0.0,0.0,45.6,D,62.0,False,Age penalty -2.0 (22.1y),TyTy Washington Jr.,2022.0,29.0,97.0,Joe Harris,2014.0,33.0,96.0
55,Peter Suder,C,big,full,Miami OH,22.56,3.5,0.633,21.1,1.0,2.5,0.19493177387914232,0.546,1.3,0.4,5.6,22.1,14.8,4.6,4.0,5.62,48.1,0.8,33.0,1.0,0.0,-3.7,0.0,0.0,0.0,0.0,45.2,D,,False,Age penalty -3.7 (22.6y),Jaylen Nowell,2019.0,43.0,95.0,Olivier-Maxence Prosper,2023.0,24.0,94.0
56,Keyshawn Hall,SF,wing,full,Auburn,23.21,7.5,0.606,22.8,1.0,6.5,0.165,0.451,0.7,0.6,6.0,14.9,19.3,7.1,2.6,16.63,47.7,2.4,36.0,1.091,0.0,-6.0,0.0,0.0,0.0,0.0,44.1,D,63.0,False,Age penalty -6.0 (23.2y); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model,Jordan Miller,2023.0,48.0,97.0,Jaron Blossomgame,2017.0,59.0,97.0
57,Tyler Nickel,SG,guard,full,Vanderbilt,22.8,7.5,0.617,16.6,1.4,6.0,0.138,0.445,0.8,0.5,2.5,6.9,13.5,3.3,1.2,22.23,43.3,3.2,36.0,1.091,0.0,-4.5,0.0,0.0,1.6,0.0,43.6,D,54.0,False,Age penalty -4.5 (22.8y); Scout tier adj +1.6 (Tank #54),Kim English,2012.0,44.0,97.0,Tyler Dorsey,2017.0,41.0,97.0
58,Bryce Hopkins,SF,wing,full,St. John's,23.89,8.5,0.558,19.7,3.5,5.0,0.18,0.469,1.1,0.3,7.3,12.7,13.6,6.2,1.9,22.65,48.1,3.2,37.0,1.121,0.0,-8.4,0.0,0.0,0.0,0.0,43.0,D,68.0,False,Age penalty -8.4 (23.9y); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model,Solomon Hill,2013.0,23.0,97.0,Wes Iwundu,2017.0,33.0,97.0
59,Aaron Nkrumah,SG,guard,full,Tennessee State,24.56,4.8,0.552,23.1,1.9,2.9,0.1776061776061776,0.438,2.8,0.5,4.1,18.1,17.7,5.5,3.0,21.97,48.9,3.1,33.0,1.0,0.0,-10.7,0.0,0.0,0.0,0.0,41.3,D,,False,Age penalty -10.7 (24.6y),Jared Cunningham,2012.0,24.0,96.0,Norman Powell,2015.0,46.0,95.0
60,Mark Mitchell,SF,wing,full,Missouri,22.89,7.7,0.546,23.1,0.9,6.8,0.169,0.506,0.7,0.5,,,9.2,5.2,0.8,,44.4,0.0,27.0,0.818,0.0,-4.9,0.0,0.0,0.0,0.0,39.5,D,72.0,False,Age penalty -4.9 (22.9y); BPM from Tankathon (CBB unavailable — same scale confirmed); Wing position: 50/50 weight blend (guard/big) — physical projection not fully captured in model; Model #60 vs Tankathon #72 (12 spots below consensus),Seth Lundy,2023.0,46.0,96.0,Jeff Taylor,2012.0,31.0,95.0
61,Tucker DeVries,SG,guard,full,Indiana,23.56,6.9,0.546,16.0,3.0,3.9,0.124,0.397,1.1,0.6,2.1,18.3,13.7,5.3,3.3,16.4,41.8,2.3,32.0,0.97,0.0,-7.2,0.0,0.0,0.0,0.0,36.9,D,69.0,False,Age penalty -7.2 (23.6y),Tyrone Wallace,2016.0,60.0,97.0,Aaron Wiggins,2021.0,55.0,97.0
